repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
recommenders-team/recommenders,3055212837,2232,Resolve warnings of Logger library,"### Description
This PR resolves the deprecation warnings of the `logger` library:
```python
DeprecationWarning: The 'warn' method is deprecated, use 'warning' instead
```
### Related Issues



### References


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [x] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [x] This PR is being made to `staging branch` AND NOT TO `main branch`.
",emmanuel-ferdman,35470921,closed,False,0,2025-05-11T20:44:56+00:00,2025-05-12T13:35:06+00:00,2025-05-12T13:35:05+00:00,,0,0,0,0,0,0,0
recommenders-team/recommenders,3048343514,2231,Staging to main: fixed issue with wikidata,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->


### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->


### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [ ] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [ ] This PR is being made to `staging branch` AND NOT TO `main branch`.
",miguelgfierro,3491412,closed,False,0,2025-05-08T09:14:11+00:00,2025-05-08T19:01:52+00:00,2025-05-08T19:01:52+00:00,,0,0,0,0,0,0,0
recommenders-team/recommenders,3039793401,2230,[BUG] Mismatch between the streaming logs that we get from azure-ai-ml and the log file we download at the end,"### Description
<!--- Describe your issue/bug/request in detail -->
See details https://github.com/recommenders-team/recommenders/pull/2223

Also related to https://github.com/recommenders-team/recommenders/issues/2210

We thought we fixed this issue in #2223 but it is still happening. See https://github.com/recommenders-team/recommenders/actions/runs/14809177082/job/41598022202


### In which platform does it happen?
<!--- Describe the platform where the issue is happening (use a list if needed) -->
<!--- For example: -->
<!--- * Azure Data Science Virtual Machine. -->
<!--- * Azure Databricks.  -->
<!--- * Other platforms.  -->

### How do we replicate the issue?
<!--- Please be specific as possible (use a list if needed). -->
<!--- For example: -->
<!--- * Create a conda environment for pyspark -->
<!--- * Run unit test `test_sar_pyspark.py` with `pytest -m 'spark'` -->
<!--- * ... -->

### Expected behavior (i.e. solution)
<!--- For example:  -->
<!--- * The tests for SAR PySpark should pass successfully. -->

### Willingness to contribute
<!--- Go over all the following points, and put an `x` in the box that apply. -->
- [ ] Yes, I can contribute for this issue independently.
- [ ] Yes, I can contribute for this issue with guidance from Recommenders community.
- [ ] No, I cannot contribute at this time.

### Other Comments
",miguelgfierro,3491412,open,False,1,2025-05-05T14:06:15+00:00,2025-05-06T05:38:18+00:00,,bug,0,0,0,0,0,0,0
recommenders-team/recommenders,3039746205,2229,Skip wikidata notebooks due to the API being unstable,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->


### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->


### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [ ] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [ ] This PR is being made to `staging branch` AND NOT TO `main branch`.
",miguelgfierro,3491412,closed,False,0,2025-05-05T13:50:17+00:00,2025-05-06T05:35:45+00:00,2025-05-06T05:35:41+00:00,,0,0,0,0,0,0,0
recommenders-team/recommenders,3036266782,2228,Feature/pytorch embedding ranker v4,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->


### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->


### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [ ] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [ ] This PR is being made to `staging branch` AND NOT TO `main branch`.
",demoncoder-crypto,174311533,open,False,1,2025-05-02T15:15:19+00:00,2025-05-03T08:23:05+00:00,,,0,0,0,0,0,0,0
recommenders-team/recommenders,3035624751,2227,Improve knowledge graph notebook and wikidata function,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->
Trying to provide better logging, retries and cache in the notebook and library

### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->
#2226

### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [ ] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [ ] This PR is being made to `staging branch` AND NOT TO `main branch`.
",miguelgfierro,3491412,closed,False,4,2025-05-02T09:51:02+00:00,2025-05-03T08:27:40+00:00,2025-05-03T08:27:35+00:00,,0,0,0,0,0,0,0
recommenders-team/recommenders,3021370617,2226,[BUG] Empty result error from wikidata query,"### Description
<!--- Describe your issue/bug/request in detail -->

The error is from running the tests in `tests/data_validation/examples/test_wikidata.py::test_wikidata_runs` and `tests/data_validation/examples/test_wikidata.py::test_wikidata_values` which run the notebook [`examples/01_prepare_data/wikidata_knowledge_graph.ipynb`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb).  When [`results_list`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L220) is empty, we will get the error.

<img width=""872"" alt=""Screenshot 2025-04-26 at 09 50 02"" src=""https://github.com/user-attachments/assets/295e94ba-babb-4689-bf3c-1ae321a6f3b0"" />

And the same issue occurs in the following code as well when [`result`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L487) is empty.

<img width=""817"" alt=""Screenshot 2025-04-26 at 09 59 29"" src=""https://github.com/user-attachments/assets/728e1e79-f766-4164-91f9-fe01820a9cdb"" />


### In which platform does it happen?
<!--- Describe the platform where the issue is happening (use a list if needed) -->
<!--- For example: -->
<!--- * Azure Data Science Virtual Machine. -->
<!--- * Azure Databricks.  -->
<!--- * Other platforms.  -->

### How do we replicate the issue?
<!--- Please be specific as possible (use a list if needed). -->
<!--- For example: -->
<!--- * Create a conda environment for pyspark -->
<!--- * Run unit test `test_sar_pyspark.py` with `pytest -m 'spark'` -->
<!--- * ... -->

Create a GitHub Codespace, and run the notebook `examples/01_prepare_data/wikidata_knowledge_graph.ipynb` multiple times until [`results_list`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L220) is empty.

<img width=""496"" alt=""Image"" src=""https://github.com/user-attachments/assets/b92bb076-5e9f-4d39-b80b-c988857df4b0"" />

Or run it locally by the following steps:

1. Setup

   ```
   cd recommenders
   conda create -n reco python=3.11
   conda activate reco
   pip install .[dev]
   ```

1. Run the [`examples/01_prepare_data/wikidata_knowledge_graph.ipynb`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb) in VS Code multiple times until [`results_list`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L220) is empty.

### Expected behavior (i.e. solution)
<!--- For example:  -->
<!--- * The tests for SAR PySpark should pass successfully. -->

[`results_list`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L220) and [`result`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb?short_path=1feabc6#L487) in the notebook [`examples/01_prepare_data/wikidata_knowledge_graph.ipynb`](https://github.com/recommenders-team/recommenders/blob/main/examples/01_prepare_data/wikidata_knowledge_graph.ipynb) should not be empty.

### Willingness to contribute
<!--- Go over all the following points, and put an `x` in the box that apply. -->
- [ ] Yes, I can contribute for this issue independently.
- [ ] Yes, I can contribute for this issue with guidance from Recommenders community.
- [ ] No, I cannot contribute at this time.

### Other Comments
",SimonYansenZhao,6165588,open,False,3,2025-04-26T02:11:48+00:00,2025-05-02T13:03:20+00:00,,bug,0,0,0,0,0,0,0
recommenders-team/recommenders,3018747848,2225,Set NumPy < 2.0.0,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->
The file [`surprise/similarities.pyx`](https://github.com/NicolasHug/Surprise/blob/master/surprise/similarities.pyx) in the package [`scikit-surprise`](https://pypi.org/project/scikit-surprise/) doesn't work with NumPy 2.x.  This PR sets `numpy<2.0.0` to resolve the issue.  This constraint needs to be removed after a newer version of `scimitar-surprise` is released.

### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->
* https://github.com/recommenders-team/recommenders/issues/2224

### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [X] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [x] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [X] This PR is being made to `staging branch` AND NOT TO `main branch`.
",SimonYansenZhao,6165588,closed,False,0,2025-04-25T01:04:45+00:00,2025-04-25T08:21:44+00:00,2025-04-25T08:21:39+00:00,,0,0,0,0,0,0,0
recommenders-team/recommenders,3013307612,2224,[BUG] Issue with Surprise and numpy,"### Description
<!--- Describe your issue/bug/request in detail -->
```
tests/unit/examples/test_notebooks_python.py ...                         [ 16%]
  tests/unit/recommenders/utils/test_notebook_utils.py ..........          [ 72%]
  tests/unit/examples/test_notebooks_python.py F...s                       [100%]
  
  =================================== FAILURES ===================================
  _________________________ test_surprise_deep_dive_runs _________________________
  
  notebooks = {'als_deep_dive': '/mnt/azureml/cr/j/5ed508dda20e47b895e20bab18b52515/exe/wd/examples/02_model_collaborative_filtering...rk_movielens': '/mnt/azureml/cr/j/5ed508dda20e47b895e20bab18b52515/exe/wd/examples/06_benchmarks/movielens.ipynb', ...}
  output_notebook = 'output.ipynb', kernel_name = 'python3'
  
      @pytest.mark.notebooks
      def test_surprise_deep_dive_runs(notebooks, output_notebook, kernel_name):
          notebook_path = notebooks[""surprise_svd_deep_dive""]
  >       execute_notebook(
              notebook_path,
              output_notebook,
              kernel_name=kernel_name,
              parameters=dict(MOVIELENS_DATA_SIZE=""mock100""),
          )
  
  tests/unit/examples/test_notebooks_python.py:52: 
  _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
  recommenders/utils/notebook_utils.py:102: in execute_notebook
      executed_notebook, _ = execute_preprocessor.preprocess(
  /root/conda/envs/Recommenders/lib/python3.9/site-packages/nbconvert/preprocessors/execute.py:103: in preprocess
      self.preprocess_cell(cell, resources, index)
  /root/conda/envs/Recommenders/lib/python3.9/site-packages/nbconvert/preprocessors/execute.py:124: in preprocess_cell
      cell = self.execute_cell(cell, index, store_history=True)
  /root/conda/envs/Recommenders/lib/python3.9/site-packages/jupyter_core/utils/__init__.py:165: in wrapped
      return loop.run_until_complete(inner)
  /root/conda/envs/Recommenders/lib/python3.9/asyncio/base_events.py:647: in run_until_complete
      return future.result()
  /root/conda/envs/Recommenders/lib/python3.9/site-packages/nbclient/client.py:1062: in async_execute_cell
      await self._check_raise_for_error(cell, cell_index, exec_reply)
  _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
  
  self = <nbconvert.preprocessors.execute.ExecutePreprocessor object at 0x1[484](https://github.com/recommenders-team/recommenders/actions/runs/14613915457/job/40997694256#step:3:493)dc8ad2e0>
  cell = {'cell_type': 'code', 'execution_count': 1, 'metadata': {'execution': {'iopub.status.busy': '2025-04-23T09:11:25.94351...ort store_metadata\n\n\nprint(f""System version: {sys.version}"")\nprint(f""Surprise version: {surprise.__version__}"")\n'}
  cell_index = 5
  exec_reply = {'buffers': [], 'content': {'ename': 'ImportError', 'engine_info': {'engine_id': -1, 'engine_uuid': '8e367c2f-9e06-4c8...e, 'engine': '8e367c2f-9e06-4c8e-be60-a8c12b5b648f', 'started': '2025-04-23T09:11:25.943705Z', 'status': 'error'}, ...}
  
      async def _check_raise_for_error(
          self, cell: NotebookNode, cell_index: int, exec_reply: dict[str, t.Any] | None
      ) -> None:
          if exec_reply is None:
              return None
      
          exec_reply_content = exec_reply[""content""]
          if exec_reply_content[""status""] != ""error"":
              return None
      
          cell_allows_errors = (not self.force_raise_errors) and (
              self.allow_errors
              or exec_reply_content.get(""ename"") in self.allow_error_names
              or ""raises-exception"" in cell.metadata.get(""tags"", [])
          )
          await run_hook(
              self.on_cell_error, cell=cell, cell_index=cell_index, execute_reply=exec_reply
          )
          if not cell_allows_errors:
  >           raise CellExecutionError.from_cell_and_msg(cell, exec_reply_content)
  E           nbclient.exceptions.CellExecutionError: An error occurred while executing the following cell:
  E           ------------------
  E           import sys
  E           import surprise
  E           
  E           from recommenders.utils.timer import Timer
  E           from recommenders.datasets import movielens
  E           from recommenders.datasets.python_splitters import python_random_split
  E           from recommenders.evaluation.python_evaluation import (
  E               rmse,
  E               mae,
  E               rsquared,
  E               exp_var,
  E               map_at_k,
  E               ndcg_at_k,
  E               precision_at_k,
  E               recall_at_k,
  E               get_top_k_items,
  E           )
  E           from recommenders.models.surprise.surprise_utils import (
  E               predict,
  E               compute_ranking_predictions,
  E           )
  E           from recommenders.utils.notebook_utils import store_metadata
  E           
  E           
  E           print(f""System version: {sys.version}"")
  E           print(f""Surprise version: {surprise.__version__}"")
  E           
  E           ------------------
  E           
  E           ----- stderr -----
  E           
  E           A module that was compiled using NumPy 1.x cannot be run in
  E           NumPy 2.0.2 as it may crash. To support both 1.x and 2.x
  E           versions of NumPy, modules must be compiled with NumPy 2.0.
  E           Some module may need to rebuild instead e.g. with 'pybind11>=2.12'.
  E           
  E           If you are a user of the module, the easiest solution will be to
  E           downgrade to 'numpy<2' or try to upgrade the affected module.
  E           We expect that some modules will need time to support NumPy 2.
  E           
  E           Traceback (most recent call last):  File ""/root/conda/envs/Recommenders/lib/python3.9/runpy.py"", line 197, in _run_module_as_main
  E               return _run_code(code, main_globals, None,
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/runpy.py"", line 87, in _run_code
  E               exec(code, run_globals)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel_launcher.py"", line 18, in <module>
  E               app.launch_new_instance()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/traitlets/config/application.py"", line 1075, in launch_instance
  E               app.start()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/kernelapp.py"", line 739, in start
  E               self.io_loop.start()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/tornado/platform/asyncio.py"", line 205, in start
  E               self.asyncio_loop.run_forever()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/asyncio/base_events.py"", line 601, in run_forever
  E               self._run_once()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/asyncio/base_events.py"", line 1905, in _run_once
  E               handle._run()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/asyncio/events.py"", line 80, in _run
  E               self._context.run(self._callback, *self._args)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/kernelbase.py"", line 545, in dispatch_queue
  E               await self.process_one()
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/kernelbase.py"", line 534, in process_one
  E               await dispatch(*args)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/kernelbase.py"", line 437, in dispatch_shell
  E               await result
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/ipkernel.py"", line 362, in execute_request
  E               await super().execute_request(stream, ident, parent)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/kernelbase.py"", line 778, in execute_request
  E               reply_content = await reply_content
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/ipkernel.py"", line 449, in do_execute
  E               res = shell.run_cell(
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/ipykernel/zmqshell.py"", line 549, in run_cell
  E               return super().run_cell(*args, **kwargs)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3048, in run_cell
  E               result = self._run_cell(
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3103, in _run_cell
  E               result = runner(coro)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/async_helpers.py"", line 129, in _pseudo_sync_runner
  E               coro.send(None)
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3308, in run_cell_async
  E               has_raised = await self.run_ast_nodes(code_ast.body, cell_name,
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3[490](https://github.com/recommenders-team/recommenders/actions/runs/14613915457/job/40997694256#step:3:499), in run_ast_nodes
  E               if await self.run_code(code, result, async_=asy):
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3550, in run_code
  E               exec(code_obj, self.user_global_ns, self.user_ns)
  E             File ""/tmp/ipykernel_415/2308614522.py"", line 2, in <module>
  E               import surprise
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/__init__.py"", line 6, in <module>
  E               from .prediction_algorithms import (
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/prediction_algorithms/__init__.py"", line 23, in <module>
  E               from .algo_base import AlgoBase
  E             File ""/root/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/prediction_algorithms/algo_base.py"", line 8, in <module>
  E               from .. import similarities as sims
  E           ------------------
  E           
  E           ---------------------------------------------------------------------------
  E           ImportError                               Traceback (most recent call last)
  E           Cell In[1], line 2
  E                 1 import sys
  E           ----> 2 import surprise
  E                 4 from recommenders.utils.timer import Timer
  E                 5 from recommenders.datasets import movielens
  E           
  E           File ~/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/__init__.py:6
  E                 2 from .builtin_datasets import get_dataset_dir
  E                 4 from .dataset import Dataset
  E           ----> 6 from .prediction_algorithms import (
  E                 7     AlgoBase,
  E                 8     BaselineOnly,
  E                 9     CoClustering,
  E                10     KNNBaseline,
  E                11     KNNBasic,
  E                12     KNNWithMeans,
  E                13     KNNWithZScore,
  E                14     NMF,
  E                15     NormalPredictor,
  E                16     Prediction,
  E                17     PredictionImpossible,
  E                18     SlopeOne,
  E                19     SVD,
  E                20     SVDpp,
  E                21 )
  E                22 from .reader import Reader
  E                23 from .trainset import Trainset
  E           
  E           File ~/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/prediction_algorithms/__init__.py:23
  E                 1 """"""
  E                 2 The :mod:`prediction_algorithms` package includes the prediction algorithms
  E                 3 available for recommendation.
  E              (...)
  E                20     co_clustering.CoClustering
  E                21 """"""
  E           ---> 23 from .algo_base import AlgoBase
  E                24 from .baseline_only import BaselineOnly
  E                25 from .co_clustering import CoClustering
  E           
  E           File ~/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/prediction_algorithms/algo_base.py:8
  E                 1 """"""
  E                 2 The :mod:`surprise.prediction_algorithms.algo_base` module defines the base
  E                 3 class :class:`AlgoBase` from which every single prediction algorithm has to
  E                 4 inherit.
  E                 5 """"""
  E                 6 import heapq
  E           ----> 8 from .. import similarities as sims
  E                 9 from .optimize_baselines import baseline_als, baseline_sgd
  E                10 from .predictions import Prediction, PredictionImpossible
  E           
  E           File ~/conda/envs/Recommenders/lib/python3.9/site-packages/surprise/similarities.pyx:1, in init surprise.similarities()
  E           
  E           ImportError: numpy.core.multiarray failed to import (auto-generated because you didn't call 'numpy.import_array()' after cimporting numpy; use '<void>numpy._import_array' to disable if you are certain you don't need it).
```



### In which platform does it happen?
<!--- Describe the platform where the issue is happening (use a list if needed) -->
<!--- For example: -->
<!--- * Azure Data Science Virtual Machine. -->
<!--- * Azure Databricks.  -->
<!--- * Other platforms.  -->

### How do we replicate the issue?
<!--- Please be specific as possible (use a list if needed). -->
<!--- For example: -->
<!--- * Create a conda environment for pyspark -->
<!--- * Run unit test `test_sar_pyspark.py` with `pytest -m 'spark'` -->
<!--- * ... -->
https://github.com/recommenders-team/recommenders/actions/runs/14613915457/job/40997694256

### Expected behavior (i.e. solution)
<!--- For example:  -->
<!--- * The tests for SAR PySpark should pass successfully. -->

### Willingness to contribute
<!--- Go over all the following points, and put an `x` in the box that apply. -->
- [ ] Yes, I can contribute for this issue independently.
- [ ] Yes, I can contribute for this issue with guidance from Recommenders community.
- [ ] No, I cannot contribute at this time.

### Other Comments
",miguelgfierro,3491412,open,False,3,2025-04-23T09:25:12+00:00,2025-05-12T14:04:12+00:00,,bug,0,0,0,0,0,0,0
recommenders-team/recommenders,3008475385,2223,mismatch between the streaming logs that we get from azure-ai-ml and the log file we download at the end ,"### Description
<!--- Describe your changes in detail -->
<!--- Why is this change required? What problem does it solve? -->
Related to https://github.com/recommenders-team/recommenders/pull/2222#issuecomment-2818458801

### Related Issues
<!--- If it fixes an open issue, please link to the issue here. -->


### References
<!--- References would be helpful to understand the changes. -->
<!--- References can be books, links, etc. -->


### Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] I have followed the [contribution guidelines](CONTRIBUTING.md) and code style for this project.
- [ ] I have added tests covering my contributions.
- [ ] I have updated the documentation accordingly.
- [ ] I have [signed the commits](https://github.com/recommenders-team/recommenders/wiki/How-to-sign-commits), e.g. `git commit -s -m ""your commit message""`. 
- [ ] This PR is being made to `staging branch` AND NOT TO `main branch`.
",miguelgfierro,3491412,closed,False,8,2025-04-21T13:58:57+00:00,2025-04-24T15:26:10+00:00,2025-04-24T15:26:07+00:00,,0,0,0,0,0,0,0
