repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
recommenders-team/recommenders,216665909,1,initial commit including streaming split,,eisber,10142286,closed,False,2018-09-19T14:43:06+00:00,2018-10-15T12:23:59+00:00,2018-10-15T12:23:59+00:00,,c2dcc5cbd4fc53b9dd1450ced8da4aeb78ec9029,dirty,1656,3,15,62,0,1,,,
recommenders-team/recommenders,216847785,2,Review and updates skeleton notebook,,yueguoguo,1726448,closed,False,2018-09-20T05:21:05+00:00,2018-10-16T13:20:48+00:00,2018-09-20T05:21:14+00:00,,f6e0c0a146dadec56a90daa1d88bdfaa1d1341e6,dirty,0,0,0,0,0,0,,,
recommenders-team/recommenders,216848259,3,Review and update,"* Add more utility modules into the codebase.
* Use own splitter for splitting Surprise data.",yueguoguo,1726448,closed,False,2018-09-20T05:24:39+00:00,2018-10-16T13:20:48+00:00,2018-10-16T13:20:35+00:00,,3ba4449c4d737cab5c1916608abe8c016680cc28,unknown,0,0,0,0,0,1,,,
recommenders-team/recommenders,218615579,4,testing CI/CD,,miguelgfierro,3491412,closed,False,2018-09-27T11:22:24+00:00,2018-09-27T12:01:34+00:00,2018-09-27T11:24:08+00:00,,b537bfce0ce349544d2d315a3894fc646382c4c2,unknown,2,0,1,1,0,0,,,
recommenders-team/recommenders,218616799,5,failing test on purpose,,miguelgfierro,3491412,closed,False,2018-09-27T11:27:13+00:00,2018-09-27T12:01:32+00:00,2018-09-27T11:30:25+00:00,,f9a7d89dfd8f684d6a5696cf34b92fb20eb2442d,unknown,1,1,1,1,0,0,,,
recommenders-team/recommenders,218617829,6,Update test_template.py,,miguelgfierro,3491412,closed,False,2018-09-27T11:31:07+00:00,2018-09-27T12:01:15+00:00,2018-09-27T12:01:10+00:00,,624d8655ad5f2a3fc1c62e6c54c5f6b207b3ff68,unknown,1,1,1,1,0,0,,,
recommenders-team/recommenders,220409430,7,Update CONTRIBUTING.md,,miguelgfierro,3491412,closed,False,2018-10-04T14:56:14+00:00,2018-10-04T14:57:34+00:00,2018-10-04T14:57:07+00:00,,6c5705526145729d255944a2e24e13eeaa9c80fe,unknown,1,0,1,1,0,0,,,
recommenders-team/recommenders,220648857,8,Notebook unit,,miguelgfierro,3491412,closed,False,2018-10-05T10:04:36+00:00,2018-10-05T10:05:12+00:00,2018-10-05T10:05:12+00:00,,96965b76e8b8b56f425a81493ae87ab8e0cc0222,dirty,313,0,6,5,0,0,,,
recommenders-team/recommenders,220648911,9,Notebook unit,,miguelgfierro,3491412,closed,False,2018-10-05T10:04:51+00:00,2018-10-05T10:17:39+00:00,2018-10-05T10:17:35+00:00,2018-10-05T10:17:34+00:00,b3fc4a8b8c6e89a27f7fa5ebefae21843959aa9c,unknown,224,176,7,4,0,0,,,
recommenders-team/recommenders,220662280,10,Medallitas,,miguelgfierro,3491412,closed,False,2018-10-05T10:56:23+00:00,2018-10-05T10:57:21+00:00,2018-10-05T10:57:12+00:00,2018-10-05T10:57:12+00:00,2d3fc87831d703ecb8f35a945796fdc53b59f9da,unknown,7,1,2,2,0,0,,,
