repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
recommenders-team/recommenders,nikhilrj,4022322,2018-09-26T14:32:34+00:00,User,"Seattle, WA",Stripe
recommenders-team/recommenders,dciborow,9027725,2018-11-02T14:40:59+00:00,User,United States,@microsoft
recommenders-team/recommenders,roalexan,9354835,2018-11-02T14:48:57+00:00,User,"Cambridge, MA",Microsoft Corporation
recommenders-team/recommenders,alexhock10,44773635,2018-11-13T16:05:36+00:00,User,London,Microsoft
recommenders-team/recommenders,jdweaver,8146643,2018-11-14T00:01:06+00:00,User,"Seattle, WA",Microsoft
recommenders-team/recommenders,tuanh118,3454845,2018-11-15T06:40:50+00:00,User,"Seattle, WA",@google @steamforvietnam 
recommenders-team/recommenders,dipanjan77,5248347,2018-11-20T20:57:22+00:00,User,Sammamish,Oracle
recommenders-team/recommenders,isamllr,3903316,2018-12-04T16:37:34+00:00,User,,Microsoft - Azure Org
recommenders-team/recommenders,AaronHeee,22841820,2018-12-06T07:36:11+00:00,User,"La Jolla, CA",UC San Diego
recommenders-team/recommenders,vingu,5230411,2018-12-07T16:45:50+00:00,User,,
recommenders-team/recommenders,grabpkakar,35293229,2018-12-11T09:14:42+00:00,User,,
recommenders-team/recommenders,yueguoguo,1726448,2018-12-12T05:23:05+00:00,User,Singapore,
recommenders-team/recommenders,vu3jej,8656859,2018-12-12T07:04:31+00:00,User,,
recommenders-team/recommenders,wangyihaier,807923,2018-12-14T06:45:44+00:00,User,Singapore,Microsoft
recommenders-team/recommenders,remenyo,25034625,2018-12-14T18:40:30+00:00,User,Hungary,
recommenders-team/recommenders,sinhasachin,22840437,2018-12-19T04:30:29+00:00,User,"Reston, VA",@Microsoft 
recommenders-team/recommenders,aviranzerioniac,9079364,2018-12-19T14:37:35+00:00,User,"Darmstadt, Germany",
recommenders-team/recommenders,dwsyoyo,4099585,2018-12-20T00:49:03+00:00,User,,
recommenders-team/recommenders,qiaohaojie,3251855,2018-12-21T00:34:42+00:00,User,,PimSpace
recommenders-team/recommenders,usmanakram232,102169,2018-12-21T16:05:30+00:00,User,Frankfurt,@ginmon 
recommenders-team/recommenders,tongatt,35666692,2018-12-22T11:56:39+00:00,User,Thailand,Tong Deddee Services
recommenders-team/recommenders,sbstnc,789688,2018-12-22T23:11:58+00:00,User,,@paymenttools
recommenders-team/recommenders,Tatsh,724848,2018-12-23T01:18:58+00:00,User,,
recommenders-team/recommenders,kdisneur,822839,2018-12-23T07:10:57+00:00,User,"Lille, FR",@ovh
recommenders-team/recommenders,eueung,4231611,2018-12-23T10:39:06+00:00,User,"Bandung, Indonesia",Institut Teknologi Bandung (ITB)
recommenders-team/recommenders,jubbon,950060,2018-12-23T12:31:57+00:00,User,,
recommenders-team/recommenders,shidephen,10269623,2018-12-26T04:45:54+00:00,User,Shenzhen,Bytedance
recommenders-team/recommenders,rhps,5997914,2018-12-27T10:32:23+00:00,User,London,@katalyti 
recommenders-team/recommenders,edisona,6370225,2018-12-27T19:04:41+00:00,User,,
recommenders-team/recommenders,Neoanarika,5188337,2018-12-28T01:57:24+00:00,User,Singapore,"Collaborative, Learning, and Adaptive Robots (CLEAR)"
recommenders-team/recommenders,guolinke,16040950,2018-12-29T11:49:28+00:00,User,Beijing,@dptech-corp 
recommenders-team/recommenders,easezyc,20279673,2018-12-29T13:52:25+00:00,User,"Beijing, China","Institute of Computing Technology, CAS"
recommenders-team/recommenders,nixphix,4676330,2018-12-29T18:15:59+00:00,User,"Chennai, India",@sahajsoft
recommenders-team/recommenders,lancifollia,4792641,2018-12-30T12:09:18+00:00,User,South Korea,Kakao
recommenders-team/recommenders,amitpuri,6460233,2018-12-31T07:36:26+00:00,User,India,
recommenders-team/recommenders,kyowill,8749196,2018-12-31T14:21:46+00:00,User,,
recommenders-team/recommenders,bratao,1090152,2018-12-31T16:43:03+00:00,User,,Escavador
recommenders-team/recommenders,fly51fly,128885,2019-01-01T12:04:21+00:00,User,BeiJing,PRIS
recommenders-team/recommenders,bladereo,1171294,2019-01-01T12:12:50+00:00,User,"Beijing, China",Didi Chuxing
recommenders-team/recommenders,dz1109,28397581,2019-01-01T12:23:24+00:00,User,,
recommenders-team/recommenders,sto803,12782298,2019-01-01T12:37:43+00:00,User,,
recommenders-team/recommenders,foreseez,18757695,2019-01-01T12:38:08+00:00,User,China,
recommenders-team/recommenders,yibit,8253530,2019-01-01T12:43:30+00:00,User,"BeiJing, China",yibit
recommenders-team/recommenders,anykno,2528207,2019-01-01T12:44:59+00:00,User,@Beijing,
recommenders-team/recommenders,leotywy,3433105,2019-01-01T12:48:03+00:00,User,,
recommenders-team/recommenders,jamcodeC,20898021,2019-01-01T12:49:47+00:00,User,Xian.Shaanxi ,
recommenders-team/recommenders,zealscott,33884966,2019-01-01T12:58:42+00:00,User,"West Lafayette, USA",Purdue University
recommenders-team/recommenders,somTian,19942099,2019-01-01T13:18:52+00:00,User,"Dongguan , Guangdong",Hefei University of Technology
recommenders-team/recommenders,markson14,30102000,2019-01-01T13:34:46+00:00,User,,
recommenders-team/recommenders,kimsimple,20837852,2019-01-01T13:47:06+00:00,User,Beijing,
