repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
sinaptik-ai/pandas-ai,1332407128,2,Fix the import in README.md,,gventuri,15671184,closed,False,2023-04-28T21:17:25+00:00,2023-04-28T23:27:13+00:00,2023-04-28T21:17:48+00:00,2023-04-28T21:17:48+00:00,28f523e3411a5a084ae6df391c6ad49dda4793f2,unknown,1,1,1,1,0,0,,,
sinaptik-ai/pandas-ai,1332513551,3,FIX README.md,I just updated README.md to the working syntax.,mr-ZIAD,87137785,closed,False,2023-04-28T23:49:43+00:00,2023-04-29T00:19:29+00:00,2023-04-29T00:19:11+00:00,2023-04-29T00:19:11+00:00,3b64bb106a056e2fc00cdbe63999590e97808c90,unknown,4,4,1,1,0,1,,,
sinaptik-ai/pandas-ai,1332729367,7,initial setup for dev suggestions,"In this PR I've made some contributions:

- Added `poetry` as the dependency manager
- Added `pre-commit` and `black` hooks formatter
- Applied the `black` formatter on the entire project.

All code changes are style-related.",HenriqueAJNB,54143210,closed,False,2023-04-29T10:36:09+00:00,2023-04-29T12:21:17+00:00,2023-04-29T12:21:17+00:00,2023-04-29T12:21:17+00:00,49f68b96ec23fe6095a1adad9d21d4639c8190b4,unknown,848,241,12,4,4,1,,,
sinaptik-ai/pandas-ai,1332776859,8,added dependencies and custom exceptions,"# Proposed changes

- Added `isort` to `pre-commit` and as a dev dependency
- Added `openai` to dependencies.
- Apply `isort` to the entire project (purely style).
- Added a custom exception to API Key Not Found error.",HenriqueAJNB,54143210,closed,False,2023-04-29T14:19:55+00:00,2023-05-03T14:40:29+00:00,2023-05-03T01:37:00+00:00,,0630aaa22f5f4bade9257ef037ecf6738557e161,unknown,0,0,0,0,0,6,,,
sinaptik-ai/pandas-ai,1332788701,10,Add CI,,FillerFree,36811252,closed,False,2023-04-29T15:12:50+00:00,2023-04-30T08:44:05+00:00,2023-04-30T08:44:05+00:00,2023-04-30T08:44:04+00:00,7883c741d3605d6f0123fc6a730b28a4003e5e9c,unknown,35,1,2,2,0,1,,,
sinaptik-ai/pandas-ai,1333463248,16,Error Correcting Framework,"A couple of Changes:
1. Changed the signature of giving the prompt to LLM. Have asked it to return the Python code surrounded by ""startCode"" and ""endCode"". Found out by experimenting that the LLM is good at giving the output in this format and it becomes easy to extract the required code.
2. Added Error Correcting Framework With Max Retry of 3.

",yzaparto,132240560,closed,False,2023-05-01T05:38:20+00:00,2023-05-01T22:30:22+00:00,2023-05-01T22:30:22+00:00,2023-05-01T22:30:22+00:00,ce303eeb3daf0622c90d4c88c15998eb02068bab,unknown,96,69,7,2,0,0,,,
sinaptik-ai/pandas-ai,1334802627,19,Added show_code feature,"#15 

If show_code is set to True, it will create a new cell and paste the code that was used to generate the answer.",johnson-52197,58318959,closed,False,2023-05-02T07:30:11+00:00,2023-05-02T23:09:06+00:00,2023-05-02T23:09:06+00:00,2023-05-02T23:09:06+00:00,1d77b8bc66053bd65a88d4faac8ac879a2a19349,unknown,361,8,6,8,2,10,,,
sinaptik-ai/pandas-ai,1334993185,20,Add docstrings,,dSupertramp,48620457,closed,False,2023-05-02T10:05:23+00:00,2023-05-04T14:22:33+00:00,2023-05-02T13:14:29+00:00,2023-05-02T13:14:29+00:00,5cdab4497c87362b460ff0e4fb76acc9e7db5030,unknown,103,17,3,2,0,3,,,
sinaptik-ai/pandas-ai,1335999072,25,Fix conversational answer function,"**[Before]**

<img width=""325"" alt=""image"" src=""https://user-images.githubusercontent.com/132240560/235816839-5ce8dc49-1001-4909-a7ea-df411c251dad.png"">


**[After]**

<img width=""452"" alt=""image"" src=""https://user-images.githubusercontent.com/132240560/235816743-50fca8f1-d834-46e6-8362-9c611ddff674.png"">
",yzaparto,132240560,closed,False,2023-05-03T01:14:32+00:00,2023-05-03T14:47:00+00:00,2023-05-03T14:46:34+00:00,2023-05-03T14:46:34+00:00,d15747b925e574e51bf9e085f23d0a1d5a540c1b,unknown,1,1,1,1,0,1,,,
sinaptik-ai/pandas-ai,1337024361,29,Fix example,"Related to issue #22 , it fills up the example with realistic data 
Sources (linked up in the readme):
- https://ourworldindata.org/grapher/gross-domestic-product?tab=table
- https://ftnnews.com/images/stories/documents/2020/WHR20.pdf
- https://data.world/makeovermonday/2020w19-world-happiness-report-2020

A disclaimer was added to explain the data used. Results were also changed to keep it concise.

Changed the histogram too, and some example files that were using the old dataset. Tested it all on Colab and it worked like a charm. I couldn't change the Google Drive file.",Lorenzobattistela,70359945,closed,False,2023-05-03T16:42:51+00:00,2023-05-04T12:49:50+00:00,2023-05-04T12:49:49+00:00,2023-05-04T12:49:49+00:00,3c2e1e3658d5e6b197e822cc5071690ca41da92b,unknown,19,17,5,7,0,1,,,
