repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
stefan-jansen/machine-learning-for-trading,272176005,6,Master,@stefan-jansen - please reject this pull request; accidentally created.,msarm,1042633,closed,False,2019-04-20T20:42:35+00:00,2019-04-20T21:06:29+00:00,2019-04-20T21:06:29+00:00,,8e43e80e931880c985c21ba8512394a7c6afaf17,dirty,10814,490,18,2,0,0,,,
stefan-jansen/machine-learning-for-trading,333179790,13,windows environment file,"Hi Stefan.
this is the environment.yml file I was able to use on my windows machine and it worked. All I did was I deleted all the packages that were not able to resolve and then it worked without a hitch. check it out and if you think it would help the readers who use windows and are having troubles, you could include it in your repo.",ssilverac,51388814,closed,False,2019-10-28T15:33:16+00:00,2019-11-07T02:49:02+00:00,2019-11-07T02:48:46+00:00,2019-11-07T02:48:46+00:00,90a4d5ce7502efa43764ccb28425290f8ef74fab,dirty,409,0,1,2,0,1,,,
stefan-jansen/machine-learning-for-trading,461781245,31,Correct typo in README file,Correcting type in README.md file.,jmprathab,11979066,closed,False,2020-08-02T09:09:24+00:00,2020-08-04T17:42:21+00:00,2020-08-04T17:42:21+00:00,2020-08-04T17:42:21+00:00,6cf4821403b9a99e043258e6e22fb3107ec1a968,dirty,2,2,1,1,0,0,,,
stefan-jansen/machine-learning-for-trading,482773454,35,Encoding parameter not availabe in pandas 1.0.5,"Excellent book.  I had issues running chapter 1 code.  This commit fixed it for me.

INSTALLED VERSIONS
------------------
commit           : None
python           : 3.8.3.final.0
python-bits      : 64
OS               : Linux
OS-release       : 5.4.0-47-generic
machine          : x86_64
processor        : x86_64
byteorder        : little
LC_ALL           : None
LANG             : en_GB.UTF-8
LOCALE           : en_GB.UTF-8

pandas           : 1.0.5
numpy            : 1.18.5
pytz             : 2020.1
dateutil         : 2.8.1
pip              : 20.1.1
setuptools       : 49.2.0.post20200714
Cython           : 0.29.21
pytest           : 5.4.3
hypothesis       : None
sphinx           : 3.1.2
blosc            : None
feather          : None
xlsxwriter       : 1.2.9
lxml.etree       : 4.5.2
html5lib         : 1.1
pymysql          : None
psycopg2         : None
jinja2           : 2.11.2
IPython          : 7.16.1
pandas_datareader: None
bs4              : 4.9.1
bottleneck       : 1.3.2
fastparquet      : None
gcsfs            : None
lxml.etree       : 4.5.2
matplotlib       : 3.2.2
numexpr          : 2.7.1
odfpy            : None
openpyxl         : 3.0.4
pandas_gbq       : None
pyarrow          : None
pytables         : None
pytest           : 5.4.3
pyxlsb           : None
s3fs             : None
scipy            : 1.5.0
sqlalchemy       : 1.3.18
tables           : 3.6.1
tabulate         : None
xarray           : None
xlrd             : 1.2.0
xlwt             : 1.3.0
xlsxwriter       : 1.2.9
numba            : 0.50.1",leehbi,8226987,closed,False,2020-09-09T11:26:17+00:00,2020-09-09T15:17:11+00:00,2020-09-09T15:17:11+00:00,2020-09-09T15:17:10+00:00,e78e159c7ac9067f76d76351b49d594c915915d3,dirty,1,2,1,1,0,0,,,
stefan-jansen/machine-learning-for-trading,507063632,54,Fix some links in readme of chapter 2,"This PR fix some links in readme file of chapter 2

Thanks for share your work 😄 ",KarlosQ,15233913,closed,False,2020-10-20T20:06:00+00:00,2020-10-21T15:06:45+00:00,2020-10-21T15:06:35+00:00,2020-10-21T15:06:35+00:00,dd2e230fb010cea12cc79f908250a40396c0f8ae,dirty,8,8,1,2,0,1,,,
stefan-jansen/machine-learning-for-trading,561369630,92,"Fixed missing ""="" in argument","I think an ""="" got dropped in a recent commit. Adding it back in got my ml4t environment working.",geoffworks17,12812931,closed,False,2021-01-25T21:16:40+00:00,2021-02-07T00:47:43+00:00,2021-02-07T00:47:16+00:00,2021-02-07T00:47:16+00:00,79015d092c38fe7e3d4774eb9c1c77ceeacecac9,dirty,1,1,1,1,0,2,,,
stefan-jansen/machine-learning-for-trading,595011739,125,Missing quotation mark - syntax fix,,shlomiku,7924802,closed,False,2021-03-17T19:55:44+00:00,2021-03-17T20:04:06+00:00,2021-03-17T20:04:06+00:00,2021-03-17T20:04:06+00:00,df04bea29b174f336925366943e19bb110b90e5b,dirty,1,1,1,2,0,0,,,
stefan-jansen/machine-learning-for-trading,595043821,126,edgar - fix download code,"* fix variable names
* download all (remove `[-4: -3]`)
* also doesn't seem to require special url for any quarter in 2020

Also, take a look at: https://github.com/shlomikushchi/zipline-trader :)",shlomiku,7924802,closed,False,2021-03-17T20:53:06+00:00,2021-06-07T16:36:57+00:00,2021-06-07T16:36:55+00:00,,451c5dbb2f558a49c21ddf09d6ca84bb6d237ac8,dirty,6,6,1,2,0,2,,,
stefan-jansen/machine-learning-for-trading,612719358,143,use self.date_idx for selecting train_idx and test_idx,Fix needed when using different date index name ,norbertraus,75402,closed,False,2021-04-09T20:44:08+00:00,2021-04-11T19:19:48+00:00,2021-04-09T23:41:39+00:00,2021-04-09T23:41:39+00:00,1078e7f88983c1c61120e6976b6d542801204852,dirty,3,3,1,1,0,0,,,
stefan-jansen/machine-learning-for-trading,657428874,167,Fixed dead link in time series resources,"The original link:
https://letianquant.com/kalman-filter-pairs-trading.htmln leads to a 404.
I found the new link is hosted on the author's GitHub so less like to change as well.

Please confirm it's the correct one:
https://letianzj.github.io/kalman-filter-pairs-trading.html",franz101,18228395,closed,False,2021-05-29T08:38:01+00:00,2021-06-01T16:00:49+00:00,2021-06-01T16:00:49+00:00,2021-06-01T16:00:48+00:00,f4ee6e8ec5289709c1acbdad23aed5eb16d8a014,dirty,2,2,1,1,0,0,,,
