repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
stefan-jansen/machine-learning-for-trading,MichaelFG,4277074,2018-12-27T23:54:54+00:00,User,,
stefan-jansen/machine-learning-for-trading,ceoworks,5570921,2019-01-11T16:13:07+00:00,User,Kyiv,
stefan-jansen/machine-learning-for-trading,ivan-vasilev,2920675,2019-01-15T10:18:27+00:00,User,"Sofia, Bulgaria",
stefan-jansen/machine-learning-for-trading,wulixin,22111563,2019-01-16T10:57:37+00:00,User,China guangdong province ,@one-to-two-to-three 
stefan-jansen/machine-learning-for-trading,Patelnk687,22605726,2019-01-18T03:23:49+00:00,User,"Giddings, Texas ",
stefan-jansen/machine-learning-for-trading,tskarsten,24924577,2019-01-22T09:54:35+00:00,User,,
stefan-jansen/machine-learning-for-trading,adelr,7885152,2019-01-23T21:50:54+00:00,User,"Sydney, Australia",
stefan-jansen/machine-learning-for-trading,naveens10,45818248,2019-01-28T07:06:40+00:00,User,,
stefan-jansen/machine-learning-for-trading,natehefner,1285546,2019-01-31T05:15:19+00:00,User,"Baltimore, Maryland",
stefan-jansen/machine-learning-for-trading,kuangche-james,2222119,2019-02-02T01:22:28+00:00,User,,
stefan-jansen/machine-learning-for-trading,rongzhou,5052616,2019-02-02T08:40:33+00:00,User,,
stefan-jansen/machine-learning-for-trading,supereng,18695105,2019-02-05T07:33:05+00:00,User,,
stefan-jansen/machine-learning-for-trading,paulperry,501736,2019-02-05T13:37:58+00:00,User,"Boston, MA",self
stefan-jansen/machine-learning-for-trading,kenfedor,32516542,2019-02-06T13:12:41+00:00,User,"New York, NY",Hedge Fund
stefan-jansen/machine-learning-for-trading,sriyogesh94,20486575,2019-02-12T08:59:35+00:00,User,"Hyderabad, India.",
stefan-jansen/machine-learning-for-trading,dikar,251375,2019-02-13T08:40:57+00:00,User,,
stefan-jansen/machine-learning-for-trading,tibkiss,113485,2019-02-13T13:36:05+00:00,User,Budapest,
stefan-jansen/machine-learning-for-trading,mathlhl,1642456,2019-02-15T04:44:25+00:00,User,,
stefan-jansen/machine-learning-for-trading,geraybos,9381553,2019-02-15T05:16:21+00:00,User,,
stefan-jansen/machine-learning-for-trading,kangchihlun,9709953,2019-02-15T06:11:20+00:00,User,Taiwan,
stefan-jansen/machine-learning-for-trading,peihanlee,8233416,2019-02-15T06:25:54+00:00,User,,
stefan-jansen/machine-learning-for-trading,AlvinPH,8528214,2019-02-15T06:38:31+00:00,User,Taiwan,
stefan-jansen/machine-learning-for-trading,Henderake,6190016,2019-02-15T06:43:24+00:00,User,,
stefan-jansen/machine-learning-for-trading,xzarlin,19832438,2019-02-15T06:53:10+00:00,User,,
stefan-jansen/machine-learning-for-trading,bluekidds,358454,2019-02-15T11:11:43+00:00,User,Brisbane,Kapiche
stefan-jansen/machine-learning-for-trading,SDpower,745625,2019-02-15T12:48:36+00:00,User,Taichung City Taiwan,SDpower
stefan-jansen/machine-learning-for-trading,aparij,73718,2019-02-15T15:20:14+00:00,User,"Montreal,Quebec,Canada",Autodesk
stefan-jansen/machine-learning-for-trading,hanbingyan,11767860,2019-02-16T02:35:13+00:00,User,China,
stefan-jansen/machine-learning-for-trading,adenchou,13701895,2019-02-16T12:44:26+00:00,User,,
stefan-jansen/machine-learning-for-trading,mysl,3196830,2019-02-23T00:48:44+00:00,User,,
stefan-jansen/machine-learning-for-trading,fly51fly,128885,2019-02-23T12:05:02+00:00,User,BeiJing,PRIS
stefan-jansen/machine-learning-for-trading,huazai5201995,32017646,2019-02-23T12:07:25+00:00,User,BeiJing,fusidic
stefan-jansen/machine-learning-for-trading,wl199601,19469830,2019-02-23T12:13:56+00:00,User,,
stefan-jansen/machine-learning-for-trading,han04,34024206,2019-02-23T12:17:42+00:00,User,China,
stefan-jansen/machine-learning-for-trading,keyunluo,18658607,2019-02-23T12:23:37+00:00,User,"Nanjing, China",Nanjing University
stefan-jansen/machine-learning-for-trading,minruixu,29389218,2019-02-23T12:36:46+00:00,User,,
stefan-jansen/machine-learning-for-trading,hellobiek,2854520,2019-02-23T12:38:04+00:00,User,,
stefan-jansen/machine-learning-for-trading,elans2,34826849,2019-02-23T12:54:12+00:00,User,,
stefan-jansen/machine-learning-for-trading,sky2code,18340246,2019-02-23T12:54:33+00:00,User,,
stefan-jansen/machine-learning-for-trading,JackEHolmes,26513369,2019-02-23T13:08:02+00:00,User,,
stefan-jansen/machine-learning-for-trading,hxw11,13644792,2019-02-23T13:13:01+00:00,User,,
stefan-jansen/machine-learning-for-trading,DesertsX,26136810,2019-02-23T13:53:55+00:00,User,"HangZhou, China",
stefan-jansen/machine-learning-for-trading,falconzyx,2308771,2019-02-23T14:24:55+00:00,User,china,University of Alberta
stefan-jansen/machine-learning-for-trading,feiyudelei,16318828,2019-02-23T14:27:21+00:00,User,,
stefan-jansen/machine-learning-for-trading,leotywy,3433105,2019-02-23T16:26:38+00:00,User,,
stefan-jansen/machine-learning-for-trading,noteanddata,39714471,2019-02-23T22:31:01+00:00,User,,
stefan-jansen/machine-learning-for-trading,BryceMeng,3353922,2019-02-24T01:23:27+00:00,User,Vancouver,NYIT
stefan-jansen/machine-learning-for-trading,IoTBuilder,26078806,2019-02-24T03:41:47+00:00,User,,
stefan-jansen/machine-learning-for-trading,AjayTsao,8497452,2019-02-24T21:54:36+00:00,User,,
stefan-jansen/machine-learning-for-trading,techperfect,22025425,2019-02-25T01:26:44+00:00,User,,
