repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
streamlit/streamlit,3057213374,11330,"st.context.timezone becomes empty str ("""") after reloading new saved changes","### Checklist

- [x] I have searched the [existing issues](https://github.com/streamlit/streamlit/issues) for similar issues.
- [x] I added a very descriptive title to this issue.
- [x] I have provided sufficient information below to help reproduce this issue.

### Summary

When using `st.context.timezone` in a Streamlit app, the component initially returns the correct timezone string of the user's browser.
However, after making any change to the associated `.py` files and saving them, the page refreshes automatically, causing `st.context.timezone` to become `""""`.
If you refresh the page by interacting with other Streamlit components, like a button, it recovers it's initial correct state.

### Reproducible Code Example

```Python
import streamlit as st

st.set_page_config(
    page_title=""Streamlit App"",
)

st.write(f""Timezone: {type(st.context.timezone).__name__}, {st.context.timezone}"")
st.write(st.context.timezone == """")
st.button(""Click me!"")
```

### Steps To Reproduce

1. Create a Streamlit app with the provided code snippet.
2. Run the app and observe that `st.context.timezone` returns the correct timezone string (e.g., Europe/Madrid).
3. Make any change to the `.py` file, such as adding a blank line, and save the file.
4. Observe the automatic page refresh and check the value returned by `st.context.timezone`.
5. Click the button or refresh the page to recover the initial correct timezone.

### Expected Behavior

After making changes to the `.py` files and saving them, the page should refresh automatically, and `st.context.timezone` should consistently return the correct timezone string of the user's browser.

### Current Behavior

After saving changes to the `.py` files, the page refreshes automatically, causing `st.context.timezone` to return `""""`. 
The correct timezone is restored by the page.

### Is this a regression?

- [ ] Yes, this used to work in a previous version.

### Debug info

- Streamlit version: 1.45.0
- Python version: 3.10.11
- Operating System: Windows 11
- Browser: Chrome and Edge


### Additional Information

_No response_",RubenCata,61882466,open,False,1,2025-05-12T14:39:12+00:00,2025-05-12T14:39:25+00:00,,type:bug;status:needs-triage,2,2,0,0,0,0,0
streamlit/streamlit,3056533743,11329,Bump query-string from 9.1.1 to 9.1.2 in /frontend,"Bumps [query-string](https://github.com/sindresorhus/query-string) from 9.1.1 to 9.1.2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/sindresorhus/query-string/releases"">query-string's releases</a>.</em></p>
<blockquote>
<h2>v9.1.2</h2>
<ul>
<li>Fix <code>types</code> option with <code>arrayFormat: comma</code> and one item in array (<a href=""https://redirect.github.com/sindresorhus/query-string/issues/406"">#406</a>)  3e61882</li>
</ul>
<hr />
<p><a href=""https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2"">https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/sindresorhus/query-string/commit/ad9fe2fed20f4c4f18076d17d5275a83a93ed006""><code>ad9fe2f</code></a> 9.1.2</li>
<li><a href=""https://github.com/sindresorhus/query-string/commit/3e6188231268dca3bb514451839b263a70538e7b""><code>3e61882</code></a> Fix <code>types</code> option with <code>arrayFormat: comma</code> and one item in array (<a href=""https://redirect.github.com/sindresorhus/query-string/issues/406"">#406</a>)</li>
<li><a href=""https://github.com/sindresorhus/query-string/commit/88e1e36dd3bccf178dfaf54f44293e790d8bbd9d""><code>88e1e36</code></a> Add failing test for <a href=""https://redirect.github.com/sindresorhus/query-string/issues/404"">#404</a></li>
<li><a href=""https://github.com/sindresorhus/query-string/commit/fbeefd60bcac56262d7f425477dd16df9ed7780c""><code>fbeefd6</code></a> Meta tweaks</li>
<li><a href=""https://github.com/sindresorhus/query-string/commit/4b925475a842eb3c951fcc1cd1d6aa7f82c98c16""><code>4b92547</code></a> Fix readme typos (<a href=""https://redirect.github.com/sindresorhus/query-string/issues/397"">#397</a>)</li>
<li>See full diff in <a href=""https://github.com/sindresorhus/query-string/compare/v9.1.1...v9.1.2"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=query-string&package-manager=npm_and_yarn&previous-version=9.1.1&new-version=9.1.2)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],49699333,closed,False,1,2025-05-12T10:48:59+00:00,2025-05-12T11:22:01+00:00,2025-05-12T11:21:59+00:00,security-assessment-completed;impact:internal;change:chore,0,0,0,0,0,0,0
streamlit/streamlit,3056530524,11328,Bump urlpattern-polyfill from 10.0.0 to 10.1.0 in /frontend,"Bumps [urlpattern-polyfill](https://github.com/kenchris/urlpattern-polyfill) from 10.0.0 to 10.1.0.
<details>
<summary>Commits</summary>
<ul>
<li>See full diff in <a href=""https://github.com/kenchris/urlpattern-polyfill/commits"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=urlpattern-polyfill&package-manager=npm_and_yarn&previous-version=10.0.0&new-version=10.1.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],49699333,closed,False,1,2025-05-12T10:47:45+00:00,2025-05-12T11:22:07+00:00,2025-05-12T11:22:05+00:00,security-assessment-completed;impact:internal;change:chore,0,0,0,0,0,0,0
streamlit/streamlit,3056130076,11327,Plotly chart `Reset axes` not working after `Fullscreen`,"### Checklist

- [x] I have searched the [existing issues](https://github.com/streamlit/streamlit/issues) for similar issues.
- [x] I added a very descriptive title to this issue.
- [x] I have provided sufficient information below to help reproduce this issue.

### Summary

Hi,

Plotly chart `Reset axes` is not working after `Fullscreen`.

### Reproducible Code Example

```Python
import plotly.express as px
import streamlit as st

data_canada = px.data.gapminder().query(""country == 'Canada'"")
fig = px.bar(data_canada, x=""year"", y=""pop"")

st.plotly_chart(fig)
```

### Steps To Reproduce

1. Make a selection in the graph
2. Click `Fullscreen`
3. `Reset axes` is not working

### Expected Behavior

_No response_

### Current Behavior

_No response_

### Is this a regression?

- [ ] Yes, this used to work in a previous version.

### Debug info

- Streamlit version: 1.45.0
- Plotly version : 6.0.1
- Python version: 3.12
- Operating System: Windows 11
- Browser: Chrome


### Additional Information

_No response_",ghilesmeddour,88532760,open,False,1,2025-05-12T08:38:45+00:00,2025-05-12T08:38:59+00:00,,type:bug;status:needs-triage,2,2,0,0,0,0,0
streamlit/streamlit,3055362052,11326,[WIP] Add new `SidebarContext`,"## Describe your changes
Build a new `SidebarContext` to isolate sidebar related context items/props:
* `initialSidebarState`: Refactored from `AppContext` & removed prop pass to `ThemedSidebar` in `AppView`
* `pageLinkBaseUrl`: Refactored from `AppContext`
* `expandSidebarNav`: Refactored from `AppContext`
* `hideSidebarNav`: Refactored from `AppContext`

This PR removes `Sidebar` & associated component's subsciptions to `LibContext` and is part 1 of removing subsciptions to `AppContext` 

## Testing Plan
- Refactor: existing tests should pass",mayagbarnes,63436329,open,False,2,2025-05-12T01:00:27+00:00,2025-05-12T03:05:44+00:00,,security-assessment-completed;impact:internal;change:refactor,0,0,0,0,0,0,0
streamlit/streamlit,3055082248,11325,"Application Not Starting - ""The main module file does not exist"" Despite File Presence","### Checklist

- [x] I have searched the [existing issues](https://github.com/streamlit/streamlit/issues) for similar issues.
- [x] I added a very descriptive title to this issue.
- [x] I have provided sufficient information below to help reproduce this issue.

### Summary

**Subject: Application Not Starting - ""The main module file does not exist"" Despite File Presence**

Hello,

I'm experiencing a critical issue with my Streamlit Cloud application that fails to start properly.

**Problem Description:**
- Application URL: [your-streamlit-app-URL]
- Error message: ""The main module file does not exist: /mount/src/mja-poc-oc-p9/app.py""
- The app.py file definitely exists at the root of my GitHub repository and is correctly configured
- I've verified the project structure, all necessary files are present
- I've attempted multiple restarts/redeployments without success

**Technical Details:**
- GitHub Repository: [your-repo-URL]
- Project structure: app.py is present at the root, with models/ and utils/ folders correctly configured
- Logs show that Streamlit cannot find the app.py file although it's visible in GitHub
- I'm using Python 3.x with TensorFlow/Keras to load an ML model from Hugging Face

**What I've Already Tried:**
- Restarting the application from the dashboard
- Forcing redeployment via minor commits
- Checking all configuration parameters
- Using optimized code to load the model with TFSMLayer

**Suspicions:**
There seems to be a synchronization issue between GitHub and Streamlit Cloud, or a caching problem preventing Streamlit from finding my app.py file.

Could you please help me resolve this issue so my application can start properly?
FYI : My app is working well locally in my VM Linux
Thank you in advance,
[Your name]

### Reproducible Code Example

```Python

```

### Steps To Reproduce

_No response_

### Expected Behavior

_No response_

### Current Behavior

_No response_

### Is this a regression?

- [ ] Yes, this used to work in a previous version.

### Debug info

- Streamlit version:
- Python version:
- Operating System:
- Browser:


### Additional Information

_No response_",JABRIAESIO,119850679,open,False,1,2025-05-11T16:27:59+00:00,2025-05-11T16:28:09+00:00,,type:bug;status:needs-triage,1,1,0,0,0,0,0
streamlit/streamlit,3055009040,11324,st.switch_page swithing to another page displays part of previous page content for milliseconds,"### Checklist

- [x] I have searched the [existing issues](https://github.com/streamlit/streamlit/issues) for similar issues.
- [x] I added a very descriptive title to this issue.
- [x] I have provided sufficient information below to help reproduce this issue.

### Summary

st.switch_page - I see a problem when using page transitions, when switching from page 1 to page 2, when page 2 is loaded, part of the content from page 1 is displayed for milliseconds, but this is clearly noticeable visually, you don’t expect to see this data there at all, and I checked that st.switch_page does not make a repeat call to update the content on page 1.

### Reproducible Code Example

```Python

```

### Steps To Reproduce

switching from page 1 to page 2 using st.switch_page, when page 2 is loaded, part of the content from page 1 is displayed for milliseconds, but this is clearly noticeable visually, you don’t expect to see this data there at all, and I checked that st.switch_page does not make a repeat call to update the content on page 1.

### Expected Behavior

_No response_

### Current Behavior

_No response_

### Is this a regression?

- [ ] Yes, this used to work in a previous version.

### Debug info

- Streamlit version: 1.45
- Python version: 13
- Operating System: windows
- Browser: chrome


### Additional Information

_No response_",inochkin,43781724,open,False,1,2025-05-11T14:01:19+00:00,2025-05-11T14:01:30+00:00,,type:bug;status:needs-triage,1,1,0,0,0,0,0
streamlit/streamlit,3054994319,11323,[Prototype] Add column statistics to column menu,"## Describe your changes

<img width=""462"" alt=""Screenshot 2025-05-11 at 15 33 03"" src=""https://github.com/user-attachments/assets/b0887533-7458-4b6c-9dbb-55cf89ed3a89"" />

## GitHub Issue Link (if applicable)

## Testing Plan

- Explanation of why no additional tests are needed
- Unit Tests (JS and/or Python)
- E2E Tests
- Any manual testing needed?

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this project are made under the Apache 2.0 license.
",lukasmasuch,2852129,open,False,2,2025-05-11T13:32:59+00:00,2025-05-11T13:40:13+00:00,,,0,0,0,0,0,0,0
streamlit/streamlit,3054833073,11322,Refactor `Form` component to pull `formsData`,"## Describe your changes
As a follow-up to https://github.com/streamlit/streamlit/pull/11278, move the `formsData` retrieval from `FormsContext` out of `Block.tsx` to reduce unnecessary rerenders

## Testing Plan
- Refactor: existing tests should pass
",mayagbarnes,63436329,open,False,2,2025-05-11T08:33:13+00:00,2025-05-11T23:21:19+00:00,,security-assessment-completed;impact:internal;change:refactor,0,0,0,0,0,0,0
streamlit/streamlit,3054315039,11321,"[WIP][AdvancedLayouts] Adds st.column(gap=""none"")","## Describe your changes

We allow users to have no gap between columns. 

## GitHub Issue Link (if applicable)

## Testing Plan

Unit Tests (JS and/or Python) ✅
E2E Tests ✅

---

**Contribution License Agreement**

By submitting this pull request you agree that all contributions to this project are made under the Apache 2.0 license.
",sfc-gh-lwilby,103002751,open,False,2,2025-05-10T16:07:59+00:00,2025-05-12T03:42:15+00:00,,security-assessment-completed;change:feature;impact:users,0,0,0,0,0,0,0
