repo_full_name,pr_id,comment_id,user_login,user_id,created_at,updated_at,body,is_review_comment,path,position,diff_hunk,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
streamlit/streamlit,2512434329,2085846547,mayagbarnes,63436329,2025-05-13T03:12:17+00:00,2025-05-13T03:12:17+00:00,Removing this note as it is legacy from st version `0.47.0` (see [here](https://github.com/streamlit/streamlit/blob/0.47.0/frontend/src/components/core/Sidebar/Sidebar.tsx)). The `tabIndex` was removed in `0.48.0`,False,,,,0,0,0,0,0,0,0
streamlit/streamlit,2512434329,2085846547,mayagbarnes,63436329,2025-05-13T03:12:17+00:00,2025-05-13T03:12:17+00:00,Removing this note as it is legacy from st version `0.47.0` (see [here](https://github.com/streamlit/streamlit/blob/0.47.0/frontend/src/components/core/Sidebar/Sidebar.tsx)). The `tabIndex` was removed in `0.48.0`,True,frontend/app/src/components/Sidebar/Sidebar.tsx,65.0,"@@ -284,7 +284,6 @@ const Sidebar: React.FC<SidebarProps> = ({
   // If header decoration visible, move sidebar down so decoration doesn't go below it
   const sidebarAdjust = !isEmbedded && headerDecorationVisible()
 
-  // The tabindex is required to support scrolling by arrow keys.",0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085032428,sfc-gh-lwilby,103002751,2025-05-12T16:19:42+00:00,2025-05-12T16:19:43+00:00,"These snapshot changes below are unexpected, but the difference in snapshots seems imperceptible to me. ",False,,,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085063823,graphite-app[bot],96075541,2025-05-12T16:39:43+00:00,2025-05-12T16:39:44+00:00,"The comment in the test case is incorrect - it states that columns receive a ""large"" gap arg, but this test is specifically for the ""none"" gap setting. The comment should be updated to:

```
# 4 elements will be created: 1 horizontal block, 3 columns, each receives
# ""none"" gap arg
```

This will accurately reflect what the test is verifying.
```suggestion
+        # 4 elements will be created: 1 horizontal block, 3 columns, each receives
+        # ""none"" gap arg
```
  

*Spotted by [Diamond](https://app.graphite.dev/diamond/?org=streamlit&ref=ai-review-comment)*<i class='graphite__hidden'><br /><br />Is this helpful? React 👍 or 👎 to let us know.</i>",False,,,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085155875,sfc-gh-bnisco,178842601,2025-05-12T17:41:12+00:00,2025-05-12T22:07:26+00:00,"+1, seems like a slight letter rendering change, but nothing that is concerning/relevant ",False,,,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085604101,sfc-gh-bnisco,178842601,2025-05-12T22:06:16+00:00,2025-05-12T22:07:26+00:00,"**suggestion:** I believe the CSS `calc` is unnecessary here and thus this could be simplified:

```suggestion
        ? `${percentage}%`
```",False,,,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085032428,sfc-gh-lwilby,103002751,2025-05-12T16:19:42+00:00,2025-05-12T16:19:43+00:00,"These snapshot changes below are unexpected, but the difference in snapshots seems imperceptible to me. ",True,e2e_playwright/__snapshots__/linux/st_columns_test/st_columns-nested_one_level[chromium].png,1.0,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085063823,graphite-app[bot],96075541,2025-05-12T16:39:43+00:00,2025-05-12T16:39:44+00:00,"The comment in the test case is incorrect - it states that columns receive a ""large"" gap arg, but this test is specifically for the ""none"" gap setting. The comment should be updated to:

```
# 4 elements will be created: 1 horizontal block, 3 columns, each receives
# ""none"" gap arg
```

This will accurately reflect what the test is verifying.
```suggestion
+        # 4 elements will be created: 1 horizontal block, 3 columns, each receives
+        # ""none"" gap arg
```
  

*Spotted by [Diamond](https://app.graphite.dev/diamond/?org=streamlit&ref=ai-review-comment)*<i class='graphite__hidden'><br /><br />Is this helpful? React 👍 or 👎 to let us know.</i>",True,lib/tests/streamlit/elements/layouts_test.py,,"@@ -234,6 +238,52 @@ def test_columns_with_large_gap(self):
                 GapSize.LARGE,
             )
 
+    def test_columns_with_none_gap(self):
+        """"""Test that it works correctly with ""none"" gap argument""""""
+
+        st.columns(3, gap=""none"")
+
+        all_deltas = self.get_all_deltas_from_queue()
+
+        horizontal_container = all_deltas[0]
+        columns_blocks = all_deltas[1:4]
+
+        # 4 elements will be created: 1 horizontal block, 3 columns, each receives
+        # ""large"" gap arg",0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085155875,sfc-gh-bnisco,178842601,2025-05-12T17:41:12+00:00,2025-05-12T22:07:26+00:00,"+1, seems like a slight letter rendering change, but nothing that is concerning/relevant ",True,e2e_playwright/__snapshots__/linux/st_columns_test/st_columns-nested_one_level[chromium].png,1.0,,0,0,0,0,0,0,0
streamlit/streamlit,2511567613,2085604101,sfc-gh-bnisco,178842601,2025-05-12T22:06:16+00:00,2025-05-12T22:07:26+00:00,"**suggestion:** I believe the CSS `calc` is unnecessary here and thus this could be simplified:

```suggestion
        ? `${percentage}%`
```",True,frontend/lib/src/components/core/Block/styled-components.ts,,"@@ -99,7 +101,10 @@ export const StyledColumn = styled.div<StyledColumnProps>(
     const { VerticalAlignment } = BlockProto.Column
     const percentage = weight * 100
     const gapWidth = translateGapWidth(gap, theme)
-    const width = `calc(${percentage}% - ${gapWidth})`
+    const width =
+      gapWidth === theme.spacing.none
+        ? `calc(${percentage}%)`",0,0,0,0,0,0,0
