repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
streamlit/streamlit,310573212,1,Implement Caching object to support running code blocks only once,"```python
import streamlit as st
import time

c = st.Cache()
if c:
    time.sleep(2)
    c.my_dict = {
        'a': 42
    }

st.write(c.my_dict)
```",domoritz,589034,closed,False,2019-08-24T01:30:05+00:00,2019-08-24T03:21:36+00:00,2019-08-24T03:21:18+00:00,2019-08-24T03:21:18+00:00,f8167a445e9a919ab8877b2ffd3f79376717e16b,unknown,226,28,4,27,0,0,treuille,,
streamlit/streamlit,310584144,2,Improve caching code,"* Fix argument to error message
* Fix typos
* Implement Python 2 compatible example code generation
* Add test",domoritz,589034,closed,False,2019-08-24T04:56:48+00:00,2019-08-24T22:26:26+00:00,2019-08-24T22:26:25+00:00,2019-08-24T22:26:25+00:00,f5332a18596bc681f1efcc00ee6eae0ad0f81152,unknown,30,13,3,4,4,0,,,
streamlit/streamlit,310585149,3,Fix line number in error message,"<img width=""641"" alt=""Screen Shot 2019-08-23 at 10 44 19 PM"" src=""https://user-images.githubusercontent.com/589034/63633124-a35ebe00-c5f7-11e9-9847-b66f81901b24.png"">
",domoritz,589034,closed,False,2019-08-24T05:19:47+00:00,2019-08-24T20:21:48+00:00,2019-08-24T20:21:48+00:00,2019-08-24T20:21:48+00:00,19cd970a49515096945d958e42ddea5be3583769,unknown,35,13,2,2,0,0,,,
streamlit/streamlit,310585325,4,Remove incorrect background of code inside error messages,"Before:

<img width=""677"" alt=""Screen Shot 2019-08-23 at 10 23 05 PM"" src=""https://user-images.githubusercontent.com/589034/63632916-b15f0f80-c5f4-11e9-8363-ab94bbc3b1fd.png"">

After:

<img width=""641"" alt=""Screen Shot 2019-08-23 at 10 23 59 PM"" src=""https://user-images.githubusercontent.com/589034/63632920-ba4fe100-c5f4-11e9-83ef-0baec8115aeb.png"">
",domoritz,589034,closed,False,2019-08-24T05:24:13+00:00,2019-08-24T20:21:59+00:00,2019-08-24T20:21:59+00:00,2019-08-24T20:21:59+00:00,d0dfca6ee0988ec8934d30bc51608c5606ccef35,unknown,0,1,1,1,0,0,jrhone,,
streamlit/streamlit,310777669,7,Fix vertical spacing in Streamlit reports,"The Sidebar PR accidentally reduced the vertical spacing of Streamlit elements. This fixes that with a one-line CSS change, and then does some small refactors for Block-related readability.",tvst,690814,closed,False,2019-08-26T06:08:52+00:00,2019-08-26T18:51:20+00:00,2019-08-26T18:51:17+00:00,2019-08-26T18:51:17+00:00,a62f621104286dcf5baec52bbee1c70a578bb828,unknown,72,53,4,6,8,0,,,
streamlit/streamlit,310779747,8,Fix #1230: OSError not caught when writing cache to disk,"This fixes an uncaught Python 2 exception, as reported here: #1230.

It also hides a hashing warning when a user imports a module from inside a cached function. This is a common scenario, and the warning UI is too invasive today. We should come up with a better UI.",tvst,690814,closed,False,2019-08-26T06:17:53+00:00,2019-11-12T04:33:19+00:00,2019-08-26T06:38:11+00:00,2019-08-26T06:38:11+00:00,2f73a88d80dc64e3ae40679d3236bf7d439cbdf9,unknown,16,5,2,2,0,3,,,
streamlit/streamlit,310783912,9,Fix #6: report should load element by element (was broken since Sidebar PR),,tvst,690814,closed,False,2019-08-26T06:34:24+00:00,2019-08-26T18:44:42+00:00,2019-08-26T18:44:35+00:00,2019-08-26T18:44:35+00:00,afd964489be26eabd4439a1a6112af0c3cb01e34,unknown,3,1,1,1,0,0,,,
streamlit/streamlit,310910142,11,Standardize cypress viewport across all tests and fixes,"Standardize cypress viewport across all tests
- setting to [most common screen resolution](http://gs.statcounter.com/screen-resolution-stats/desktop/worldwide)
- update cypress snapshots for mac and linux

Additional fixes and changes
- fix a test in `empty_dataframes.py`, that was old and needed updating
- remove snapshot corresponding to missing `mplotlib` test
- fixed issue with snapshots being cutoff or wrong element being captured sporadically
- increased snapshot diff threshold by .5%
- fix `reuse_label.py` test because we run in headless mode on circleci but not locally
- increase snapshot bounding box for `disconnect.py` and `empty_dataframes.py`
- allow multiple valid width values for `vega_lite_chart.py`
- set `devicePixelRatio` to 1 when running `cypress open`.. fixes [918](https://github.com/streamlit/streamlit-old-private/issues/918)
- remove spinner e2e test and core example.. replaced with #5 
- fix `audio.py` test by increasing the timeout because we're fetching an external file
- fix `disabled.py` test because the slider api changed
- preload `viz.js` when running `yarn start`.. fixes [884](https://github.com/streamlit/streamlit-old-private/issues/884)

[Issue](https://github.com/streamlit/streamlit-old-private/issues/1246)
",jrhone,699897,closed,False,2019-08-26T13:04:43+00:00,2019-08-28T00:46:52+00:00,2019-08-28T00:46:52+00:00,2019-08-28T00:46:52+00:00,712c2cda7f0fe8b8602fd689a7e31c873ddaa86f,unknown,49,86,154,38,5,0,tconkling;kantuni;arraydude;monchier,,
streamlit/streamlit,310990004,12,Adding support for if and for to magic,Same as on old branch: https://github.com/streamlit/streamlit-old-private/pull/1271,monchier,6821233,closed,False,2019-08-26T16:32:15+00:00,2019-08-26T20:05:34+00:00,2019-08-26T20:05:34+00:00,2019-08-26T20:05:34+00:00,e6ec7c03c60f962a4fd73d4257d6582914c6bd07,unknown,10,4,1,1,1,0,,,
streamlit/streamlit,311045711,13,Adding unit tests for magic,,monchier,6821233,closed,False,2019-08-26T19:06:34+00:00,2019-08-27T22:46:55+00:00,2019-08-27T22:46:55+00:00,2019-08-27T22:46:55+00:00,4643324a55744b4d7566ddb9633c49ff0643b61c,unknown,121,0,1,4,3,0,,,
streamlit/streamlit,311055113,14,st.map() using deck_gl,"Original PR: https://github.com/streamlit/streamlit-old-private/pull/1274

This PR fixes #512:

1. Added new map element in which is contained all the logics.
2. The map element is a shorthand for deck_gl in which is calculated the center and zoom level.
3. New zoom parameter to map in case you want to specify a different one.",arraydude,631997,closed,False,2019-08-26T19:29:43+00:00,2019-08-26T20:10:39+00:00,2019-08-26T20:10:34+00:00,2019-08-26T20:10:34+00:00,d6d375cbb531b3bf8e0424afeecb5a08a192e4b0,unknown,296,223,11,10,0,0,tconkling;kantuni,,
streamlit/streamlit,311091581,15,Move all e2e test files into saner folders,"* Moved all files from `frontend/cypress/integration/examples/core/` to `e2e/tests/`
* Moved all files from `examples/core/` to `e2e/scripts/`
* Changed `run_e2e_tests.sh` to support retrying a failed test.

@jrhone, don't worry: I'll merge this _after_ your in-flights PRs :smile: ",tvst,690814,closed,False,2019-08-26T20:59:14+00:00,2019-09-11T18:03:38+00:00,2019-09-11T18:03:34+00:00,2019-09-11T18:03:34+00:00,4128f4f0821457c37eea19cbcbb79942158cda2f,unknown,69,33,113,5,0,2,,,
streamlit/streamlit,311120275,16,Hash numpy arrays. Use fixed size sample.,,domoritz,589034,closed,False,2019-08-26T22:26:38+00:00,2019-08-28T18:16:43+00:00,2019-08-28T18:16:41+00:00,2019-08-28T18:16:41+00:00,5ccf7ffdb9e06b61d22c7bebfaff5d5c5b8834c0,unknown,44,7,2,3,7,0,treuille,,
streamlit/streamlit,311208499,20,"Remove hexagon layer from st.map, use Pandas for range computation, and other st.map improvements","I was doing the release and realized the new `st.map` was showing both a scatterplot layer and hexagon layer, when it should only show scatterplots. This PR fixes that.

...and since I was touching that code, I noticed a few other places it would be improved:
1. We should use Pandas to compute min/max since it's faster than doing a loop in Python
2. Some docstrings and exception messages needed a little love
3. I realized DeckGlChart supports columns named lat/lon as well as latitude/longitude (this is handled in JS), so I made `st.map` support the both types as well.
4. Since I removed the hex layer, I set the `pitch` to 0 to get a flat map.",tvst,690814,closed,False,2019-08-27T05:39:54+00:00,2019-08-27T18:52:44+00:00,2019-08-27T18:52:36+00:00,2019-08-27T18:52:36+00:00,75bb54948449915dd5b66458755761f57975431b,unknown,59,109,3,9,0,0,,,
streamlit/streamlit,311462959,21,ForwardMsg.metadata,"Delta metadata (id, parent_block) is now stored in a `ForwardMsgMetadata` message that hangs off `ForwardMsg`. These bits won't be hashed by the upcoming ForwardMsg de-duping stuff I'm working on.",tconkling,709022,closed,False,2019-08-27T16:16:34+00:00,2019-08-27T19:39:28+00:00,2019-08-27T19:39:25+00:00,2019-08-27T19:39:25+00:00,bb7a0a0910112cc2f25cc055f85373ea0dcce1e3,unknown,122,85,13,4,5,0,kantuni,,
streamlit/streamlit,311503423,22,Deprecating data parameter from st.deck_gl_chart(),This PR Fixes streamlit/streamlit-old-private#956 step 2,arraydude,631997,closed,False,2019-08-27T18:10:54+00:00,2019-08-28T17:13:04+00:00,2019-08-28T17:13:00+00:00,2019-08-28T17:13:00+00:00,2d7074139f63dc7d8c57443f222e05ea00cb3828,unknown,76,63,6,7,3,0,kantuni,,
