repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
virgili0/Virgilio,261233990,1,fixed wrong command usage,"In the ""install scikit"" section, the pip command was installing tensorflow instead of scikit-learn.",rodrigogiraoserrao,5621605,closed,False,2019-03-14T16:01:14+00:00,2019-03-14T16:17:37+00:00,2019-03-14T16:04:58+00:00,2019-03-14T16:04:58+00:00,468c9703ecf144125ca123fce92d238180a518b5,unknown,1,1,1,1,0,3,,,
virgili0/Virgilio,261326720,2,Update README.md,Added website resource,3nomis,13481245,closed,False,2019-03-14T20:26:27+00:00,2019-03-15T08:07:05+00:00,2019-03-15T08:06:55+00:00,2019-03-15T08:06:55+00:00,83c6739e0d7ec13c8e5d91ad7d992c4ff238d007,unknown,2,1,1,1,0,1,,,
virgili0/Virgilio,261755062,3,Fixed minor language issues.,"Fixed some typos, capitalized some ""i"" words, tried to correct possible grammar imperfections while keeping the style of the text.",rodrigogiraoserrao,5621605,closed,False,2019-03-16T07:20:25+00:00,2019-03-16T20:49:33+00:00,2019-03-16T11:45:42+00:00,2019-03-16T11:45:42+00:00,baa88978ef4baeae5767b2de7e5a563474c8c840,unknown,51,49,1,3,0,2,,,
virgili0/Virgilio,262258437,4,Update README.md,"# Relative links issue 
## [Machine Learning Career  --  ALREADY OUT (Career%20Paths/Machine%20Learning%20Engineer%20Career%20Path)  
",khaledbay,13419469,closed,False,2019-03-18T23:11:27+00:00,2019-03-19T08:35:59+00:00,2019-03-19T08:35:59+00:00,2019-03-19T08:35:59+00:00,af3c5ba4fab8423d4b3b53dd66e9df7be1d6ffbc,unknown,1,1,1,1,0,1,,,
virgili0/Virgilio,262572911,5,Some typos and errors,Hope you don't mind!,mindflayer,527325,closed,False,2019-03-19T18:09:43+00:00,2019-03-19T19:20:01+00:00,2019-03-19T19:20:01+00:00,2019-03-19T19:20:01+00:00,ccbc30d8d6bb772819105ec054465886f223a963,unknown,6,6,1,1,0,1,,,
virgili0/Virgilio,262607916,6,Add two ML blogs,"I think it's worth adding Towards Data Science and Machine Learning Mastery as learning resources in the blog section. The former is useful for having a broader view of the Data Science field, while the latter one explains complex topics in a clear way (it was really useful for my B.Sc. thesis :) )",hechmik,32925901,closed,False,2019-03-19T19:56:21+00:00,2019-03-20T07:15:45+00:00,2019-03-20T07:15:45+00:00,2019-03-20T07:15:45+00:00,2049667e936bcb17e2ab64d73d29c35e47ec882c,unknown,2,0,1,1,0,1,,,
virgili0/Virgilio,263329274,7,Latex Section,Added latex section and fixed some typos,damianoazzolini,24901681,closed,False,2019-03-21T17:15:44+00:00,2019-03-21T17:19:04+00:00,2019-03-21T17:19:04+00:00,2019-03-21T17:19:04+00:00,ae2a009417d90d1bc473e22abb60489a6640ec14,unknown,49,23,4,2,0,0,,,
virgili0/Virgilio,263442641,8,Fix errors in README.md,"- Hedging 
- Grammatical errors 
    - Subject verb agreement
    - Missing article
- Changed sentence structure for conciseness and clarity
- Improper capitalizing mid sentence",tdslinden,31021147,closed,False,2019-03-21T23:51:24+00:00,2019-03-22T00:26:42+00:00,2019-03-22T00:26:42+00:00,2019-03-22T00:26:42+00:00,412ed2a25bced1ab75004e8e2a24836372b049bf,unknown,11,11,1,1,0,1,,,
virgili0/Virgilio,263480303,9,Fix errors in README.md,"- Grammatical errors
- Typographical errors",Lulzx,22330483,closed,False,2019-03-22T04:11:14+00:00,2019-03-22T08:03:04+00:00,2019-03-22T08:03:04+00:00,2019-03-22T08:03:04+00:00,68aaf792d69f39ae5288f73a8e5ce005224ed2b6,unknown,10,10,1,3,0,0,,,
virgili0/Virgilio,263532074,10,Fixed Grammatical Errors in README.md,"-Fixed Grammatical Errors in README.md of the root folder and the README.md file in Career Paths/Machine Learning Engineer Career Path.
-Grammatical errors.
-Nominalization of verbs and adjectives.
-Sentences broken down for clarity.
-Hedgings and redundancies removed.
-Detailed explanation of revisions provided in document file below.
[Edits.docx](https://github.com/clone95/Machine-Learning-Study-Path-March-2019/files/2995721/Edits.docx)
",adnan7400,33067377,closed,False,2019-03-22T09:02:11+00:00,2019-03-22T13:09:41+00:00,2019-03-22T13:09:41+00:00,2019-03-22T13:09:41+00:00,c4d62374f0382e556c86eca6c5cbbd3fa1ebc4db,unknown,20,21,2,4,0,1,,,
virgili0/Virgilio,263705251,12,Create WolframAlpha tool,,rodrigogiraoserrao,5621605,closed,False,2019-03-22T17:41:09+00:00,2019-03-22T18:40:04+00:00,2019-03-22T18:40:04+00:00,2019-03-22T18:40:04+00:00,1ef483d254d83c2d2bff931c04807e456601311b,unknown,97,10,4,8,0,1,,,
virgili0/Virgilio,263733258,13,Add info about summations to WolframAlpha.md,,rodrigogiraoserrao,5621605,closed,False,2019-03-22T19:16:30+00:00,2019-03-22T19:46:20+00:00,2019-03-22T19:46:20+00:00,2019-03-22T19:46:20+00:00,9d079bf9bf78792268dd9499d90ce55c0a015dae,unknown,13,2,1,4,0,0,,,
virgili0/Virgilio,263810658,14,README.md Revision ,Fix grammar errors and make the writing more concise,mshvarts,29274153,closed,False,2019-03-23T05:14:50+00:00,2019-03-23T10:07:29+00:00,2019-03-23T10:07:29+00:00,,05977815574e94294e705ea6b3edada8252592aa,unknown,20,23,1,7,1,2,,,
