repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
virgili0/Virgilio,fexed,5090316,2019-03-14T14:04:57+00:00,User,"Montecarlo, Lucca, Italy",Garmin Italy Technologies SRL
virgili0/Virgilio,rob93c,1816483,2019-03-14T14:48:19+00:00,User,Italy,YOOX NET-A-PORTER GROUP
virgili0/Virgilio,KylesDev,6944699,2019-03-14T14:55:11+00:00,User,"Rome, Italy",Cy4Gate
virgili0/Virgilio,nevnein,12485857,2019-03-14T15:02:25+00:00,User,,
virgili0/Virgilio,d3v1l401,7295314,2019-03-14T15:06:19+00:00,User,Sweden,Crytek
virgili0/Virgilio,BooTeK,343474,2019-03-14T15:09:07+00:00,User,,
virgili0/Virgilio,andriyolo,11666622,2019-03-14T15:13:41+00:00,User,Zürich,BLP Digital
virgili0/Virgilio,MyAlexro,44710632,2019-03-14T15:16:50+00:00,User,,
virgili0/Virgilio,FraLupo,13394948,2019-03-14T15:23:39+00:00,User,,
virgili0/Virgilio,giorgioprevitera,494048,2019-03-14T15:38:51+00:00,User,"London, UK",
virgili0/Virgilio,rinodrummer,6603220,2019-03-14T15:41:40+00:00,User,Italy,
virgili0/Virgilio,Defkon1,686298,2019-03-14T15:44:05+00:00,User,Italy,
virgili0/Virgilio,jim-schwoebel,30424731,2019-03-14T15:47:11+00:00,User,"Los Angeles, CA",
virgili0/Virgilio,Gaulm,9869590,2019-03-14T15:47:39+00:00,User,"Italy, Brescia",
virgili0/Virgilio,gianlucabusatta,10784227,2019-03-14T15:55:38+00:00,User,Italy,
virgili0/Virgilio,rodrigogiraoserrao,5621605,2019-03-14T16:01:37+00:00,User,,
virgili0/Virgilio,Khoshdash,7748409,2019-03-14T16:03:22+00:00,User,Egypt,
virgili0/Virgilio,Arjunsankarlal,28828445,2019-03-14T16:07:23+00:00,User,Tamilnadu,Paytm
virgili0/Virgilio,hunglethanh9,16532074,2019-03-14T16:08:44+00:00,User,"Hanoi,Vietnam",FPT University
virgili0/Virgilio,Kgomokoena,29201327,2019-03-14T16:15:32+00:00,User,"Johannesburg, South Africa",Trilogy Innovative Solutions
virgili0/Virgilio,rickie95,29147144,2019-03-14T16:26:35+00:00,User,Italy,
virgili0/Virgilio,velniukas,283570,2019-03-14T16:33:50+00:00,User,Singapore,10xEngineer
virgili0/Virgilio,luca-bnc,21693582,2019-03-14T16:34:53+00:00,User,,
virgili0/Virgilio,domisi,19203303,2019-03-14T16:48:40+00:00,User,Rome - Italy,
virgili0/Virgilio,mrishab,16045635,2019-03-14T16:50:21+00:00,User,Canada,@SaasForgeInc 
virgili0/Virgilio,GiacomoP,1408719,2019-03-14T16:50:31+00:00,User,Ireland,@cloudbeds 
virgili0/Virgilio,atracordis,21221504,2019-03-14T16:57:27+00:00,User,Berlin,omni:us
virgili0/Virgilio,moonbse,29522373,2019-03-14T17:01:55+00:00,User,,
virgili0/Virgilio,jnz73,20419683,2019-03-14T17:10:51+00:00,User,,
virgili0/Virgilio,MonsieurCellophane,24451236,2019-03-14T17:12:23+00:00,User,,
virgili0/Virgilio,hechmik,32925901,2019-03-14T17:24:43+00:00,User,Milan,Ammagamma
virgili0/Virgilio,sheshang,27264876,2019-03-14T17:40:01+00:00,User,India,Morgan Stanley
virgili0/Virgilio,francescosisini,39095586,2019-03-14T17:43:53+00:00,User,Via Vallicelle 13 d Ferrara,_scuola_sisini_
virgili0/Virgilio,Kojee,11331116,2019-03-14T18:00:32+00:00,User,"Montecchio Maggiore, Vicenza",
virgili0/Virgilio,shihs,9305751,2019-03-14T18:07:07+00:00,User,"Sweden, Linköping",
virgili0/Virgilio,simonebaracchi,11963074,2019-03-14T18:11:11+00:00,User,"Milan, Italy",
virgili0/Virgilio,agnirudrasikdar,14024288,2019-03-14T18:17:01+00:00,User,Amsterdam,
virgili0/Virgilio,gygrazok,4949258,2019-03-14T18:23:50+00:00,User,,
virgili0/Virgilio,Mikopet,4664202,2019-03-14T18:30:28+00:00,User,,
virgili0/Virgilio,AkselNormann,16344321,2019-03-14T18:48:06+00:00,User,,
virgili0/Virgilio,lightem90,7601728,2019-03-14T19:00:08+00:00,User,,
virgili0/Virgilio,fefemess,26365731,2019-03-14T19:13:07+00:00,User,"Sicily, Italy",
virgili0/Virgilio,Fulge,6196313,2019-03-14T19:17:44+00:00,User,::1,
virgili0/Virgilio,NeverInAsh,7336367,2019-03-14T19:20:53+00:00,User,,
virgili0/Virgilio,spacenoah,46863069,2019-03-14T19:26:51+00:00,User,,
virgili0/Virgilio,FilBr,19865000,2019-03-14T19:29:01+00:00,User,Copenhagen,@nuuday 
virgili0/Virgilio,massimocavallin,12296695,2019-03-14T19:56:00+00:00,User,,
virgili0/Virgilio,7ruth,10719152,2019-03-14T20:00:29+00:00,User,,
virgili0/Virgilio,toborobot,28528708,2019-03-14T20:02:04+00:00,User,Moscow,ICC TOBOROBOT
virgili0/Virgilio,dvyaznikov,23659833,2019-03-14T20:04:20+00:00,User,"Yerevan, Armenia",
