repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
visenger/awesome-mlops,edlich,722016,2020-03-03T12:24:16+00:00,User,Berlin,Berliner Hochschule für Technik
visenger/awesome-mlops,eliekawerk,15185325,2020-03-23T07:48:14+00:00,User,,
visenger/awesome-mlops,blgnksy,11997073,2020-03-23T07:55:41+00:00,User,"Berlin, Germany",METU
visenger/awesome-mlops,backend-bytes127,29118597,2020-03-23T08:09:10+00:00,User,Netherlands,
visenger/awesome-mlops,ak110,4836352,2020-03-23T08:39:56+00:00,User,,
visenger/awesome-mlops,martjushev,11836070,2020-03-23T08:55:39+00:00,User,,
visenger/awesome-mlops,fclesio,10605378,2020-03-23T09:15:12+00:00,User,Berlin - Germany,
visenger/awesome-mlops,yetudada,43755008,2020-03-23T09:16:12+00:00,User,London,@kedro-org
visenger/awesome-mlops,921kiyo,8097799,2020-03-23T09:17:20+00:00,User,"Tokyo, Japan",Opera Tech
visenger/awesome-mlops,imartinezl,20516006,2020-03-23T09:18:41+00:00,User,,
visenger/awesome-mlops,yamasakih,10294378,2020-03-23T09:19:32+00:00,User,,
visenger/awesome-mlops,mhiro2,24864588,2020-03-23T09:37:14+00:00,User,Japan,@mc-digital
visenger/awesome-mlops,dwarfer7634,19330059,2020-03-23T10:12:32+00:00,User,"Tokyo, Japan",
visenger/awesome-mlops,pcieslinski,41043074,2020-03-23T10:16:43+00:00,User,"Wrocław, Poland",Clearcode
visenger/awesome-mlops,Galileo-Galilei,29451317,2020-03-23T11:48:13+00:00,User,,
visenger/awesome-mlops,yilunchen27,21690207,2020-03-23T12:17:33+00:00,User,,
visenger/awesome-mlops,DataScienceUnbound,32269006,2020-03-23T12:38:49+00:00,User,London,Noelia
visenger/awesome-mlops,creyesp,12899450,2020-03-23T13:36:15+00:00,User,"Montevideo, Uruguay",Alphalabs
visenger/awesome-mlops,musaprg,5970737,2020-03-23T13:49:26+00:00,User,"Saitama, Japan",LY Corporation (@LINE) / @mofusoft
visenger/awesome-mlops,hardikudeshi,1525500,2020-03-23T14:01:20+00:00,User,,
visenger/awesome-mlops,timothyrenner,6687064,2020-03-23T14:19:08+00:00,User,"Austin, TX",
visenger/awesome-mlops,travisbrady,38363,2020-03-23T14:26:14+00:00,User,,
visenger/awesome-mlops,anuragreddygv323,12067206,2020-03-23T15:02:40+00:00,User,,
visenger/awesome-mlops,freuk,4016268,2020-03-23T15:43:18+00:00,User,"Austin, TX",Groq
visenger/awesome-mlops,idanov,3482916,2020-03-23T16:53:31+00:00,User,"London, UK",Palantir Technologies
visenger/awesome-mlops,nunofernandes-plight,9132923,2020-03-23T17:23:25+00:00,User,"Lisbon, Portugal","Photonics Precision Technologies, The Intelligence of Information  & FasterCapital"
visenger/awesome-mlops,ricoms,5393732,2020-03-23T17:34:00+00:00,User,"São Paulo, SP - Brazil",
visenger/awesome-mlops,fbarscevicius,6650007,2020-03-23T17:52:48+00:00,User,"Sao Paulo, Brazil",
visenger/awesome-mlops,BioGeek,59344,2020-03-23T19:01:46+00:00,User,"Cape Town, South Africa",@instadeepai
visenger/awesome-mlops,gasyoh,523856,2020-03-24T00:03:21+00:00,User,"Tokyo, Japan",
visenger/awesome-mlops,riyokotter,13447041,2020-03-24T00:27:36+00:00,User,Japan,
visenger/awesome-mlops,fuyutarow,14998939,2020-03-24T00:32:00+00:00,User,,
visenger/awesome-mlops,IMOKURI,1638500,2020-03-24T01:03:45+00:00,User,"Tokyo, Japan",@HewlettPackard
visenger/awesome-mlops,akitana-airtanker,13133610,2020-03-24T01:13:12+00:00,User,,
visenger/awesome-mlops,horker,1367358,2020-03-24T01:14:42+00:00,User,,
visenger/awesome-mlops,khursani8,5404903,2020-03-24T01:38:56+00:00,User,Kuala Lumpur,
visenger/awesome-mlops,peaceiris,30958501,2020-03-24T03:27:52+00:00,User,Japan,"@abema, @CyberAgent"
visenger/awesome-mlops,ssakhavi,6030203,2020-03-24T04:04:14+00:00,User,Singapore,AI Singapore
visenger/awesome-mlops,silverstone1903,9806827,2020-03-24T06:15:06+00:00,User,,
visenger/awesome-mlops,mshr-h,8973217,2020-03-24T07:32:16+00:00,User,"Tokyo, Japan",Mitsubishi Electric
visenger/awesome-mlops,baumquehen,5321554,2020-03-24T07:52:51+00:00,User,,
visenger/awesome-mlops,fatihbaltaci,10353650,2020-03-24T08:02:47+00:00,User,"San Francisco, CA",@Gurubase
visenger/awesome-mlops,migggy,5533565,2020-03-24T08:21:35+00:00,User,,
visenger/awesome-mlops,klemag,17127139,2020-03-24T08:49:25+00:00,User,,Cambridge Spark
visenger/awesome-mlops,fly51fly,128885,2020-03-24T10:42:24+00:00,User,BeiJing,PRIS
visenger/awesome-mlops,AppServiceProvider,47697490,2020-03-24T10:43:51+00:00,User,,
visenger/awesome-mlops,fly2mato,19150218,2020-03-24T10:46:05+00:00,User,,
visenger/awesome-mlops,difey,11038952,2020-03-24T10:52:21+00:00,User,,
visenger/awesome-mlops,vanechu,1052759,2020-03-24T11:21:12+00:00,User,,
visenger/awesome-mlops,lishulongVI,17844896,2020-03-24T11:58:47+00:00,User,,@learningtheory 
