repo_full_name,pr_id,number,title,body,user_login,user_id,state,draft,created_at,updated_at,closed_at,merged_at,merge_commit_sha,mergeable_state,additions,deletions,changed_files,commits_count,review_comments_count,comments_count,requested_reviewers,requested_teams,labels
ydataai/ydata-profiling,58946134,4,adding matplotlib inline for notebook,,ajkl,4917183,closed,False,2016-02-10T20:09:31+00:00,2016-02-12T03:36:44+00:00,2016-02-11T01:09:35+00:00,,f23975b45ed88ee5b7171e0c1bfbb29bfbf8b494,dirty,2,0,1,1,0,5,,,
ydataai/ydata-profiling,65799677,8,create new method to retrieve a list of rejected variables,"- create new method get_rejected_variables() to output rejected variable (default threhold is 0.90, which is same with the threshold generated in html report)
- add usage code example of the added method in README.md
- update .gitignore to ignore files generated by pycharm
",beingzy,859507,closed,False,2016-04-08T15:02:28+00:00,2016-04-08T22:41:31+00:00,2016-04-08T22:41:30+00:00,2016-04-08T22:41:30+00:00,25b7385bd0e6fd1f61a2a0f092ee9d751c1081af,unknown,26,0,3,3,0,0,,,
ydataai/ydata-profiling,67012189,9,Add CI tests,"Add CI tests see https://travis-ci.org/nparley/pandas-profiling and https://ci.appveyor.com/project/nparley/pandas-profiling for test builds
",nparley,6215361,closed,False,2016-04-19T12:48:41+00:00,2016-08-03T00:32:04+00:00,2016-08-03T00:32:04+00:00,2016-08-03T00:32:04+00:00,16a7f3593511524b5ee48dd7cde12cd637d2b4a4,unknown,163,0,4,4,0,0,,,
ydataai/ydata-profiling,69938615,15,Add support for numpy infinite values,"Previously, if you ran pandas_profiling on a DataFrame with numpy infinite values, you would get the error `ValueError: range parameter must be finite.` from the call to `plot = series.plot(kind='hist')` in `describe_numeric_1d()` in `base.py`. For example:

```
dates = pd.date_range('20130101',periods=6)
df = pd.DataFrame(np.random.randn(6,4),index=dates,columns=list('ABCD'))
df['A'][0] = np.inf
pandas_profiling.ProfileReport(df)
```

We now replace infinite values with NaNs:

```
data.replace(to_replace=[np.inf, np.NINF, np.PINF], value=np.nan, inplace=True)
```

and while we're at it, we alert the user to the presence of these values in the profile report.
",proinsias,2073530,closed,False,2016-05-13T03:30:45+00:00,2016-05-15T04:20:55+00:00,2016-05-14T14:15:13+00:00,2016-05-14T14:15:13+00:00,8b05f9e7bc6cf52ba05be16be5f6e67de9d2f977,unknown,38,12,4,1,0,0,,,
ydataai/ydata-profiling,70959283,16,Histogram implementation for date and template to Jinja2 migration,"Hello,

pandas-profiling is a great tool, thanks. 
I have added for my own usage the ability to also **plot histogram for Date types**. It is not perfect at this time, but I think it can be useful. I will continue to work on the project to improve it.
I have also **migrated the code to use [Jinja2](http://jinja.pocoo.org) template engine**.  
",romainx,7131913,closed,False,2016-05-21T20:17:59+00:00,2016-08-03T00:27:45+00:00,2016-08-03T00:27:45+00:00,2016-08-03T00:27:45+00:00,bb3bc8d2ce15748c75b47668c64048c07f74a25e,unknown,816,613,21,6,0,0,,,
ydataai/ydata-profiling,72089070,17,Function to make scatter plot,"From the issues forum, @JosPolfliet suggested that it would be nice to have a scatter plot to show correlations between data. I made a scatter function that prepares a dictionary for a scatter plot if both categories are considered as numerical. I will work more on it later if you think it's good :) And if I move forward with it, how should I work it out? Do i need javascript to make the scatter plot? Or HTML and CSS would be fine?
",brendabrandy,9519435,closed,False,2016-05-31T21:30:01+00:00,2016-08-03T00:26:44+00:00,2016-08-03T00:26:44+00:00,,f833a9ebb41631ff0ba1da4165620622333e6aa5,dirty,15,1,1,2,0,2,,,
ydataai/ydata-profiling,76415029,18,Fix unicode bug in python 2,,liorregev,2955289,closed,False,2016-07-06T11:09:06+00:00,2016-08-03T00:28:24+00:00,2016-08-03T00:28:24+00:00,2016-08-03T00:28:24+00:00,3aeeeba61926d67bdb20bec0c6d9049ec03207f2,unknown,6,1,1,1,0,0,,,
ydataai/ydata-profiling,77478436,19,added optional corr_threshold and display warnings toggle,"The corr_threshold parameter can be used to set the cutoff for variables to be analyzed by the profiler, e.g. a corr_threshold of 1 will analyze all variables regardless of any high correlations pairs, and a corr_threshold .5 will only analyze one variable in a pair of variables with correlation > .5.

I added a toggle to display warnings to html generated output:
![image](https://cloud.githubusercontent.com/assets/6711906/16845751/0705f3f2-49b8-11e6-91d6-ee0daa617aa7.png)

vs

![image](https://cloud.githubusercontent.com/assets/6711906/16845767/12eb7872-49b8-11e6-9845-a124300f33ff.png)
",bartlesy,6711906,closed,False,2016-07-14T15:43:00+00:00,2018-01-05T00:57:11+00:00,2018-01-05T00:57:11+00:00,,601cd2f1bf03ca79cb9e03e28c99f0b70452fa33,dirty,859,139,13,39,0,1,,,
ydataai/ydata-profiling,80059145,20,Add correlation overrides to make sure to get data for fields even if…,"Add correlation overrides to make sure to get data for fields even if the are highly correlated
",liorregev,2955289,closed,False,2016-08-04T11:01:48+00:00,2016-08-14T23:59:47+00:00,2016-08-14T23:59:47+00:00,,a39c888f0490215e7f60cb5ea4be5da1c963eedf,dirty,137,92,1,2,0,1,,,
ydataai/ydata-profiling,82116108,21,Fixed missing varname for rejected vars,,julioasotodv,20630819,closed,False,2016-08-21T20:28:12+00:00,2016-08-21T21:15:09+00:00,2016-08-21T21:15:09+00:00,2016-08-21T21:15:09+00:00,3f9bfd451015c1b2edbfbb1e073186f95ea91d3a,unknown,1,1,1,1,0,0,,,
