repo_full_name,user_login,user_id,starred_at,user_type,user_location,user_company
ydataai/ydata-profiling,fmfn,7664252,2016-01-14T03:36:03+00:00,User,"Toronto, ON",
ydataai/ydata-profiling,levikanwischer,3881971,2016-01-14T06:41:56+00:00,User,Seattle,
ydataai/ydata-profiling,rodonn,2594443,2016-01-14T07:58:02+00:00,User,"Brooklyn, NY",Arena-ai
ydataai/ydata-profiling,he0x,11564819,2016-01-14T09:59:36+00:00,User,,
ydataai/ydata-profiling,giulioungaretti,2694199,2016-01-14T11:47:27+00:00,User,Copenhagen ,@LEGO
ydataai/ydata-profiling,MatthewYancey,5724062,2016-01-14T12:22:04+00:00,User,Indianapolis,ex-Amazon
ydataai/ydata-profiling,rotten,717719,2016-01-14T15:53:20+00:00,User,"Columbus, Ohio",
ydataai/ydata-profiling,Delaunay,4311937,2016-01-14T16:01:22+00:00,User,Montréal,
ydataai/ydata-profiling,jdanbrown,627486,2016-01-14T18:03:30+00:00,User,Boulder,Taking a break
ydataai/ydata-profiling,kyrre,433518,2016-01-14T20:23:42+00:00,User,"Oslo, Norway",
ydataai/ydata-profiling,dmarx,1466881,2016-01-15T02:09:57+00:00,User,"Seattle, WA","CoreWeave, EleutherAI"
ydataai/ydata-profiling,rishipuri,4106278,2016-01-18T19:38:33+00:00,User,UK,Yelp
ydataai/ydata-profiling,warmlogic,887096,2016-01-21T17:18:14+00:00,User,"Somerville, MA",@BranchIntl 
ydataai/ydata-profiling,stleon,2260436,2016-01-26T06:26:01+00:00,User,,ex-Head of Technology Research @ Kaspersky
ydataai/ydata-profiling,denisfitz57,1459124,2016-01-26T16:07:33+00:00,User,,
ydataai/ydata-profiling,MattL920,222206,2016-01-27T00:50:06+00:00,User,,
ydataai/ydata-profiling,yinghang,4490352,2016-01-27T01:51:14+00:00,User,,
ydataai/ydata-profiling,amolsharma99,1535233,2016-01-27T05:04:37+00:00,User,Bangalore,
ydataai/ydata-profiling,dpastoor,3196313,2016-01-27T06:39:27+00:00,User,"Rockville, MD",A2-Ai
ydataai/ydata-profiling,jmschrei,3916816,2016-01-27T07:56:29+00:00,User,Research Institute of Molecular Pathology,
ydataai/ydata-profiling,akansal1,8511760,2016-01-27T08:18:30+00:00,User,,
ydataai/ydata-profiling,tudorprodan,1012368,2016-01-27T10:04:32+00:00,User,,
ydataai/ydata-profiling,bmcfee,1190540,2016-01-27T15:22:58+00:00,User,"New York, NY",New York University
ydataai/ydata-profiling,wiyarmir,172084,2016-01-27T15:28:05+00:00,User,Marbella,@avianlabs 
ydataai/ydata-profiling,mr1azl,5646283,2016-01-27T15:30:44+00:00,User,,
ydataai/ydata-profiling,aychtang,1874468,2016-01-27T15:44:10+00:00,User,London,
ydataai/ydata-profiling,garaud,98194,2016-01-27T15:49:34+00:00,User,France / Bordeaux,@opendatasoft
ydataai/ydata-profiling,AustinRochford,3465592,2016-01-27T15:53:01+00:00,User,"Philadelphia, Pa",Monetate
ydataai/ydata-profiling,msure,1315854,2016-01-27T16:10:05+00:00,User,,
ydataai/ydata-profiling,n-bar,5202262,2016-01-27T16:11:44+00:00,User,,
ydataai/ydata-profiling,swayson,1834241,2016-01-27T16:17:48+00:00,User,,
ydataai/ydata-profiling,jc-healy,11962970,2016-01-27T16:38:39+00:00,User,"Ottawa, ON, Canada",Tutte Institute for Mathematics and Computing
ydataai/ydata-profiling,chrisbol,4268803,2016-01-27T20:00:57+00:00,User,,
ydataai/ydata-profiling,vndrewlee,6391516,2016-01-27T20:43:06+00:00,User,New York City,
ydataai/ydata-profiling,aglove2189,6392823,2016-01-27T21:02:12+00:00,User,,
ydataai/ydata-profiling,rcarneva,1483534,2016-01-27T22:09:51+00:00,User,,
ydataai/ydata-profiling,dennisobrien,1168692,2016-01-27T22:17:52+00:00,User,"San Francisco, CA",
ydataai/ydata-profiling,Sav10,9364954,2016-01-28T02:37:27+00:00,User,,Libération
ydataai/ydata-profiling,hobson,292855,2016-01-28T03:06:07+00:00,User,"San Diego, CA",Mesa College
ydataai/ydata-profiling,achennu,8309004,2016-01-28T03:15:36+00:00,User,,
ydataai/ydata-profiling,den-run-ai,7870949,2016-01-28T03:35:13+00:00,User,Silicon Valley,
ydataai/ydata-profiling,Pyfagorass,5233314,2016-01-28T07:42:16+00:00,User,South Africa,
ydataai/ydata-profiling,kootenpv,2746227,2016-01-28T10:00:37+00:00,User,"Utrecht, Netherlands",Van Kooten AI Solutions / ex-mgnr
ydataai/ydata-profiling,ldgeo,1412193,2016-01-28T11:27:06+00:00,User,"Rhône-Alpes, France",Freelance
ydataai/ydata-profiling,leosartaj,6217976,2016-01-28T14:36:49+00:00,User,Bengaluru,
ydataai/ydata-profiling,lucrodsilva,354003,2016-01-28T15:27:06+00:00,User,,
ydataai/ydata-profiling,robenalt,174317,2016-01-28T16:50:26+00:00,User,,
ydataai/ydata-profiling,fcanneviere,5824508,2016-01-28T19:34:59+00:00,User,,
ydataai/ydata-profiling,mathcass,918541,2016-01-28T23:42:08+00:00,User,"Seattle, WA",
ydataai/ydata-profiling,rhydomako,2955572,2016-01-29T00:08:52+00:00,User,,
