rank,full_name,url,owner,license,stars,forks,open_issues,closed_issues,open_prs,closed_prs,merged_prs,date_of_last_commit,number_of_releases,total_contributors,recent_contributors,avg_commits_per_month
1,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,microsoft,MIT License,71904,15498,7,0,3,0,0,2025-02-14 08:01:49+00:00,0,129,4,2.0
2,apache/superset,https://github.com/apache/superset,apache,Apache License 2.0,65784,14863,938,0,75,128,109,2025-04-18 20:31:54+00:00,224,424,149,152.0
3,keras-team/keras,https://github.com/keras-team/keras,keras-team,Apache License 2.0,62888,19575,304,0,14,46,40,2025-04-18 18:49:47+00:00,76,407,89,66.66666666666667
4,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,scikit-learn,"BSD 3-Clause ""New"" or ""Revised"" License",61782,25765,2161,0,45,102,90,2025-04-18 20:12:58+00:00,45,410,133,91.83333333333333
5,pandas-dev/pandas,https://github.com/pandas-dev/pandas,pandas-dev,"BSD 3-Clause ""New"" or ""Revised"" License",45171,18437,3706,0,25,62,39,2025-04-18 16:12:46+00:00,109,413,146,81.0
6,jakevdp/PythonDataScienceHandbook,https://github.com/jakevdp/PythonDataScienceHandbook,jakevdp,MIT License,44305,18275,217,0,0,0,0,2023-05-05 23:20:45+00:00,0,15,0,0.0
7,apache/airflow,https://github.com/apache/airflow,apache,Apache License 2.0,39668,14902,1279,0,88,1049,813,2025-04-18 15:32:49+00:00,94,413,113,582.1666666666666
8,streamlit/streamlit,https://github.com/streamlit/streamlit,streamlit,Apache License 2.0,38875,3394,1138,0,41,147,133,2025-04-18 20:04:41+00:00,97,248,39,126.66666666666667
9,GokuMohandas/Made-With-ML,https://github.com/GokuMohandas/Made-With-ML,GokuMohandas,MIT License,38420,6089,22,0,0,0,0,2023-12-07 19:37:37+00:00,0,1,0,0.0
10,gradio-app/gradio,https://github.com/gradio-app/gradio,gradio-app,Apache License 2.0,37537,2855,472,0,7,97,86,2025-04-18 14:37:46+00:00,3303,390,89,88.16666666666667
11,ray-project/ray,https://github.com/ray-project/ray,ray-project,Apache License 2.0,36619,6228,4519,0,159,449,352,2025-04-18 20:30:55+00:00,103,411,120,344.0
12,explosion/spaCy,https://github.com/explosion/spaCy,explosion,MIT License,31403,4495,204,0,5,0,0,2025-04-11 18:56:52+00:00,127,390,6,3.1666666666666665
13,AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,AMAI-GmbH,MIT License,29761,2520,22,0,0,0,0,2022-02-10 12:36:44+00:00,0,9,0,0.0
14,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning-AI,Apache License 2.0,29320,3480,974,0,9,18,16,2025-04-17 17:46:01+00:00,164,441,50,20.666666666666668
15,microsoft/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,microsoft,MIT License,29270,6106,56,0,0,0,0,2025-02-13 17:12:03+00:00,0,101,1,0.3333333333333333
16,donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,donnemartin,Other,28109,7964,39,0,0,0,0,2019-02-11 10:51:45+00:00,0,12,0,0.0
17,eugeneyan/applied-ml,https://github.com/eugeneyan/applied-ml,eugeneyan,MIT License,27888,3745,2,0,0,0,0,2024-05-02 14:44:23+00:00,0,47,0,0.0
