repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
virgili0/Virgilio,db748bafdc26f98dce814576e3add94316e0e345,https://github.com/virgili0/Virgilio/commit/db748bafdc26f98dce814576e3add94316e0e345,clone95,42007246,User,2022-05-06T11:20:20+00:00,web-flow,2022-05-06T11:20:20+00:00,Update README.md,1,1,2,1,e920990e9659e8b339b00bb5332d6404e7b797e5
virgili0/Virgilio,e920990e9659e8b339b00bb5332d6404e7b797e5,https://github.com/virgili0/Virgilio/commit/e920990e9659e8b339b00bb5332d6404e7b797e5,clone95,42007246,User,2022-05-06T11:20:03+00:00,web-flow,2022-05-06T11:20:03+00:00,Update README.md,2,1,3,1,d6de9a05dc3b70cbb301f98090be6c7684bf1897
virgili0/Virgilio,d6de9a05dc3b70cbb301f98090be6c7684bf1897,https://github.com/virgili0/Virgilio/commit/d6de9a05dc3b70cbb301f98090be6c7684bf1897,clone95,42007246,User,2022-05-06T11:18:37+00:00,web-flow,2022-05-06T11:18:37+00:00,Update README.md,4,0,4,1,f3bd2f0e6b8144a5b40e42bce32688c619db5d7c
virgili0/Virgilio,f3bd2f0e6b8144a5b40e42bce32688c619db5d7c,https://github.com/virgili0/Virgilio/commit/f3bd2f0e6b8144a5b40e42bce32688c619db5d7c,clone95,42007246,User,2022-05-06T11:17:50+00:00,web-flow,2022-05-06T11:17:50+00:00,Update README.md,1,1,2,1,6311603333d65948c5e0fbdcbb6de50a2f848605
virgili0/Virgilio,6311603333d65948c5e0fbdcbb6de50a2f848605,https://github.com/virgili0/Virgilio/commit/6311603333d65948c5e0fbdcbb6de50a2f848605,clone95,42007246,User,2022-05-06T11:17:25+00:00,web-flow,2022-05-06T11:17:25+00:00,Update README.md,2,1,3,1,152ecc684f32393da08bd6def2a1fdfa60fc8489
virgili0/Virgilio,152ecc684f32393da08bd6def2a1fdfa60fc8489,https://github.com/virgili0/Virgilio/commit/152ecc684f32393da08bd6def2a1fdfa60fc8489,bijilsubhash,83150163,User,2022-02-12T20:48:28+00:00,web-flow,2022-02-12T20:48:28+00:00,Fix an amazon link (#161),1,1,2,1,bbc820a7d362567f57cd37998e1c81be696c2e17
virgili0/Virgilio,bbc820a7d362567f57cd37998e1c81be696c2e17,https://github.com/virgili0/Virgilio/commit/bbc820a7d362567f57cd37998e1c81be696c2e17,wang7x,445738,User,2022-02-01T23:06:31+00:00,web-flow,2022-02-01T23:06:31+00:00,Fix a broken link in what-do-i-need-for-ml.md (#159),1,1,2,1,05f26efe207bb0501b70510c5a7a6d93cd3dddc1
virgili0/Virgilio,05f26efe207bb0501b70510c5a7a6d93cd3dddc1,https://github.com/virgili0/Virgilio/commit/05f26efe207bb0501b70510c5a7a6d93cd3dddc1,chrisehlee,12748310,User,2022-02-01T23:06:17+00:00,web-flow,2022-02-01T23:06:17+00:00,Fix typo in README.md (#160),1,1,2,1,a696f11613f717e630fe153e0297ce3c9ac88f2b
virgili0/Virgilio,a696f11613f717e630fe153e0297ce3c9ac88f2b,https://github.com/virgili0/Virgilio/commit/a696f11613f717e630fe153e0297ce3c9ac88f2b,XSPGMike,61226260,User,2021-05-18T12:59:30+00:00,web-flow,2021-05-18T12:59:30+00:00,Fix (#156),1,1,2,1,433db66e529895daa6126bbfbae47c86f3bd98dc
virgili0/Virgilio,433db66e529895daa6126bbfbae47c86f3bd98dc,https://github.com/virgili0/Virgilio/commit/433db66e529895daa6126bbfbae47c86f3bd98dc,clone95,42007246,User,2021-04-07T14:23:29+00:00,web-flow,2021-04-07T14:23:29+00:00,"Merge pull request #152 from virgili0/general-fixes

General fixes",22,18,40,4,"913a1dd8c6ad676ce48eed1ccf9bb6df6f8d15ca,46e36c0e68b1b046b14b0a141b848c0d2dae0c28"
virgili0/Virgilio,46e36c0e68b1b046b14b0a141b848c0d2dae0c28,https://github.com/virgili0/Virgilio/commit/46e36c0e68b1b046b14b0a141b848c0d2dae0c28,clone95,42007246,User,2021-03-25T17:01:27+00:00,clone95,2021-03-25T17:01:27+00:00,fixed teaching strategy guide 1 -> 3 rd person,21,17,38,3,d2ae581264fd09d9281ab5baea068081984d524a
virgili0/Virgilio,d2ae581264fd09d9281ab5baea068081984d524a,https://github.com/virgili0/Virgilio/commit/d2ae581264fd09d9281ab5baea068081984d524a,clone95,42007246,User,2021-03-02T12:27:10+00:00,clone95,2021-03-02T12:27:10+00:00,grammar fix,1,1,2,1,177bdbd4bd781f4f2cd3479f461a016145befea8
virgili0/Virgilio,913a1dd8c6ad676ce48eed1ccf9bb6df6f8d15ca,https://github.com/virgili0/Virgilio/commit/913a1dd8c6ad676ce48eed1ccf9bb6df6f8d15ca,clone95,42007246,User,2021-03-02T12:26:15+00:00,web-flow,2021-03-02T12:26:15+00:00,"Merge pull request #151 from virgili0/general-fixes

General fixes",21,2,23,2,"b7030d6850faaaf17af81fabd3e79f92e0326185,177bdbd4bd781f4f2cd3479f461a016145befea8"
virgili0/Virgilio,177bdbd4bd781f4f2cd3479f461a016145befea8,https://github.com/virgili0/Virgilio/commit/177bdbd4bd781f4f2cd3479f461a016145befea8,clone95,42007246,User,2021-03-02T12:21:38+00:00,clone95,2021-03-02T12:21:38+00:00,added d2l.ai to Deep Learning guide,18,0,18,1,24f6f8281f0bf1cc34696952bfe31dbcd71574be
virgili0/Virgilio,b7030d6850faaaf17af81fabd3e79f92e0326185,https://github.com/virgili0/Virgilio/commit/b7030d6850faaaf17af81fabd3e79f92e0326185,clone95,42007246,User,2021-01-23T23:40:48+00:00,web-flow,2021-01-23T23:40:48+00:00,"Merge pull request #136 from virgili0/amend-data-preparation-guide

Amend Data Preparation guide",190,75,265,2,"85e6dd072d39a5e131317c8fef7b3fdf24e9b5ab,e409ba7d937c6f86389325276dacddb64b3a3cab"
virgili0/Virgilio,e409ba7d937c6f86389325276dacddb64b3a3cab,https://github.com/virgili0/Virgilio/commit/e409ba7d937c6f86389325276dacddb64b3a3cab,clone95,42007246,User,2021-01-23T23:35:28+00:00,clone95,2021-01-23T23:35:28+00:00,small fixes and formatting enhancement,94,40,134,1,918048d05105d825cba3d30da043d3226f5b03e0
virgili0/Virgilio,24f6f8281f0bf1cc34696952bfe31dbcd71574be,https://github.com/virgili0/Virgilio/commit/24f6f8281f0bf1cc34696952bfe31dbcd71574be,clone95,42007246,User,2021-01-23T22:27:56+00:00,clone95,2021-01-23T22:27:56+00:00,added link in best practices guide - Best practices at Google,3,2,5,1,0bb650260ded9309a9e170d4af7694b958c631fc
virgili0/Virgilio,85e6dd072d39a5e131317c8fef7b3fdf24e9b5ab,https://github.com/virgili0/Virgilio/commit/85e6dd072d39a5e131317c8fef7b3fdf24e9b5ab,clone95,42007246,User,2021-01-17T22:01:40+00:00,web-flow,2021-01-17T22:01:40+00:00,"Merge pull request #149 from virgili0/general-fixes

readme minor fixes 2",1,0,1,1,"3bb4c3f962209c7727841aa155376c6dadad76ae,0bb650260ded9309a9e170d4af7694b958c631fc"
virgili0/Virgilio,0bb650260ded9309a9e170d4af7694b958c631fc,https://github.com/virgili0/Virgilio/commit/0bb650260ded9309a9e170d4af7694b958c631fc,clone95,42007246,User,2021-01-17T21:58:47+00:00,clone95,2021-01-17T21:58:47+00:00,readme minor fixes 2,1,0,1,1,0d23dd2a21683a4d435357bae7ce74bdc6cd1edd
virgili0/Virgilio,3bb4c3f962209c7727841aa155376c6dadad76ae,https://github.com/virgili0/Virgilio/commit/3bb4c3f962209c7727841aa155376c6dadad76ae,clone95,42007246,User,2021-01-17T21:57:30+00:00,web-flow,2021-01-17T21:57:30+00:00,"Merge pull request #148 from virgili0/general-fixes

readme minor fixes",31,21,52,3,"a5842c782be10d1734e550733037b05e890b9990,0d23dd2a21683a4d435357bae7ce74bdc6cd1edd"
virgili0/Virgilio,0d23dd2a21683a4d435357bae7ce74bdc6cd1edd,https://github.com/virgili0/Virgilio/commit/0d23dd2a21683a4d435357bae7ce74bdc6cd1edd,clone95,42007246,User,2021-01-17T21:55:03+00:00,clone95,2021-01-17T21:55:03+00:00,readme minor fixes,31,21,52,3,a5842c782be10d1734e550733037b05e890b9990
