repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
d2l-ai/d2l-en,23d7a5aecceee57d1292c56e90cce307f183bb0a,https://github.com/d2l-ai/d2l-en/commit/23d7a5aecceee57d1292c56e90cce307f183bb0a,Daniel-Sinkin,48285028.0,User,2024-03-16T22:46:02+00:00,web-flow,2024-03-16T22:46:02+00:00,Fixed uci.edu dataset link (#2591),1,1,2,1,1ca368db8523672f52c4e997b1e330aee013f1ce
d2l-ai/d2l-en,1ca368db8523672f52c4e997b1e330aee013f1ce,https://github.com/d2l-ai/d2l-en/commit/1ca368db8523672f52c4e997b1e330aee013f1ce,llamington,54869395.0,User,2023-12-11T03:03:37+00:00,web-flow,2023-12-11T03:03:37+00:00,Update lenet.md (#2563),1,1,2,1,69db1d77576acea72ac070efdca0767b731dc398
d2l-ai/d2l-en,69db1d77576acea72ac070efdca0767b731dc398,https://github.com/d2l-ai/d2l-en/commit/69db1d77576acea72ac070efdca0767b731dc398,mickelsonmichael,19243212.0,User,2023-12-11T03:00:31+00:00,web-flow,2023-12-11T03:00:31+00:00,"Update MCI Datasets URL (#2568)

The URL for the MCI Datasets no longer includes the `.php` extension.
Visiting the URL with the `.php` intact will result in a `404`.",1,1,2,1,ee2b7e56a4c2dee27a89cde3da383ec64735c9f0
d2l-ai/d2l-en,ee2b7e56a4c2dee27a89cde3da383ec64735c9f0,https://github.com/d2l-ai/d2l-en/commit/ee2b7e56a4c2dee27a89cde3da383ec64735c9f0,terrytangyuan,4269898.0,User,2023-11-29T16:24:39+00:00,web-flow,2023-11-29T16:24:39+00:00,Update my affiliation (#2567),1,1,2,1,e4f0ed18d9d83cd35434404daaf7ffc9631b5ece
d2l-ai/d2l-en,e4f0ed18d9d83cd35434404daaf7ffc9631b5ece,https://github.com/d2l-ai/d2l-en/commit/e4f0ed18d9d83cd35434404daaf7ffc9631b5ece,huyndao,40338813.0,User,2023-10-02T11:53:30+00:00,web-flow,2023-10-02T11:53:30+00:00,"Fixed some typos and wordings in a few files in the appendix section (#2558)

* fix some minor typos and wordings in statistics.md

* minor typo in single-variable-calculus.md

* minor capitalization fix",6,6,12,3,eb59f3d9421307a8dc9f2cf80b0778539ea9de17
d2l-ai/d2l-en,eb59f3d9421307a8dc9f2cf80b0778539ea9de17,https://github.com/d2l-ai/d2l-en/commit/eb59f3d9421307a8dc9f2cf80b0778539ea9de17,astonzhang,22279212.0,User,2023-09-02T05:32:44+00:00,astonzhang,2023-09-02T05:32:44+00:00,[Vol1] Fix,188,188,376,5,dd908a485f57e66ffa7c0d2150ac7801abcf4552
d2l-ai/d2l-en,dd908a485f57e66ffa7c0d2150ac7801abcf4552,https://github.com/d2l-ai/d2l-en/commit/dd908a485f57e66ffa7c0d2150ac7801abcf4552,astonzhang,22279212.0,User,2023-08-28T17:17:44+00:00,web-flow,2023-08-28T17:17:44+00:00,[Vol1] Minor edit,1,1,2,1,b68fd5893175b371f75490844d5abfb366e10f12
d2l-ai/d2l-en,b68fd5893175b371f75490844d5abfb366e10f12,https://github.com/d2l-ai/d2l-en/commit/b68fd5893175b371f75490844d5abfb366e10f12,,,,2023-08-27T23:43:05+00:00,,2023-08-27T23:43:05+00:00,[Vol1] Minor edit,2,2,4,2,6093df2130418d86eadd1c88be38e9e049edf83f
d2l-ai/d2l-en,6093df2130418d86eadd1c88be38e9e049edf83f,https://github.com/d2l-ai/d2l-en/commit/6093df2130418d86eadd1c88be38e9e049edf83f,astonzhang,22279212.0,User,2023-08-18T21:25:27+00:00,astonzhang,2023-08-18T21:25:27+00:00,Release 1.0.3 for vol1,5,5,10,2,3ad6f6f0c3c11b7e19a9f8ec70f6c4d9904cb465
d2l-ai/d2l-en,3ad6f6f0c3c11b7e19a9f8ec70f6c4d9904cb465,https://github.com/d2l-ai/d2l-en/commit/3ad6f6f0c3c11b7e19a9f8ec70f6c4d9904cb465,astonzhang,22279212.0,User,2023-08-18T19:03:25+00:00,astonzhang,2023-08-18T19:03:25+00:00,r1.0.3 with scipy 1.10.1,4,4,8,4,8f78d8d97774e8a9899960875c84eca1372a2920
d2l-ai/d2l-en,8f78d8d97774e8a9899960875c84eca1372a2920,https://github.com/d2l-ai/d2l-en/commit/8f78d8d97774e8a9899960875c84eca1372a2920,astonzhang,22279212.0,User,2023-08-18T18:30:18+00:00,astonzhang,2023-08-18T18:30:18+00:00,Add scipy dep in 1.0.2,5,4,9,4,8f9d6048c4992460a9d9ef02afe3856919f0ac88
d2l-ai/d2l-en,8f9d6048c4992460a9d9ef02afe3856919f0ac88,https://github.com/d2l-ai/d2l-en/commit/8f9d6048c4992460a9d9ef02afe3856919f0ac88,astonzhang,22279212.0,User,2023-08-18T09:11:28+00:00,web-flow,2023-08-18T09:11:28+00:00,Update README.md,1,1,2,1,a9737565a3d06b352d58c937a903d565ce3a619f
d2l-ai/d2l-en,a9737565a3d06b352d58c937a903d565ce3a619f,https://github.com/d2l-ai/d2l-en/commit/a9737565a3d06b352d58c937a903d565ce3a619f,astonzhang,22279212.0,User,2023-08-18T09:09:56+00:00,web-flow,2023-08-18T09:09:56+00:00,Update INFO.md (#2551),0,2,2,1,d01f86c2c87c172968e6aa8d2865cf3809d9d2b3
d2l-ai/d2l-en,d01f86c2c87c172968e6aa8d2865cf3809d9d2b3,https://github.com/d2l-ai/d2l-en/commit/d01f86c2c87c172968e6aa8d2865cf3809d9d2b3,astonzhang,22279212.0,User,2023-08-18T09:07:45+00:00,web-flow,2023-08-18T09:07:45+00:00,Update INFO.md,77,0,77,1,10dfc55f3e8fd5f448988f31b8b98ec30eaa75f7
d2l-ai/d2l-en,10dfc55f3e8fd5f448988f31b8b98ec30eaa75f7,https://github.com/d2l-ai/d2l-en/commit/10dfc55f3e8fd5f448988f31b8b98ec30eaa75f7,astonzhang,22279212.0,User,2023-08-18T05:11:11+00:00,astonzhang,2023-08-18T05:11:11+00:00,Bump version 1.0.0,2,2,4,2,3ccd005d66e8d6332ed37856ed59984da3988393
d2l-ai/d2l-en,3ccd005d66e8d6332ed37856ed59984da3988393,https://github.com/d2l-ai/d2l-en/commit/3ccd005d66e8d6332ed37856ed59984da3988393,astonzhang,22279212.0,User,2023-08-18T04:58:03+00:00,web-flow,2023-08-18T04:58:03+00:00,Update frontpage.html,1,1,2,1,55b5c7870003790c09b2dadf9d905cb5d0e89e3c
d2l-ai/d2l-en,55b5c7870003790c09b2dadf9d905cb5d0e89e3c,https://github.com/d2l-ai/d2l-en/commit/55b5c7870003790c09b2dadf9d905cb5d0e89e3c,astonzhang,22279212.0,User,2023-08-18T04:57:17+00:00,web-flow,2023-08-18T04:57:17+00:00,Update README.md,4,4,8,1,a4a9aca03ce1408a3863e297c3e85c07aac39830
d2l-ai/d2l-en,a4a9aca03ce1408a3863e297c3e85c07aac39830,https://github.com/d2l-ai/d2l-en/commit/a4a9aca03ce1408a3863e297c3e85c07aac39830,astonzhang,22279212.0,User,2023-08-18T04:47:02+00:00,web-flow,2023-08-18T04:47:02+00:00,Update frontpage.html,1,1,2,1,2d5692e776f55084b90cde1300250b7a9087db24
d2l-ai/d2l-en,2d5692e776f55084b90cde1300250b7a9087db24,https://github.com/d2l-ai/d2l-en/commit/2d5692e776f55084b90cde1300250b7a9087db24,AnirudhDagar,23621655.0,User,2023-08-17T22:01:22+00:00,AnirudhDagar,2023-08-17T22:01:22+00:00,Use d2lbook==1.0.0 for all containers,5,5,10,5,e8a552a2c88739d2781135d7eba40a0e0d7934bb
