repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
fastai/fastbook,e8baa81d89f0b7be816e35f1cc813ac02038db54,https://github.com/fastai/fastbook/commit/e8baa81d89f0b7be816e35f1cc813ac02038db54,IbrahimZamit,16292655.0,User,2024-07-07T23:01:05+00:00,web-flow,2024-07-07T23:01:05+00:00,Added_Arabic_Description (#622),54,0,54,1,a5ff63ec4e552a95d31075c80f0bcbe971e02738
fastai/fastbook,a5ff63ec4e552a95d31075c80f0bcbe971e02738,https://github.com/fastai/fastbook/commit/a5ff63ec4e552a95d31075c80f0bcbe971e02738,mattsgarlata,1598200.0,User,2024-07-07T23:00:22+00:00,web-flow,2024-07-07T23:00:22+00:00,use dtreeviz 1.4.1 (#634),2,2,4,2,efbbd3cf8566fc747387b02423950200e77a4f85
fastai/fastbook,efbbd3cf8566fc747387b02423950200e77a4f85,https://github.com/fastai/fastbook/commit/efbbd3cf8566fc747387b02423950200e77a4f85,AhmedZeer,152083791.0,User,2024-07-07T22:59:44+00:00,web-flow,2024-07-07T22:59:44+00:00,"README Turkish Translation . (#636)

* Turkish Translation.

* README_tr.md

* README_tr.md

* README_tr.md

* README_tr.md

* README_tr.md",38,0,38,1,10ae0cff676e18f977d2c00b50836aff33d65ef1
fastai/fastbook,10ae0cff676e18f977d2c00b50836aff33d65ef1,https://github.com/fastai/fastbook/commit/10ae0cff676e18f977d2c00b50836aff33d65ef1,wizardforcel,5080126.0,User,2024-07-07T22:59:03+00:00,web-flow,2024-07-07T22:59:03+00:00,add cn translations (#643),16232,0,16232,248,9cabecb9a6c55ebba18f992ab183887a348f6417
fastai/fastbook,9cabecb9a6c55ebba18f992ab183887a348f6417,https://github.com/fastai/fastbook/commit/9cabecb9a6c55ebba18f992ab183887a348f6417,DarshitSolanki04,104897968.0,User,2024-07-07T22:56:14+00:00,web-flow,2024-07-07T22:56:14+00:00,"Update utils.py (#620)

Microsoft updated 'Bing Image Search API' which created incompatibility with the search_images_bing() function. The issue is now resolved.",2,2,4,1,5701d615d4e3a0ca4c4a0656decd02dd019f04fb
fastai/fastbook,5701d615d4e3a0ca4c4a0656decd02dd019f04fb,https://github.com/fastai/fastbook/commit/5701d615d4e3a0ca4c4a0656decd02dd019f04fb,ShubhamThakkar,20641150.0,User,2024-06-08T23:00:43+00:00,web-flow,2024-06-08T23:00:43+00:00,Update 01_intro.ipynb - IMDb reviews sentiment analysis prediction output change (#633),1,1,2,1,054cd8a62c7b6c11f0c36265149ccbaf95d91034
fastai/fastbook,054cd8a62c7b6c11f0c36265149ccbaf95d91034,https://github.com/fastai/fastbook/commit/054cd8a62c7b6c11f0c36265149ccbaf95d91034,knjk04,11173328.0,User,2024-04-11T04:25:35+00:00,web-flow,2024-04-11T04:25:35+00:00,Fix broken link in ch1 to fast.ai datasets (#630),1,1,2,1,2c5db23a34c5089b96c948ef7e52fad651d3148e
fastai/fastbook,2c5db23a34c5089b96c948ef7e52fad651d3148e,https://github.com/fastai/fastbook/commit/2c5db23a34c5089b96c948ef7e52fad651d3148e,nomtats,4764880.0,User,2024-02-13T21:36:14+00:00,web-flow,2024-02-13T21:36:14+00:00,Add a Japanese translation of the README.md and add a link to the README_ja.md file to all README files. (#555),48,9,57,10,823b69e00aa1e1c1a45fe88bd346f11e8f89c1ff
fastai/fastbook,823b69e00aa1e1c1a45fe88bd346f11e8f89c1ff,https://github.com/fastai/fastbook/commit/823b69e00aa1e1c1a45fe88bd346f11e8f89c1ff,jph00,346999.0,User,2022-09-27T22:34:01+00:00,web-flow,2022-09-27T22:34:01+00:00,Update README.md,2,2,4,1,2b8b8a20974baa756e3702778270aa12e0ab046e
fastai/fastbook,2b8b8a20974baa756e3702778270aa12e0ab046e,https://github.com/fastai/fastbook/commit/2b8b8a20974baa756e3702778270aa12e0ab046e,jph00,346999.0,User,2022-05-05T04:27:17+00:00,jph00,2022-05-05T04:27:17+00:00,Merge branch 'master' of github.com:fastai/fastbook,10,7,17,1,"beac6b48e74d307b8d8427b03bc1cffd9c51bbd8,1efd28874cd94f88f92d7ead03983c4338d46261"
fastai/fastbook,beac6b48e74d307b8d8427b03bc1cffd9c51bbd8,https://github.com/fastai/fastbook/commit/beac6b48e74d307b8d8427b03bc1cffd9c51bbd8,jph00,346999.0,User,2022-05-05T04:27:07+00:00,jph00,2022-05-05T04:27:07+00:00,uncomment,2,2,4,2,9821dade6e6fb747cc30aceba2923805d5662192
fastai/fastbook,1efd28874cd94f88f92d7ead03983c4338d46261,https://github.com/fastai/fastbook/commit/1efd28874cd94f88f92d7ead03983c4338d46261,jph00,346999.0,User,2022-05-03T20:08:08+00:00,web-flow,2022-05-03T20:08:08+00:00,Update README.md,1,3,4,1,a8da047552066fe37e3c56bcd0b41fb3002d762c
fastai/fastbook,a8da047552066fe37e3c56bcd0b41fb3002d762c,https://github.com/fastai/fastbook/commit/a8da047552066fe37e3c56bcd0b41fb3002d762c,jph00,346999.0,User,2022-05-03T20:06:09+00:00,web-flow,2022-05-03T20:06:09+00:00,Update README.md,2,4,6,1,b73daee244e4bb9bac5acf60e7a3df318ae7baa3
fastai/fastbook,b73daee244e4bb9bac5acf60e7a3df318ae7baa3,https://github.com/fastai/fastbook/commit/b73daee244e4bb9bac5acf60e7a3df318ae7baa3,jph00,346999.0,User,2022-05-03T20:05:22+00:00,web-flow,2022-05-03T20:05:22+00:00,Update README.md,8,1,9,1,9821dade6e6fb747cc30aceba2923805d5662192
fastai/fastbook,9821dade6e6fb747cc30aceba2923805d5662192,https://github.com/fastai/fastbook/commit/9821dade6e6fb747cc30aceba2923805d5662192,jph00,346999.0,User,2022-04-25T22:24:30+00:00,jph00,2022-04-25T22:24:30+00:00,Merge branch 'master' of github.com:fastai/fastbook,1,1,2,1,"be67ff5ced307270b827150cab25d429c4109469,980f81b9fa1c045d9119fbc771dd47b69bbd34d5"
fastai/fastbook,be67ff5ced307270b827150cab25d429c4109469,https://github.com/fastai/fastbook/commit/be67ff5ced307270b827150cab25d429c4109469,jph00,346999.0,User,2022-04-25T21:02:49+00:00,jph00,2022-04-25T21:02:49+00:00,fastai to fastbook,42,42,84,42,e68dead0634d67d32f2284c50de3889ba9b1e23e
fastai/fastbook,980f81b9fa1c045d9119fbc771dd47b69bbd34d5,https://github.com/fastai/fastbook/commit/980f81b9fa1c045d9119fbc771dd47b69bbd34d5,fabridamicelli,40115969.0,User,2022-04-25T06:28:01+00:00,web-flow,2022-04-25T06:28:01+00:00,Fix typo: reprsented -> represented (#390),1,1,2,1,e68dead0634d67d32f2284c50de3889ba9b1e23e
fastai/fastbook,e68dead0634d67d32f2284c50de3889ba9b1e23e,https://github.com/fastai/fastbook/commit/e68dead0634d67d32f2284c50de3889ba9b1e23e,jph00,346999.0,User,2022-04-25T06:26:29+00:00,jph00,2022-04-25T06:26:29+00:00,vn,34,1,35,2,67711664c6b2dbdc3ad5a2be5cadf2fff0795aec
fastai/fastbook,67711664c6b2dbdc3ad5a2be5cadf2fff0795aec,https://github.com/fastai/fastbook/commit/67711664c6b2dbdc3ad5a2be5cadf2fff0795aec,jph00,346999.0,User,2022-04-25T06:25:28+00:00,jph00,2022-04-25T06:25:28+00:00,clean,4,4,8,3,214c6efce1d95b784530c98fc6c3df588a0cd2c9
fastai/fastbook,214c6efce1d95b784530c98fc6c3df588a0cd2c9,https://github.com/fastai/fastbook/commit/214c6efce1d95b784530c98fc6c3df588a0cd2c9,jph00,346999.0,User,2022-04-25T06:23:26+00:00,jph00,2022-04-25T06:23:26+00:00,pt,36,1,37,2,fb2cf3c6b7733987f7d4b79c18ee7c2a8652ae04
fastai/fastbook,fb2cf3c6b7733987f7d4b79c18ee7c2a8652ae04,https://github.com/fastai/fastbook/commit/fb2cf3c6b7733987f7d4b79c18ee7c2a8652ae04,invictus2010,17661001.0,User,2022-04-25T06:17:42+00:00,web-flow,2022-04-25T06:17:42+00:00,updated  contentUrl in accordance with new Azure JSON structure (#398),1,1,2,1,150e224fdad7911bf248f7a76ea862dd9ea3d1d5
fastai/fastbook,150e224fdad7911bf248f7a76ea862dd9ea3d1d5,https://github.com/fastai/fastbook/commit/150e224fdad7911bf248f7a76ea862dd9ea3d1d5,kerrickstaley,184773.0,User,2022-04-25T06:17:10+00:00,web-flow,2022-04-25T06:17:10+00:00,"""many batches"" -> ""mini-batches"" (#402)",2,2,4,1,2f010aab2d7cd9394bd96cb6daae20f2011496b2
fastai/fastbook,2f010aab2d7cd9394bd96cb6daae20f2011496b2,https://github.com/fastai/fastbook/commit/2f010aab2d7cd9394bd96cb6daae20f2011496b2,dastrobu,1847260.0,User,2022-04-25T06:16:53+00:00,web-flow,2022-04-25T06:16:53+00:00,fix typo in 10_nlp.ipynb: 'batch will tend of be of similar lengths' -> 'batch will tend to be of similar lengths' (#406),2,2,4,1,5a835fee672b24b8721f7efc40be7597ee168944
fastai/fastbook,5a835fee672b24b8721f7efc40be7597ee168944,https://github.com/fastai/fastbook/commit/5a835fee672b24b8721f7efc40be7597ee168944,austinjtaylor,31902331.0,User,2022-04-25T06:16:11+00:00,web-flow,2022-04-25T06:16:11+00:00,"fix grammatical errors in 01_intro.ipynb (#407)

* fix grammatical error in 01_intro.ipynb

change ""we define a function, 'is_cat', labels cats"" to ""we define a function, 'is_cat', which labels cats""

* fix grammar

no comma needed after have since the clause after have is not a complete sentence

* fix grammar

change ""check will"" to ""checks will""",2,2,4,1,2e722af6bc38c59426cbee4efd84ae210bb2a918
fastai/fastbook,2e722af6bc38c59426cbee4efd84ae210bb2a918,https://github.com/fastai/fastbook/commit/2e722af6bc38c59426cbee4efd84ae210bb2a918,poncheeto,59950278.0,User,2022-04-25T06:15:39+00:00,web-flow,2022-04-25T06:15:39+00:00,"Fix type ""check"" -> ""checks"" (#408)",1,1,2,1,fc8418aff3b7051dbfb64738e2785459c7af684e
fastai/fastbook,fc8418aff3b7051dbfb64738e2785459c7af684e,https://github.com/fastai/fastbook/commit/fc8418aff3b7051dbfb64738e2785459c7af684e,nrosanas,1205766.0,User,2022-04-25T06:15:01+00:00,web-flow,2022-04-25T06:15:01+00:00,"Update README_es.md (#415)

spelling fix collecion--> colección

Co-authored-by: Jeremy Howard <j@fast.ai>",1,1,2,1,ae2917fae961bd3bc4ee70a0b074fc9442d5132d
fastai/fastbook,ae2917fae961bd3bc4ee70a0b074fc9442d5132d,https://github.com/fastai/fastbook/commit/ae2917fae961bd3bc4ee70a0b074fc9442d5132d,benspaul,836139.0,User,2022-04-25T06:12:40+00:00,web-flow,2022-04-25T06:12:40+00:00,fix typo: copyt->copy (#419),1,1,2,1,291ed545665e43dc4e230981a33bb93146e92c84
fastai/fastbook,291ed545665e43dc4e230981a33bb93146e92c84,https://github.com/fastai/fastbook/commit/291ed545665e43dc4e230981a33bb93146e92c84,JDuchniewicz,18423461.0,User,2022-04-25T06:12:21+00:00,web-flow,2022-04-25T06:12:21+00:00,Add missing words. (#422),4,4,8,1,cbe2fc71aa451684e2071672093fd7970b307244
fastai/fastbook,cbe2fc71aa451684e2071672093fd7970b307244,https://github.com/fastai/fastbook/commit/cbe2fc71aa451684e2071672093fd7970b307244,,,,2022-04-25T06:09:06+00:00,web-flow,2022-04-25T06:09:06+00:00,callback begin_* -> before_* (#458),8,8,16,1,93d7698885b5e5d1fe7015563be904f6193ee9d0
fastai/fastbook,93d7698885b5e5d1fe7015563be904f6193ee9d0,https://github.com/fastai/fastbook/commit/93d7698885b5e5d1fe7015563be904f6193ee9d0,jph00,346999.0,User,2022-04-25T05:53:05+00:00,jph00,2022-04-25T05:53:05+00:00,fix,2,2,4,3,b87a47697592d2f4c9c11de84150077daaa31ee0
fastai/fastbook,b87a47697592d2f4c9c11de84150077daaa31ee0,https://github.com/fastai/fastbook/commit/b87a47697592d2f4c9c11de84150077daaa31ee0,benjaminvdb,8875786.0,User,2022-04-25T05:50:24+00:00,web-flow,2022-04-25T05:50:24+00:00,"Correct ch.4 MNIST: set threshold to 0.0 when not using sigmoid (#461)

* Correct ch.4 MNIST: set threshold to 0.0 when not using sigmoid

* Also change 0.5 to 0.0 in the text

Co-authored-by: Ben van der Burgh <ben@metabolic.nl>",2,2,4,1,e170b695032db71ccc48e37b0da451cab4ce9ef5
fastai/fastbook,e170b695032db71ccc48e37b0da451cab4ce9ef5,https://github.com/fastai/fastbook/commit/e170b695032db71ccc48e37b0da451cab4ce9ef5,DePasqualeOrg,25420077.0,User,2022-04-25T05:48:47+00:00,web-flow,2022-04-25T05:48:47+00:00,"Chapter 4 corrections and fix (#463)

Co-authored-by: Jeremy Howard <j@fast.ai>",4,5,9,1,c67853e2fcdefe7528ffd73dff9a6648b0b96573
fastai/fastbook,c67853e2fcdefe7528ffd73dff9a6648b0b96573,https://github.com/fastai/fastbook/commit/c67853e2fcdefe7528ffd73dff9a6648b0b96573,yrodriguezmd,71532604.0,User,2022-04-25T05:47:41+00:00,web-flow,2022-04-25T05:47:41+00:00,"color_dim (#464)

Revised matplotlib setting to show colours instead of graymap",1,0,1,1,a64c789ebefbc7d0172f9c08bd841f9996b173ce
fastai/fastbook,a64c789ebefbc7d0172f9c08bd841f9996b173ce,https://github.com/fastai/fastbook/commit/a64c789ebefbc7d0172f9c08bd841f9996b173ce,jph00,346999.0,User,2022-04-25T05:43:24+00:00,jph00,2022-04-25T05:43:24+00:00,colab,178,207,385,43,4a9a281c03db719024aaff60e00eea66f9ffe604
fastai/fastbook,4a9a281c03db719024aaff60e00eea66f9ffe604,https://github.com/fastai/fastbook/commit/4a9a281c03db719024aaff60e00eea66f9ffe604,jph00,346999.0,User,2022-04-25T05:38:47+00:00,jph00,2022-04-25T05:38:47+00:00,Merge branch 'master' of github.com:fastai/fastbook,39,6,45,7,"111e6c5b1c54d491f8579de3b8260b112a4e7101,de57554fae6a69b98c2cb59b44b7b507946282ad"
fastai/fastbook,111e6c5b1c54d491f8579de3b8260b112a4e7101,https://github.com/fastai/fastbook/commit/111e6c5b1c54d491f8579de3b8260b112a4e7101,jph00,346999.0,User,2022-04-25T05:35:12+00:00,jph00,2022-04-25T05:35:12+00:00,clean,21,39,60,10,2f153dd6e79b5687fe5ee8864315729ae4ad9a5a
