repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
iterative/dvc,9908ca7f8e9166506bbd7fa85cead8194fba9aa0,https://github.com/iterative/dvc/commit/9908ca7f8e9166506bbd7fa85cead8194fba9aa0,skshetry,18718008,User,2025-05-07T08:49:27+00:00,web-flow,2025-05-07T08:49:27+00:00,"drop inputs passed to codecov-action (#10740)

It can already search and find these coverage files.",0,3,3,1,0eebeb9900eea9117c78922b04b4e46cb7df3009
iterative/dvc,0eebeb9900eea9117c78922b04b4e46cb7df3009,https://github.com/iterative/dvc/commit/0eebeb9900eea9117c78922b04b4e46cb7df3009,skshetry,18718008,User,2025-05-07T06:55:51+00:00,web-flow,2025-05-07T06:55:51+00:00,"tests: fix flaky test in test_get_used_objs (#10739)

Clear logs before assertions so that logs from other tests do not interfere with the test.
Some destructors may also run in between due to GC, so hopefully this will fix that issue too,
or reduce the chances of it happening.

See
https://github.com/iterative/dvc/actions/runs/14873217814/job/41775314725#step:6:97.

```console
>       assert first(caplog.messages) == expected_message
E       assert 'RC: discarding all clients' == ""Output 'path... 'stage.dvc'.""
E
E         + RC: discarding all clients
E         - Output 'path'(stage: 'stage.dvc') is missing version info. Cache for it will not be collected. Use `dvc repro` to get your pipeline up to date.
E         - You can also use `dvc commit stage.dvc` to associate existing 'path' with stage: 'stage.dvc'.
```",1,0,1,1,415d4bc9804400e6e8c4e9976db65b2df85dad49
iterative/dvc,415d4bc9804400e6e8c4e9976db65b2df85dad49,https://github.com/iterative/dvc/commit/415d4bc9804400e6e8c4e9976db65b2df85dad49,skshetry,18718008,User,2025-05-06T08:39:23+00:00,web-flow,2025-05-06T08:39:23+00:00,"repo: try to support opening uninitialized/broken repositories (#10736)

This `_get_remote_config()` should use `uninitialized=True` so that it supports
more broader kinds of broken/partially-initialized repositories, including some that have
`.dvc` directory missing, or `.git` directory missing.

This partially reverts #10719. #10608 is also fixed, and no longer requires `core.no_scm` to be passed.
This was already supported by `dvc.api.get_url` as it uses `uninitialized=True`, but this was not respected
in `_get_remote_config()` where it would fail before.

That said, this whole `open_repo`/`_get_remote_config` is terribly broken. For one, it is opening
a local repository, and forcing it's remote config to a repository opened with `Repo(rev=...)`,
where the config may be different.",15,29,44,2,f3be7d761fbecc6a6fc9a7f536edfa7bba37e062
iterative/dvc,f3be7d761fbecc6a6fc9a7f536edfa7bba37e062,https://github.com/iterative/dvc/commit/f3be7d761fbecc6a6fc9a7f536edfa7bba37e062,pre-commit-ci[bot],66853113,Bot,2025-05-06T01:20:11+00:00,web-flow,2025-05-06T01:20:11+00:00,"[pre-commit.ci] pre-commit autoupdate (#10735)

updates:
- [github.com/astral-sh/ruff-pre-commit: v0.11.7 → v0.11.8](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.7...v0.11.8)

Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",1,1,2,1,4bde0e754e1720f5e516fa96f4313af056745517
iterative/dvc,4bde0e754e1720f5e516fa96f4313af056745517,https://github.com/iterative/dvc/commit/4bde0e754e1720f5e516fa96f4313af056745517,rgoya,5192495,User,2025-04-30T06:35:09+00:00,web-flow,2025-04-30T06:35:09+00:00,"Forward args to _get_remote_config() and honour core/no_scm if present (#10719)

* Forward args to _get_remote_config and honour core/no_scm if present

* Pass full config, except cache, to Repo()

* Avoid modifying original kwargs contents

* Simplify if config

* Add test

* Relax error matching.. .. Avoid windows vs unix paths

* Update dvc/repo/open_repo.py

---------

Co-authored-by: skshetry <18718008+skshetry@users.noreply.github.com>",56,3,59,3,88f1ada4bf82bb07873d701e3a98cb10f4a76fd4
iterative/dvc,88f1ada4bf82bb07873d701e3a98cb10f4a76fd4,https://github.com/iterative/dvc/commit/88f1ada4bf82bb07873d701e3a98cb10f4a76fd4,skshetry,18718008,User,2025-04-29T07:40:28+00:00,web-flow,2025-04-29T07:40:28+00:00,"tests: func test for #4344 (#10732)

See https://github.com/iterative/dvc-data/pull/601 that fixed the issue.
The test is based on reproduction steps from:
https://github.com/iterative/dvc/issues/4344#issuecomment-2822000925",9,0,9,1,bd65c205dfa51fe0337eb45df3e2673d7648526f
iterative/dvc,bd65c205dfa51fe0337eb45df3e2673d7648526f,https://github.com/iterative/dvc/commit/bd65c205dfa51fe0337eb45df3e2673d7648526f,pre-commit-ci[bot],66853113,Bot,2025-04-28T23:07:42+00:00,web-flow,2025-04-28T23:07:42+00:00,"[pre-commit.ci] pre-commit autoupdate (#10731)

updates:
- [github.com/astral-sh/ruff-pre-commit: v0.11.4 → v0.11.7](https://github.com/astral-sh/ruff-pre-commit/compare/v0.11.4...v0.11.7)

Co-authored-by: pre-commit-ci[bot] <66853113+pre-commit-ci[bot]@users.noreply.github.com>",1,1,2,1,e6ce5f825dd69cd6470cac01ce66cf6e5acec9ca
iterative/dvc,e6ce5f825dd69cd6470cac01ce66cf6e5acec9ca,https://github.com/iterative/dvc/commit/e6ce5f825dd69cd6470cac01ce66cf6e5acec9ca,skshetry,18718008,User,2025-04-28T12:38:08+00:00,web-flow,2025-04-28T12:38:08+00:00,"Revert ""pre-commit: set autoupdate schedule to monthly"" (#10730)

Revert ""pre-commit: set autoupdate schedule to monthly (#10685)""

This reverts commit 25d2638a57b84e65191a423ecd8374c8e3c379bc.",0,1,1,1,d30d66c1d397919f9a475074f4a3945e0ce2efcd
iterative/dvc,d30d66c1d397919f9a475074f4a3945e0ce2efcd,https://github.com/iterative/dvc/commit/d30d66c1d397919f9a475074f4a3945e0ce2efcd,dependabot[bot],49699333,Bot,2025-04-28T09:10:14+00:00,web-flow,2025-04-28T09:10:14+00:00,"build(deps): bump astral-sh/setup-uv from 5 to 6 (#10729)

Bumps [astral-sh/setup-uv](https://github.com/astral-sh/setup-uv) from 5 to 6.
- [Release notes](https://github.com/astral-sh/setup-uv/releases)
- [Commits](https://github.com/astral-sh/setup-uv/compare/v5...v6)

---
updated-dependencies:
- dependency-name: astral-sh/setup-uv
  dependency-version: '6'
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",5,5,10,4,19f31d7cace974873bb9b0f26a646de5e3581d96
iterative/dvc,19f31d7cace974873bb9b0f26a646de5e3581d96,https://github.com/iterative/dvc/commit/19f31d7cace974873bb9b0f26a646de5e3581d96,PythonFZ,46721498,User,2025-04-24T00:34:28+00:00,web-flow,2025-04-24T00:34:28+00:00,"Bring the banner back (#10728)

Update README.rst",2,0,2,1,99d9ca714de61518bd672ff647ed1ad7fb56f1d1
