repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
ipython/ipython,5a3bf345ed7c78e5fab84faa81285e5fd9dfa3da,https://github.com/ipython/ipython/commit/5a3bf345ed7c78e5fab84faa81285e5fd9dfa3da,krassowski,5832902,User,2025-04-25T17:54:47+00:00,krassowski,2025-04-25T17:54:47+00:00,back to dev,2,2,4,1,40eaac2d447ce53db4e7948c354940d919a3fbda
ipython/ipython,40eaac2d447ce53db4e7948c354940d919a3fbda,https://github.com/ipython/ipython/commit/40eaac2d447ce53db4e7948c354940d919a3fbda,krassowski,5832902,User,2025-04-25T17:53:07+00:00,krassowski,2025-04-25T17:53:07+00:00,release 9.2.0,1,1,2,1,71f82dc61c58d84433321607637876c814f4270f
ipython/ipython,71f82dc61c58d84433321607637876c814f4270f,https://github.com/ipython/ipython/commit/71f82dc61c58d84433321607637876c814f4270f,krassowski,5832902,User,2025-04-25T17:43:25+00:00,web-flow,2025-04-25T17:43:25+00:00,"Add what's new for IPython 9.2 and 8.36 (#14892)

Add what's new for IPython 9.2 and 8.36",24,0,24,2,"9cee7d85366466c35f4776b1569213a080967b01,d9cdfcdbcc1c26058540d202e2d022d4b5ac8152"
ipython/ipython,d9cdfcdbcc1c26058540d202e2d022d4b5ac8152,https://github.com/ipython/ipython/commit/d9cdfcdbcc1c26058540d202e2d022d4b5ac8152,krassowski,5832902,User,2025-04-25T17:29:24+00:00,krassowski,2025-04-25T17:29:24+00:00,Add what's new for 9.2 and 8.36,24,0,24,2,9cee7d85366466c35f4776b1569213a080967b01
ipython/ipython,9cee7d85366466c35f4776b1569213a080967b01,https://github.com/ipython/ipython/commit/9cee7d85366466c35f4776b1569213a080967b01,krassowski,5832902,User,2025-04-25T17:14:54+00:00,web-flow,2025-04-25T17:14:54+00:00,"docs: Recommend `ipykernel.embed.embed_kernel()` (#14887)

Followup to #14734, cc @Carreau 

Following the current doc prints warning:

https://github.com/ipython/ipython/blob/aa25535d3765641e31f1d218537540e41b6f1a74/IPython/__init__.py#L96-L98

(which BTW sounded to me like it was deprecated since 2013 — I assume
the meaning is that `ipykernel.embed` works since 2013?)

----

P.S. Mild argument against the deprecation: IMHO, it's convenient to
remember one place to import both `embed` and `embed_kernel` from. These
are most useful if memorized, so one can type them without thinking,
similar to how we all used to memorize `import pdb; pdb.set_trace()`
— but became easier to teach with py3.7 `breakpoint()`.

There is no `ipykernel.embed.embed`, and I assume won't be, as it starts
an in-process shell which is _not really a kernel_? But both are
legitimate under `IPython`.

----

There is also a question which package(s) one must install to use these
forms — _and does this need documenting_?

* I see that a clean env `uvx --with ipykernel python` also drags in
IPython as a dependency, so both forms work.
* OTOH `uvx --with IPython python` allows importing IPython but not
ipykernel. In such env, `IPython.embed_kernel()` is **importable but
broken**:
  ```
File
""/home/beni/.cache/uv/archive-v0/_NUp3oIPKrkvaYJk8f7Nm/lib64/python3.13/site-packages/IPython/__init__.py"",
line 110, in embed_kernel
    from ipykernel.embed import embed_kernel as real_embed_kernel
  ModuleNotFoundError: No module named 'ipykernel'
  ```
  This was counter-intuitive, and the deprecation avoids that!  
I guess ""install what you import"" is a better quality then my above
concern with ""easy to remember"" :+1:

- [x] Should the API doc
https://ipython.readthedocs.io/en/stable/api/generated/IPython.html#IPython.embed_kernel
also mention it's deprecated?
- [x] Should the API doc also mention it will not work without optional
`ipykernel` dependency?",13,3,16,2,"c01ed4aaa73fa4c6a554b3cd7d98a871986117cf,b8a661ac14de67bf7d1a7c207e07f3d87f9eeb47"
ipython/ipython,b8a661ac14de67bf7d1a7c207e07f3d87f9eeb47,https://github.com/ipython/ipython/commit/b8a661ac14de67bf7d1a7c207e07f3d87f9eeb47,krassowski,5832902,User,2025-04-25T14:04:48+00:00,web-flow,2025-04-25T14:04:48+00:00,Grammar,2,2,4,1,229b4f40f1ea39401139cb5c1d26886742e5a329
ipython/ipython,c01ed4aaa73fa4c6a554b3cd7d98a871986117cf,https://github.com/ipython/ipython/commit/c01ed4aaa73fa4c6a554b3cd7d98a871986117cf,krassowski,5832902,User,2025-04-25T10:56:47+00:00,web-flow,2025-04-25T10:56:47+00:00,"Fix interruption of `%%time` and `%%debug` magics (#14890)

- [x] Add a tests interruption of `%%time` and `%%timeit` magics (the
former should fail)
- [x] Fix `%%time` magic exception capture
Note that this fix is fully backward compatible since users would not
get timing information if there was an exception anyways due to an early
return in line 1379:

https://github.com/ipython/ipython/blob/aa25535d3765641e31f1d218537540e41b6f1a74/IPython/core/magics/execution.py#L1377-L1379
- [x] Fix `%%debug` magic exception capture",47,23,70,2,"1907cbe816c1f6af639b159f13f0b22e3e355116,5575d9bd3373f7d4337265252f027ab81a08de60"
ipython/ipython,1907cbe816c1f6af639b159f13f0b22e3e355116,https://github.com/ipython/ipython/commit/1907cbe816c1f6af639b159f13f0b22e3e355116,krassowski,5832902,User,2025-04-25T09:28:39+00:00,web-flow,2025-04-25T09:28:39+00:00,"Fix syntax warning in Python 3.14 (remove `return` from `finally` block) (#14876)

SyntaxWarning: 'return' in a 'finally' block",11,8,19,1,"aa25535d3765641e31f1d218537540e41b6f1a74,87dbf2dcc3ecf9f4db8f9d2f390b1f43f7c7958b"
ipython/ipython,5575d9bd3373f7d4337265252f027ab81a08de60,https://github.com/ipython/ipython/commit/5575d9bd3373f7d4337265252f027ab81a08de60,krassowski,5832902,User,2025-04-25T09:22:03+00:00,krassowski,2025-04-25T09:22:03+00:00,Lint,0,1,1,1,9a906b907d0c1bfd55f4203f9ac83d47fe6c691b
ipython/ipython,9a906b907d0c1bfd55f4203f9ac83d47fe6c691b,https://github.com/ipython/ipython/commit/9a906b907d0c1bfd55f4203f9ac83d47fe6c691b,krassowski,5832902,User,2025-04-25T09:12:36+00:00,krassowski,2025-04-25T09:12:36+00:00,"Fix exception handling in `%%time` and `%%debug` magics

We should not use bare `except:` in magics as it prevents
catching `KeyboardException` and other system-exiting exceptions.",27,20,47,1,2ca1ff58c049223aff4d7377dea2d5c0c5e10466
