repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,dde4cb8963ddd2bd53a4237ed6d94a38488d0955,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/dde4cb8963ddd2bd53a4237ed6d94a38488d0955,ashishpatel26,3095771,User,2024-07-26T13:06:49+00:00,web-flow,2024-07-26T13:06:49+00:00,"Merge pull request #70 from gitsponsored/patch-3

rm sponsor",0,3,3,1,"0079283712358438bfbad752fa4dbc3e7efc6a0b,b6e503dabcfcf04a54e258968cbc76775eb46797"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,b6e503dabcfcf04a54e258968cbc76775eb46797,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/b6e503dabcfcf04a54e258968cbc76775eb46797,gitsponsored,173217521,User,2024-07-25T05:36:57+00:00,web-flow,2024-07-25T05:36:57+00:00,rm sponsor,0,3,3,1,0079283712358438bfbad752fa4dbc3e7efc6a0b
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,0079283712358438bfbad752fa4dbc3e7efc6a0b,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/0079283712358438bfbad752fa4dbc3e7efc6a0b,ashishpatel26,3095771,User,2024-06-19T06:18:09+00:00,web-flow,2024-06-19T06:18:09+00:00,"Merge pull request #62 from gitsponsored/patch-1

add roboflow sponsorship",3,0,3,1,"3dea412e0af404961aabe052ac39b9fbae3c07dc,8c0979b90068ed78bffafe37a332f0f51f6d5090"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,8c0979b90068ed78bffafe37a332f0f51f6d5090,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/8c0979b90068ed78bffafe37a332f0f51f6d5090,gitsponsored,173217521,User,2024-06-19T01:42:09+00:00,web-flow,2024-06-19T01:42:09+00:00,add roboflow sponsorship,3,0,3,1,3dea412e0af404961aabe052ac39b9fbae3c07dc
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,3dea412e0af404961aabe052ac39b9fbae3c07dc,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/3dea412e0af404961aabe052ac39b9fbae3c07dc,ashishpatel26,3095771,User,2024-01-07T16:58:12+00:00,web-flow,2024-01-07T16:58:12+00:00,Merge pull request #40 from Afsah-Hyder/patch-1,1,1,2,1,"82b9d95f0e1c55a8bd2821c87fdc503561ebf73a,da37ccffa3cf0a2495786d73c767c25bc03bf4c8"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,da37ccffa3cf0a2495786d73c767c25bc03bf4c8,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/da37ccffa3cf0a2495786d73c767c25bc03bf4c8,Afsah-Hyder,94605943,User,2023-05-24T07:26:06+00:00,web-flow,2023-05-24T07:26:06+00:00,"Update README.md

Added learning material for Deep learning, machine learning, natural language processing and Open CV",1,1,2,1,82b9d95f0e1c55a8bd2821c87fdc503561ebf73a
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,82b9d95f0e1c55a8bd2821c87fdc503561ebf73a,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/82b9d95f0e1c55a8bd2821c87fdc503561ebf73a,ashishpatel26,3095771,User,2023-02-09T12:55:38+00:00,ashishpatel26,2023-02-09T12:55:43+00:00,Symbol Updated,102,102,204,1,9d8c17000f88a9a716fe89e5eaf47401d9fcbed9
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,9d8c17000f88a9a716fe89e5eaf47401d9fcbed9,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/9d8c17000f88a9a716fe89e5eaf47401d9fcbed9,ashishpatel26,3095771,User,2023-01-07T04:53:04+00:00,ashishpatel26,2023-01-07T04:53:08+00:00,updated,3,3,6,1,b6d982d6181054f226029878dd595d810ef25432
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,b6d982d6181054f226029878dd595d810ef25432,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/b6d982d6181054f226029878dd595d810ef25432,ashishpatel26,3095771,User,2022-07-27T06:36:15+00:00,ashishpatel26,2022-07-27T06:36:23+00:00,Broken links are resolved,1,1,2,1,245b86cc94414442963eddcaeffc684cc4438f32
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,245b86cc94414442963eddcaeffc684cc4438f32,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/245b86cc94414442963eddcaeffc684cc4438f32,ashishpatel26,3095771,User,2022-07-27T06:33:38+00:00,web-flow,2022-07-27T06:33:38+00:00,Links updated,106,102,208,1,ada496c3e2fcd1c667a2d23e8cd8bc76056c739f
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ada496c3e2fcd1c667a2d23e8cd8bc76056c739f,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/ada496c3e2fcd1c667a2d23e8cd8bc76056c739f,ashishpatel26,3095771,User,2022-07-27T06:32:17+00:00,web-flow,2022-07-27T06:32:17+00:00,Add files via upload,0,0,0,1,58baa203bb341fbdc24c31f8130238827dcd1e78
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,58baa203bb341fbdc24c31f8130238827dcd1e78,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/58baa203bb341fbdc24c31f8130238827dcd1e78,ashishpatel26,3095771,User,2022-07-27T05:04:39+00:00,web-flow,2022-07-27T05:04:39+00:00,Add files via upload,0,0,0,1,8cdd5c7d38f946880b2c70ce85038d086c864d3d
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,8cdd5c7d38f946880b2c70ce85038d086c864d3d,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code/commit/8cdd5c7d38f946880b2c70ce85038d086c864d3d,ashishpatel26,3095771,User,2022-07-27T05:04:25+00:00,web-flow,2022-07-27T05:04:25+00:00,Create github.png,1,0,1,1,1a5aacec01d2edd2847668d877dfefc4bcc706cf
