repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
datasciencemasters/go,3e4e19c12a93e11a29c65807844ceb2db32edf96,https://github.com/datasciencemasters/go/commit/3e4e19c12a93e11a29c65807844ceb2db32edf96,clarecorthell,1145899,User,2023-04-18T03:23:28+00:00,web-flow,2023-04-18T03:23:28+00:00,Update README.md,1,1,2,1,5be9ca753b0e8ef2bec174b04d79dfd96d066f1e
datasciencemasters/go,5be9ca753b0e8ef2bec174b04d79dfd96d066f1e,https://github.com/datasciencemasters/go/commit/5be9ca753b0e8ef2bec174b04d79dfd96d066f1e,clarecorthell,1145899,User,2023-04-18T01:28:24+00:00,web-flow,2023-04-18T01:28:24+00:00,"Merge pull request #95 from scdavis50/master

scott-davis-transcript-2016",271,0,271,2,"c5da9ac74e3baf183cf1a3b0897788d66e14aa2b,f06e81c15c7ae33d2681f13d0e4cf46272c8e254"
datasciencemasters/go,c5da9ac74e3baf183cf1a3b0897788d66e14aa2b,https://github.com/datasciencemasters/go/commit/c5da9ac74e3baf183cf1a3b0897788d66e14aa2b,clarecorthell,1145899,User,2023-04-18T01:13:30+00:00,web-flow,2023-04-18T01:13:30+00:00,"Update README.md

Credit @NathanEpstein for the linear algebra OCW link",1,0,1,1,c1109b4431b26eb7f3d747b677e18138e1c69957
datasciencemasters/go,c1109b4431b26eb7f3d747b677e18138e1c69957,https://github.com/datasciencemasters/go/commit/c1109b4431b26eb7f3d747b677e18138e1c69957,clarecorthell,1145899,User,2023-04-18T01:11:47+00:00,web-flow,2023-04-18T01:11:47+00:00,"Update README.md

Thanks to @NathanEpstein for the foundational calculus links!",5,0,5,1,a958072e9fe8ac6a062315b1337675c2ff77ba48
datasciencemasters/go,a958072e9fe8ac6a062315b1337675c2ff77ba48,https://github.com/datasciencemasters/go/commit/a958072e9fe8ac6a062315b1337675c2ff77ba48,clarecorthell,1145899,User,2023-04-18T00:46:07+00:00,web-flow,2023-04-18T00:46:07+00:00,"Update README.md

Thanks @nanofaroque for the suggestion!",1,0,1,1,2d8010a5ed465c6c62833b1a95d568e48114bb38
datasciencemasters/go,2d8010a5ed465c6c62833b1a95d568e48114bb38,https://github.com/datasciencemasters/go/commit/2d8010a5ed465c6c62833b1a95d568e48114bb38,clarecorthell,1145899,User,2023-04-17T23:43:51+00:00,web-flow,2023-04-17T23:43:51+00:00,"Update README.md

rm dead link",0,1,1,1,3fd6f158fbc968c776020873179fd073ba71dea2
datasciencemasters/go,3fd6f158fbc968c776020873179fd073ba71dea2,https://github.com/datasciencemasters/go/commit/3fd6f158fbc968c776020873179fd073ba71dea2,clarecorthell,1145899,User,2023-04-17T23:36:33+00:00,web-flow,2023-04-17T23:36:33+00:00,Update README.md,1,0,1,1,2c3e09c287b3c57e1659c882efa091296efabedd
datasciencemasters/go,2c3e09c287b3c57e1659c882efa091296efabedd,https://github.com/datasciencemasters/go/commit/2c3e09c287b3c57e1659c882efa091296efabedd,clarecorthell,1145899,User,2023-04-17T23:34:04+00:00,web-flow,2023-04-17T23:34:04+00:00,Update README.md,1,1,2,1,85d12570274e5dab24a73b392ff2317874f31333
datasciencemasters/go,85d12570274e5dab24a73b392ff2317874f31333,https://github.com/datasciencemasters/go/commit/85d12570274e5dab24a73b392ff2317874f31333,clarecorthell,1145899,User,2023-04-16T21:02:46+00:00,web-flow,2023-04-16T21:02:46+00:00,"Update README.md

nltk bitly fix",1,1,2,1,b480dff189199c23253f475c08c36d447a2ad906
datasciencemasters/go,b480dff189199c23253f475c08c36d447a2ad906,https://github.com/datasciencemasters/go/commit/b480dff189199c23253f475c08c36d447a2ad906,clarecorthell,1145899,User,2023-04-16T21:02:17+00:00,web-flow,2023-04-16T21:02:17+00:00,"Merge pull request #200 from florianbuetow/nltk-book-url-fix

NLTK book URL fix",1,1,2,1,"f1691f4330bff4c545d2aef31b9b2c7fe4b26a88,da46337399691fc70374e87da1f771de353248b8"
