repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
ml-tooling/best-of-ml-python,cdaf5a4eaa2946084c714509ce4a201e77716657,https://github.com/ml-tooling/best-of-ml-python/commit/cdaf5a4eaa2946084c714509ce4a201e77716657,lukasmasuch,2852129,User,2025-05-08T15:46:11+00:00,web-flow,2025-05-08T15:46:11+00:00,"Merge pull request #379 from ml-tooling/update/2025.05.08

Best-of update: 2025.05.08",2679,1723,4402,4,"4f3942549683a89069f4353434d23316b2429e57,49b2eee90d4aeac69f22c849768d36e20552a27a"
ml-tooling/best-of-ml-python,49b2eee90d4aeac69f22c849768d36e20552a27a,https://github.com/ml-tooling/best-of-ml-python/commit/49b2eee90d4aeac69f22c849768d36e20552a27a,lukasmasuch,2852129,User,2025-05-08T15:13:11+00:00,actions-user,2025-05-08T15:13:11+00:00,Update best-of list for version 2025.05.08,2679,1723,4402,4,4f3942549683a89069f4353434d23316b2429e57
ml-tooling/best-of-ml-python,4f3942549683a89069f4353434d23316b2429e57,https://github.com/ml-tooling/best-of-ml-python/commit/4f3942549683a89069f4353434d23316b2429e57,rcap107,7548232,User,2025-04-29T18:41:42+00:00,web-flow,2025-04-29T18:41:42+00:00,"Merge pull request #376 from rcap107/add-project-skrub

Add project: skrub",5,0,5,1,92ecd10e5556ea78b428e60935c8e3cddfafc33f
ml-tooling/best-of-ml-python,92ecd10e5556ea78b428e60935c8e3cddfafc33f,https://github.com/ml-tooling/best-of-ml-python/commit/92ecd10e5556ea78b428e60935c8e3cddfafc33f,lukasmasuch,2852129,User,2025-04-24T18:00:57+00:00,web-flow,2025-04-24T18:00:57+00:00,"Merge pull request #375 from ml-tooling/update/2025.04.24

Best-of update: 2025.04.24",2280,1312,3592,4,"455cd6f599d72ef4a3ad4dc2d930864ceac5db00,a3de58e60ef1294757e6086dffc146028e9e9ab1"
ml-tooling/best-of-ml-python,a3de58e60ef1294757e6086dffc146028e9e9ab1,https://github.com/ml-tooling/best-of-ml-python/commit/a3de58e60ef1294757e6086dffc146028e9e9ab1,lukasmasuch,2852129,User,2025-04-24T15:14:48+00:00,actions-user,2025-04-24T15:14:48+00:00,Update best-of list for version 2025.04.24,2280,1312,3592,4,455cd6f599d72ef4a3ad4dc2d930864ceac5db00
ml-tooling/best-of-ml-python,455cd6f599d72ef4a3ad4dc2d930864ceac5db00,https://github.com/ml-tooling/best-of-ml-python/commit/455cd6f599d72ef4a3ad4dc2d930864ceac5db00,lukasmasuch,2852129,User,2025-04-18T14:39:45+00:00,web-flow,2025-04-18T14:39:45+00:00,"Merge pull request #374 from ml-tooling/update/2025.04.17

Best-of update: 2025.04.17",2010,1042,3052,4,"4a4ff0af4073d32150fd1e6b8c166342ca86a344,b77507e395b77c417a118f234d4b99a6841f8eaa"
ml-tooling/best-of-ml-python,b77507e395b77c417a118f234d4b99a6841f8eaa,https://github.com/ml-tooling/best-of-ml-python/commit/b77507e395b77c417a118f234d4b99a6841f8eaa,lukasmasuch,2852129,User,2025-04-17T15:18:28+00:00,actions-user,2025-04-17T15:18:28+00:00,Update best-of list for version 2025.04.17,2010,1042,3052,4,4a4ff0af4073d32150fd1e6b8c166342ca86a344
ml-tooling/best-of-ml-python,4a4ff0af4073d32150fd1e6b8c166342ca86a344,https://github.com/ml-tooling/best-of-ml-python/commit/4a4ff0af4073d32150fd1e6b8c166342ca86a344,lukasmasuch,2852129,User,2025-04-10T19:48:33+00:00,web-flow,2025-04-10T19:48:33+00:00,"Merge pull request #373 from ml-tooling/update/2025.04.10

Best-of update: 2025.04.10",2032,1079,3111,4,"c1f41e58624c0b6539255b63c521949007a67cbc,8a7ec8009145948f3e0c3ebf20561b1aa17b443c"
ml-tooling/best-of-ml-python,8a7ec8009145948f3e0c3ebf20561b1aa17b443c,https://github.com/ml-tooling/best-of-ml-python/commit/8a7ec8009145948f3e0c3ebf20561b1aa17b443c,lukasmasuch,2852129,User,2025-04-10T15:16:02+00:00,actions-user,2025-04-10T15:16:02+00:00,Update best-of list for version 2025.04.10,2032,1079,3111,4,c1f41e58624c0b6539255b63c521949007a67cbc
ml-tooling/best-of-ml-python,c1f41e58624c0b6539255b63c521949007a67cbc,https://github.com/ml-tooling/best-of-ml-python/commit/c1f41e58624c0b6539255b63c521949007a67cbc,lukasmasuch,2852129,User,2025-04-03T15:24:20+00:00,web-flow,2025-04-03T15:24:20+00:00,"Merge pull request #372 from ml-tooling/update/2025.04.03

Best-of update: 2025.04.03",2248,1420,3668,4,"18d6e40e365decea6f317f4ce5c7d3bd63bbe5ae,3319cc5993891dfdbbb0450a6b5dfe35392b6197"
