repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
piskvorky/gensim,6591e008f065017adce9d25113a036864e3a9dc6,https://github.com/piskvorky/gensim/commit/6591e008f065017adce9d25113a036864e3a9dc6,mpenkov,1101396,User,2025-02-14T14:36:27+00:00,mpenkov,2025-02-14T14:36:27+00:00,"update cibuildwheel to 2.22.0, test under Py3.13 on all platforms",4,2,6,1,8b6b69c29fd58a93136e8f591ea9379ac2c8290c
piskvorky/gensim,8b6b69c29fd58a93136e8f591ea9379ac2c8290c,https://github.com/piskvorky/gensim/commit/8b6b69c29fd58a93136e8f591ea9379ac2c8290c,mpenkov,1101396,User,2024-12-05T00:45:19+00:00,mpenkov,2024-12-05T00:45:19+00:00,use macos-latest for wheel builds,6,6,12,1,24684175a8b49a55ced4a6bb24ef096c3d2fdc3e
piskvorky/gensim,24684175a8b49a55ced4a6bb24ef096c3d2fdc3e,https://github.com/piskvorky/gensim/commit/24684175a8b49a55ced4a6bb24ef096c3d2fdc3e,mpenkov,1101396,User,2024-08-10T11:58:54+00:00,web-flow,2024-08-10T11:58:54+00:00,"add route4me.com as bronze sponsor (#3558)

* add route4me.com as bronze sponsor

* git add docs/src/_static/images/route4me-logo.png",5,0,5,2,bff9abc529825883fc7112b10569a8642244ec60
piskvorky/gensim,bff9abc529825883fc7112b10569a8642244ec60,https://github.com/piskvorky/gensim/commit/bff9abc529825883fc7112b10569a8642244ec60,mpenkov,1101396,User,2024-08-09T22:29:06+00:00,mpenkov,2024-08-09T22:29:06+00:00,adjust update_index.py,7,1,8,1,54dfec9909041817371ed96a4a53e36dc1b398d9
piskvorky/gensim,54dfec9909041817371ed96a4a53e36dc1b398d9,https://github.com/piskvorky/gensim/commit/54dfec9909041817371ed96a4a53e36dc1b398d9,mpenkov,1101396,User,2024-07-19T13:32:39+00:00,mpenkov,2024-07-19T13:32:39+00:00,Merge branch 'master' into develop,25,4,29,4,"79f982b25be815310bc4410758ac6ee83a095e9e,e9ee434ca88faa593dab5c05c02faca96b772aa1"
piskvorky/gensim,e9ee434ca88faa593dab5c05c02faca96b772aa1,https://github.com/piskvorky/gensim/commit/e9ee434ca88faa593dab5c05c02faca96b772aa1,mpenkov,1101396,User,2024-07-19T13:32:36+00:00,mpenkov,2024-07-19T13:32:36+00:00,Merge branch 'release-4.3.3',157,83,240,20,"30179c88a666f7b9cb978b174659bb72fa587ead,ea7b162e3c2d93b02f2793cfc6ff5b558ef5dfee"
piskvorky/gensim,ea7b162e3c2d93b02f2793cfc6ff5b558ef5dfee,https://github.com/piskvorky/gensim/commit/ea7b162e3c2d93b02f2793cfc6ff5b558ef5dfee,mpenkov,1101396,User,2024-07-19T13:31:49+00:00,mpenkov,2024-07-19T13:31:49+00:00,updated CHANGELOG.md for version 4.3.3,21,0,21,1,7321346a7043b51dfa3883e2a224cd78c07703ab
piskvorky/gensim,7321346a7043b51dfa3883e2a224cd78c07703ab,https://github.com/piskvorky/gensim/commit/7321346a7043b51dfa3883e2a224cd78c07703ab,mpenkov,1101396,User,2024-07-19T13:28:30+00:00,mpenkov,2024-07-19T13:28:30+00:00,bumped version to 4.3.3,4,4,8,3,79f982b25be815310bc4410758ac6ee83a095e9e
piskvorky/gensim,79f982b25be815310bc4410758ac6ee83a095e9e,https://github.com/piskvorky/gensim/commit/79f982b25be815310bc4410758ac6ee83a095e9e,filip-komarzyniec,39336739,User,2024-07-18T12:03:07+00:00,web-flow,2024-07-18T12:03:07+00:00,"removed scipy from build-only dependencies (#3538)

* removed scipy from build-only dependencies; updated README accordingly

* fixed conditions regarding oldest numpy installation on arm64 Windows machines

* README rephrased regarding NumPy installation

* Revert ""fixed conditions regarding oldest numpy installation on arm64 Windows machines""

This reverts commit 68197fb9beb65cf3abdb03f71d7c7a4b8ae36473.

* pin scipy, need old sparsetools for wheel testing

* make scipy pin more strict

* use macos-latest instead of deprecated macos-11

* pin scipy in setup.py

* remove redundant scipy pin from build-wheels.yml

* get rid of remaining macos-11 traces in CI workflow

* use macos-12 instead of macos-latest

---------

Co-authored-by: Michael Penkov <m@penkov.dev>",21,20,41,4,afbb82ea3446b5462a6ae1f5b02d338ff0170e5a
piskvorky/gensim,afbb82ea3446b5462a6ae1f5b02d338ff0170e5a,https://github.com/piskvorky/gensim/commit/afbb82ea3446b5462a6ae1f5b02d338ff0170e5a,mpenkov,1101396,User,2024-07-18T02:46:07+00:00,mpenkov,2024-07-18T02:46:07+00:00,"pin scipy, need deprecated sparsetools",4,1,5,1,dc5b5c48e7454fe22cf98ddac60ff85107226f6a
piskvorky/gensim,dc5b5c48e7454fe22cf98ddac60ff85107226f6a,https://github.com/piskvorky/gensim/commit/dc5b5c48e7454fe22cf98ddac60ff85107226f6a,mpenkov,1101396,User,2024-06-12T02:09:06+00:00,mpenkov,2024-06-12T02:09:54+00:00,pin numpy < 2.0,4,1,5,1,bea670a5d807b8b0c6201e184dc048999f276f7a
piskvorky/gensim,bea670a5d807b8b0c6201e184dc048999f276f7a,https://github.com/piskvorky/gensim/commit/bea670a5d807b8b0c6201e184dc048999f276f7a,dependabot[bot],49699333,Bot,2024-06-11T15:40:03+00:00,web-flow,2024-06-11T15:40:03+00:00,"Bump codecov/codecov-action from 3 to 4 (#3514)

Bumps [codecov/codecov-action](https://github.com/codecov/codecov-action) from 3 to 4.
- [Release notes](https://github.com/codecov/codecov-action/releases)
- [Changelog](https://github.com/codecov/codecov-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/codecov/codecov-action/compare/v3...v4)

---
updated-dependencies:
- dependency-name: codecov/codecov-action
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,1,2,1,c95bdb48493ff35e4781b313454dfdabbe9f6ad9
piskvorky/gensim,c95bdb48493ff35e4781b313454dfdabbe9f6ad9,https://github.com/piskvorky/gensim/commit/c95bdb48493ff35e4781b313454dfdabbe9f6ad9,nk-fouque,46605602,User,2024-06-11T14:25:20+00:00,web-flow,2024-06-11T14:25:20+00:00,"Handle optional parameters without implicit bool cast (#3502)

* Handle optional parameters without implicit bool cast

* dummy commit to trigger CI

---------

Co-authored-by: Michael Penkov <m@penkov.dev>",7,6,13,2,caeca0cc6010140aca2bc2b7e8a3ea6063a935d5
piskvorky/gensim,caeca0cc6010140aca2bc2b7e8a3ea6063a935d5,https://github.com/piskvorky/gensim/commit/caeca0cc6010140aca2bc2b7e8a3ea6063a935d5,piskvorky,610412,User,2024-06-11T12:24:20+00:00,web-flow,2024-06-11T12:24:20+00:00,"Merge pull request #3532 from hammad7/feature/doc_update_issue_3528

Issue-3528: Corrected file argument name in KeyedVectors.save",1,1,2,1,"795c7e02c73eeb50fb9c1d0181ad7d2368198609,35a3a941e11c5af1bc899eab20455290a5d73dd3"
