repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
donnemartin/data-science-ipython-notebooks,5b3c00d462c6e9200315afe46d0093948621eb95,https://github.com/donnemartin/data-science-ipython-notebooks/commit/5b3c00d462c6e9200315afe46d0093948621eb95,KaihuaHuang,31960960.0,User,2019-02-11T10:51:45+00:00,donnemartin,2019-02-11T10:51:45+00:00,Add missing images in numpy notebook (#63),0,0,0,4,6f8bd3d60ed3bcf433ec491f969cb7746ad408d5
donnemartin/data-science-ipython-notebooks,6f8bd3d60ed3bcf433ec491f969cb7746ad408d5,https://github.com/donnemartin/data-science-ipython-notebooks/commit/6f8bd3d60ed3bcf433ec491f969cb7746ad408d5,incessantmeraki,12898180.0,User,2018-09-14T21:32:57+00:00,donnemartin,2018-09-14T21:32:57+00:00,Fix incorrect return type comment for dict.values() (#58),1,1,2,1,fdd2cf59ec589f952718e63ff96c04effffb3144
donnemartin/data-science-ipython-notebooks,fdd2cf59ec589f952718e63ff96c04effffb3144,https://github.com/donnemartin/data-science-ipython-notebooks/commit/fdd2cf59ec589f952718e63ff96c04effffb3144,tuanavu,6547031.0,User,2018-03-25T00:06:37+00:00,donnemartin,2018-03-25T00:06:37+00:00,Add tuanavu/tensorflow-basic-tutorials (#56),1,0,1,1,a876e346be6d2cbad3c4cc38b910c246bcdd437e
donnemartin/data-science-ipython-notebooks,a876e346be6d2cbad3c4cc38b910c246bcdd437e,https://github.com/donnemartin/data-science-ipython-notebooks/commit/a876e346be6d2cbad3c4cc38b910c246bcdd437e,donnemartin,5458997.0,User,2018-01-15T02:11:37+00:00,web-flow,2018-01-15T02:11:37+00:00,Remove .DS_Store (#54),4,1,5,2,565136cd4a1577a3c2e6722a80158d70bc4b19bf
donnemartin/data-science-ipython-notebooks,565136cd4a1577a3c2e6722a80158d70bc4b19bf,https://github.com/donnemartin/data-science-ipython-notebooks/commit/565136cd4a1577a3c2e6722a80158d70bc4b19bf,donnemartin,5458997.0,User,2017-08-26T12:47:27+00:00,web-flow,2017-08-26T12:47:27+00:00,Fix #49: Keras tutorial links (#52),22,22,44,11,38ab23e4feaed8fd249e8ff9ef381bac6102324f
donnemartin/data-science-ipython-notebooks,38ab23e4feaed8fd249e8ff9ef381bac6102324f,https://github.com/donnemartin/data-science-ipython-notebooks/commit/38ab23e4feaed8fd249e8ff9ef381bac6102324f,donnemartin,5458997.0,User,2017-08-26T12:25:13+00:00,web-flow,2017-08-26T12:25:13+00:00,Add Keras tutorials resources #49 (#51),23509,0,23509,68,e0195b4a46f935ba2b253855d19ce48a1dfe759d
donnemartin/data-science-ipython-notebooks,e0195b4a46f935ba2b253855d19ce48a1dfe759d,https://github.com/donnemartin/data-science-ipython-notebooks/commit/e0195b4a46f935ba2b253855d19ce48a1dfe759d,donnemartin,5458997.0,User,2017-05-12T04:41:23+00:00,web-flow,2017-05-12T04:41:23+00:00,Fix LICENSE line wrapping (#47),6,2,8,1,ec097d1b10d972d20d37608be01901cab0f28707
donnemartin/data-science-ipython-notebooks,ec097d1b10d972d20d37608be01901cab0f28707,https://github.com/donnemartin/data-science-ipython-notebooks/commit/ec097d1b10d972d20d37608be01901cab0f28707,donnemartin,5458997.0,User,2017-05-12T04:27:14+00:00,web-flow,2017-05-12T04:27:14+00:00,"Add license disclaimer (#46)

Clearly denote the repository license is from me, not my employer (Facebook).",4,0,4,2,77739b309f46446bfe3c4ade66a2ce064d2352f9
donnemartin/data-science-ipython-notebooks,77739b309f46446bfe3c4ade66a2ce064d2352f9,https://github.com/donnemartin/data-science-ipython-notebooks/commit/77739b309f46446bfe3c4ade66a2ce064d2352f9,donnemartin,5458997.0,User,2017-04-10T02:09:01+00:00,web-flow,2017-04-10T02:09:01+00:00,Update running-notebooks section (#44),1,5,6,1,0fb30ce1fe3c7178619b00a91672c4ad7ce6ca26
donnemartin/data-science-ipython-notebooks,0fb30ce1fe3c7178619b00a91672c4ad7ce6ca26,https://github.com/donnemartin/data-science-ipython-notebooks/commit/0fb30ce1fe3c7178619b00a91672c4ad7ce6ca26,donnemartin,5458997.0,User,2017-03-21T01:40:44+00:00,web-flow,2017-03-21T01:40:44+00:00,Update index with deep learning topics (#43),4,0,4,1,d3d5aa834a3751b08b25a10bd063d441c0690197
