repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
plotly/dash,bb13521dcb1554d64fed0bae568074d7eeb5ce1b,https://github.com/plotly/dash/commit/bb13521dcb1554d64fed0bae568074d7eeb5ce1b,T4rk1n,9417722,User,2025-05-06T15:55:33+00:00,web-flow,2025-05-06T15:55:33+00:00,"Merge pull request #3298 from plotly/fix/dev_only_resource

Fix dev only resource filtering",10,2,12,2,"692298ed108317cab0998f0bf35e640e3a2c508f,4269647fff1eb37841d2e2b8403a5d0c6a9300b7"
plotly/dash,4269647fff1eb37841d2e2b8403a5d0c6a9300b7,https://github.com/plotly/dash/commit/4269647fff1eb37841d2e2b8403a5d0c6a9300b7,T4rk1n,9417722,User,2025-05-06T15:10:13+00:00,T4rk1n,2025-05-06T15:10:13+00:00,update changelog,1,0,1,1,fbde2b27fe562ada1c2e0ad3c4610cc2b350fda3
plotly/dash,fbde2b27fe562ada1c2e0ad3c4610cc2b350fda3,https://github.com/plotly/dash/commit/fbde2b27fe562ada1c2e0ad3c4610cc2b350fda3,T4rk1n,9417722,User,2025-05-06T13:49:27+00:00,T4rk1n,2025-05-06T13:49:27+00:00,Fix dev only resource filtering,9,2,11,1,692298ed108317cab0998f0bf35e640e3a2c508f
plotly/dash,692298ed108317cab0998f0bf35e640e3a2c508f,https://github.com/plotly/dash/commit/692298ed108317cab0998f0bf35e640e3a2c508f,T4rk1n,9417722,User,2025-05-05T14:21:16+00:00,web-flow,2025-05-05T14:21:16+00:00,"Merge pull request #3294 from BSd3v/feat/3067

adds `allow_optional` to State and Input to place no value as the placeholders",149,18,167,4,"419556131b4f5d4010d0b7761bfa7df83e993d51,900da07850fbca66d5928c02bb34353297b0fac8"
plotly/dash,900da07850fbca66d5928c02bb34353297b0fac8,https://github.com/plotly/dash/commit/900da07850fbca66d5928c02bb34353297b0fac8,BSd3v,82055130,User,2025-05-05T13:41:17+00:00,BSd3v,2025-05-05T13:41:17+00:00,adjustments specs to dict,6,1,7,2,60f444ca802c8b61f8e84746ce32330dfca42c3c
plotly/dash,60f444ca802c8b61f8e84746ce32330dfca42c3c,https://github.com/plotly/dash/commit/60f444ca802c8b61f8e84746ce32330dfca42c3c,BSd3v,82055130,User,2025-05-01T20:34:47+00:00,web-flow,2025-05-01T20:34:47+00:00,Merge branch 'dev' into feat/3067,1,1,2,1,"94710e2e6f3de002e5340597e449a5082de1a83e,419556131b4f5d4010d0b7761bfa7df83e993d51"
plotly/dash,419556131b4f5d4010d0b7761bfa7df83e993d51,https://github.com/plotly/dash/commit/419556131b4f5d4010d0b7761bfa7df83e993d51,T4rk1n,9417722,User,2025-05-01T20:32:35+00:00,web-flow,2025-05-01T20:32:35+00:00,"Merge pull request #3296 from plotly/unsafe-resource-access

Fix unsafe access of 'external_url' field",1,1,2,1,"d6cbee8aa4e8d7f7a6771519da11cca0fd3b8111,533daf6801ec8a32e96c20e283defe188428e346"
plotly/dash,94710e2e6f3de002e5340597e449a5082de1a83e,https://github.com/plotly/dash/commit/94710e2e6f3de002e5340597e449a5082de1a83e,BSd3v,82055130,User,2025-05-01T17:27:03+00:00,BSd3v,2025-05-01T17:27:03+00:00,fixing for lint,1,1,2,1,873394ccac7c5a1754626231f27cb4209fa64c5f
plotly/dash,533daf6801ec8a32e96c20e283defe188428e346,https://github.com/plotly/dash/commit/533daf6801ec8a32e96c20e283defe188428e346,marthacryan,6673460,User,2025-05-01T17:10:35+00:00,marthacryan,2025-05-01T17:10:35+00:00,Fix unsafe access of 'external_url' field,1,1,2,1,d6cbee8aa4e8d7f7a6771519da11cca0fd3b8111
plotly/dash,873394ccac7c5a1754626231f27cb4209fa64c5f,https://github.com/plotly/dash/commit/873394ccac7c5a1754626231f27cb4209fa64c5f,BSd3v,82055130,User,2025-05-01T17:06:16+00:00,BSd3v,2025-05-01T17:06:16+00:00,adjustments for feedback,3,3,6,1,54d3aa78de3d7d750b290bd2d7e9208d8c1b59ee
plotly/dash,54d3aa78de3d7d750b290bd2d7e9208d8c1b59ee,https://github.com/plotly/dash/commit/54d3aa78de3d7d750b290bd2d7e9208d8c1b59ee,BSd3v,82055130,User,2025-04-30T14:13:13+00:00,web-flow,2025-04-30T14:13:13+00:00,Merge branch 'dev' into feat/3067,44,48,92,5,"fe2d51403d0c406368a31183c80fa615a42ce84d,d6cbee8aa4e8d7f7a6771519da11cca0fd3b8111"
plotly/dash,d6cbee8aa4e8d7f7a6771519da11cca0fd3b8111,https://github.com/plotly/dash/commit/d6cbee8aa4e8d7f7a6771519da11cca0fd3b8111,T4rk1n,9417722,User,2025-04-30T13:05:44+00:00,web-flow,2025-04-30T13:05:44+00:00,"Merge pull request #3279 from petar-qb/fix/store-output-value-in-persistence-storage

Store callback Output value in persistence storage",44,48,92,5,"8ee6a469ec4c9d971e1449154721cda5b65bc07f,fc5eea6268b71cbfe2cef36dc162429cd7e8393b"
