repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
AMAI-GmbH/AI-Expert-Roadmap,2cc62bd82b5ba9d01c02636ac483d6443672f90c,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/2cc62bd82b5ba9d01c02636ac483d6443672f90c,JStumpp,4624747,User,2022-02-10T12:36:44+00:00,JStumpp,2022-02-10T12:36:44+00:00,"Updated dependencies
Bump year to 2022",18037,1886,19923,6,e6cf9f1d323a5b4199dc77c62f284f954411a04d
AMAI-GmbH/AI-Expert-Roadmap,e6cf9f1d323a5b4199dc77c62f284f954411a04d,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/e6cf9f1d323a5b4199dc77c62f284f954411a04d,JStumpp,4624747,User,2022-02-10T12:32:20+00:00,JStumpp,2022-02-10T12:32:20+00:00,Fix Deployment,9,4,13,1,943f25a256c89ca018fdebbd430385f6f405b898
AMAI-GmbH/AI-Expert-Roadmap,943f25a256c89ca018fdebbd430385f6f405b898,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/943f25a256c89ca018fdebbd430385f6f405b898,JStumpp,4624747,User,2022-02-10T12:12:22+00:00,web-flow,2022-02-10T12:12:22+00:00,"Merge pull request #42 from joaojgabriel/main

Changing the link in Overfitting / Underfitting",26,26,52,1,"768efb01610ddc4676055c8598fffbcab2aa64df,6050a922b34d7e9c237faf17306825a6ee2be702"
AMAI-GmbH/AI-Expert-Roadmap,768efb01610ddc4676055c8598fffbcab2aa64df,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/768efb01610ddc4676055c8598fffbcab2aa64df,JStumpp,4624747,User,2022-02-10T11:53:20+00:00,web-flow,2022-02-10T11:53:20+00:00,"Merge pull request #44 from Aakash-2904/patch-1

Update readme.md",1,1,2,1,"c5c5735bee9708c60ef61a2f06e5a38abf8c27a4,6d9cbd2cd20dd9644c8d50c83d71f661af24dda7"
AMAI-GmbH/AI-Expert-Roadmap,6d9cbd2cd20dd9644c8d50c83d71f661af24dda7,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/6d9cbd2cd20dd9644c8d50c83d71f661af24dda7,Aakash-2904,90444314,User,2022-02-10T11:05:16+00:00,web-flow,2022-02-10T11:05:16+00:00,"Update readme.md

Made a few changes to the readme file",1,1,2,1,c5c5735bee9708c60ef61a2f06e5a38abf8c27a4
AMAI-GmbH/AI-Expert-Roadmap,6050a922b34d7e9c237faf17306825a6ee2be702,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/6050a922b34d7e9c237faf17306825a6ee2be702,joaojgabriel,27141651,User,2021-12-23T18:11:06+00:00,joaojgabriel,2021-12-23T18:11:06+00:00,"Changing the link in Overfitting / Underfitting

The current article linked is so poorly written that it often feels cryptic.",26,26,52,1,c5c5735bee9708c60ef61a2f06e5a38abf8c27a4
AMAI-GmbH/AI-Expert-Roadmap,c5c5735bee9708c60ef61a2f06e5a38abf8c27a4,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/c5c5735bee9708c60ef61a2f06e5a38abf8c27a4,JStumpp,4624747,User,2021-04-16T09:59:10+00:00,web-flow,2021-04-16T09:59:10+00:00,"Merge pull request #34 from rlirli/main

Aesthetic Edits to Data Science and Fundamentals Roadmap",21,21,42,7,"f40afb42c280b496872b1db2aa99cc5e883e9963,81bb7132c8d865ac66505a41dd4f58dc93529519"
AMAI-GmbH/AI-Expert-Roadmap,81bb7132c8d865ac66505a41dd4f58dc93529519,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/81bb7132c8d865ac66505a41dd4f58dc93529519,rlirli,57397330,User,2021-04-16T09:54:10+00:00,rlirli,2021-04-16T09:54:10+00:00,Updated Readme,2,2,4,1,1f9e7781d64b4a4dbe818f7b624c82cbe02e6754
AMAI-GmbH/AI-Expert-Roadmap,1f9e7781d64b4a4dbe818f7b624c82cbe02e6754,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/1f9e7781d64b4a4dbe818f7b624c82cbe02e6754,rlirli,57397330,User,2021-04-16T09:46:16+00:00,web-flow,2021-04-16T09:46:16+00:00,"Merge pull request #4 from AMAI-GmbH/main

Merge pull request #26 from rlirli/main",0,0,0,0,"42df8305b6d4d577b5f530191177aa93059091d7,f40afb42c280b496872b1db2aa99cc5e883e9963"
AMAI-GmbH/AI-Expert-Roadmap,42df8305b6d4d577b5f530191177aa93059091d7,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/42df8305b6d4d577b5f530191177aa93059091d7,rlirli,57397330,User,2021-03-05T16:06:18+00:00,rlirli,2021-03-05T16:06:18+00:00,Mini Edits,19,19,38,6,570451cf7e647320a9be319daa91cc5a75ebbeca
AMAI-GmbH/AI-Expert-Roadmap,f40afb42c280b496872b1db2aa99cc5e883e9963,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/f40afb42c280b496872b1db2aa99cc5e883e9963,JStumpp,4624747,User,2021-01-19T22:57:33+00:00,web-flow,2021-01-19T22:57:33+00:00,"Merge pull request #26 from rlirli/main

Fixed dead link to Denoising article",4,4,8,2,"d0b1ea10dc2ffd34d36f12c29098f411ebdfb992,570451cf7e647320a9be319daa91cc5a75ebbeca"
AMAI-GmbH/AI-Expert-Roadmap,570451cf7e647320a9be319daa91cc5a75ebbeca,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/570451cf7e647320a9be319daa91cc5a75ebbeca,rlirli,57397330,User,2021-01-19T16:13:45+00:00,rlirli,2021-01-19T16:13:45+00:00,Fixed dead link to Denoising article,4,4,8,2,8fb9fb8c0f9d3aa431fd95d2626df234ce709444
AMAI-GmbH/AI-Expert-Roadmap,8fb9fb8c0f9d3aa431fd95d2626df234ce709444,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/8fb9fb8c0f9d3aa431fd95d2626df234ce709444,rlirli,57397330,User,2021-01-19T16:05:26+00:00,web-flow,2021-01-19T16:05:26+00:00,"Merge pull request #3 from AMAI-GmbH/main

Merge pull request #24 from rlirli/main",0,0,0,0,"bce379a1a61445cfd89fdd84f3ec625340d87ebc,d0b1ea10dc2ffd34d36f12c29098f411ebdfb992"
AMAI-GmbH/AI-Expert-Roadmap,d0b1ea10dc2ffd34d36f12c29098f411ebdfb992,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/d0b1ea10dc2ffd34d36f12c29098f411ebdfb992,JStumpp,4624747,User,2021-01-12T17:20:03+00:00,web-flow,2021-01-12T17:20:03+00:00,"Merge pull request #24 from rlirli/main

Bumped year to 2021",19,19,38,5,"2e20e67c95ab4b3d11fd0831719f3a4522c11852,bce379a1a61445cfd89fdd84f3ec625340d87ebc"
AMAI-GmbH/AI-Expert-Roadmap,bce379a1a61445cfd89fdd84f3ec625340d87ebc,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/bce379a1a61445cfd89fdd84f3ec625340d87ebc,rlirli,57397330,User,2021-01-01T22:17:18+00:00,rlirli,2021-01-01T22:17:18+00:00,Bumped year to 2021,19,19,38,5,b3154c369cf7e07d95f54d4d0d7d1bb39adaddee
AMAI-GmbH/AI-Expert-Roadmap,b3154c369cf7e07d95f54d4d0d7d1bb39adaddee,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/b3154c369cf7e07d95f54d4d0d7d1bb39adaddee,rlirli,57397330,User,2021-01-01T22:04:22+00:00,web-flow,2021-01-01T22:04:22+00:00,"Merge pull request #2 from AMAI-GmbH/main

Merge AMAI-GmbH",245,94,339,7,"bb55e565894a76a463d8f3e3b6244b7ec5271dc9,2e20e67c95ab4b3d11fd0831719f3a4522c11852"
AMAI-GmbH/AI-Expert-Roadmap,2e20e67c95ab4b3d11fd0831719f3a4522c11852,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/2e20e67c95ab4b3d11fd0831719f3a4522c11852,JStumpp,4624747,User,2020-12-28T23:58:47+00:00,JStumpp,2020-12-28T23:58:47+00:00,Added link to navbar,1,0,1,1,4e550d213171512cb4e82326b6511d4f06fc0167
AMAI-GmbH/AI-Expert-Roadmap,4e550d213171512cb4e82326b6511d4f06fc0167,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/4e550d213171512cb4e82326b6511d4f06fc0167,JStumpp,4624747,User,2020-12-22T15:21:22+00:00,JStumpp,2020-12-22T15:21:22+00:00,Removed google analytics + cookie-banner,15,30,45,2,6f6835e672e0de9671afbb2a349da88e091c1316
AMAI-GmbH/AI-Expert-Roadmap,6f6835e672e0de9671afbb2a349da88e091c1316,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/6f6835e672e0de9671afbb2a349da88e091c1316,JStumpp,4624747,User,2020-12-11T20:58:54+00:00,web-flow,2020-12-11T20:58:54+00:00,"Merge pull request #19 from jamesmilliman/main

Fixing typo in the word 'resources'",4,4,8,2,"432aa09b7608d1fd28869ba7b530d8fb9795e6c2,9dd4972d678ceb6c74360562c99430ceaf84d397"
AMAI-GmbH/AI-Expert-Roadmap,9dd4972d678ceb6c74360562c99430ceaf84d397,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/9dd4972d678ceb6c74360562c99430ceaf84d397,jamesmilliman,8591478,User,2020-12-03T21:50:46+00:00,jamesmilliman,2020-12-03T21:50:46+00:00,Fixing typo in the word 'resources',4,4,8,2,432aa09b7608d1fd28869ba7b530d8fb9795e6c2
AMAI-GmbH/AI-Expert-Roadmap,432aa09b7608d1fd28869ba7b530d8fb9795e6c2,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/432aa09b7608d1fd28869ba7b530d8fb9795e6c2,JStumpp,4624747,User,2020-11-30T22:35:55+00:00,JStumpp,2020-11-30T22:35:55+00:00,Remove contribution from pdf,4,4,8,2,37b5d4b60b070e7dbaf3e4218e295964f2741c34
AMAI-GmbH/AI-Expert-Roadmap,37b5d4b60b070e7dbaf3e4218e295964f2741c34,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/37b5d4b60b070e7dbaf3e4218e295964f2741c34,JStumpp,4624747,User,2020-11-30T22:28:11+00:00,JStumpp,2020-11-30T22:28:11+00:00,Fix build,8,8,16,1,af29c076e998a6f19855b797297009fc2ca3e2fa
AMAI-GmbH/AI-Expert-Roadmap,af29c076e998a6f19855b797297009fc2ca3e2fa,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/af29c076e998a6f19855b797297009fc2ca3e2fa,JStumpp,4624747,User,2020-11-30T22:17:09+00:00,JStumpp,2020-11-30T22:17:09+00:00,Fixing build errors,5,5,10,1,0b1ce662726cb822e35ebad31ae8cb32efb1166d
AMAI-GmbH/AI-Expert-Roadmap,0b1ce662726cb822e35ebad31ae8cb32efb1166d,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/0b1ce662726cb822e35ebad31ae8cb32efb1166d,JStumpp,4624747,User,2020-11-30T22:11:09+00:00,JStumpp,2020-11-30T22:11:09+00:00,Fixing heading during pdf export,9,9,18,1,42718f255825735d374c093a534868046a50a525
AMAI-GmbH/AI-Expert-Roadmap,42718f255825735d374c093a534868046a50a525,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/42718f255825735d374c093a534868046a50a525,JStumpp,4624747,User,2020-11-30T21:50:37+00:00,JStumpp,2020-11-30T21:50:37+00:00,Setting pdf export environment variable,1,1,2,1,fe8fca1496844ec7c33f80cf088674c6994e6faa
AMAI-GmbH/AI-Expert-Roadmap,fe8fca1496844ec7c33f80cf088674c6994e6faa,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/fe8fca1496844ec7c33f80cf088674c6994e6faa,JStumpp,4624747,User,2020-11-30T21:45:59+00:00,JStumpp,2020-11-30T21:45:59+00:00,Try to fix pdf export,1,1,2,1,84a97ca4092d1b0b81c934dbeff7bac189c32e41
AMAI-GmbH/AI-Expert-Roadmap,84a97ca4092d1b0b81c934dbeff7bac189c32e41,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/84a97ca4092d1b0b81c934dbeff7bac189c32e41,JStumpp,4624747,User,2020-11-30T21:39:13+00:00,JStumpp,2020-11-30T21:39:13+00:00,Try to generate pdf from roadmap,224,59,283,4,3c2a8e03145c04c747ac86a57ea1630eafeff5c7
AMAI-GmbH/AI-Expert-Roadmap,3c2a8e03145c04c747ac86a57ea1630eafeff5c7,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/3c2a8e03145c04c747ac86a57ea1630eafeff5c7,JStumpp,4624747,User,2020-11-30T21:02:41+00:00,web-flow,2020-11-30T21:02:41+00:00,"Merge pull request #18 from rlirli/main

Fixed Issues from ErdosEuge and Hellisotherpeople",1051,814,1865,13,"c3fc763913551733640e5b2191e82a3c293de6f5,bb55e565894a76a463d8f3e3b6244b7ec5271dc9"
AMAI-GmbH/AI-Expert-Roadmap,bb55e565894a76a463d8f3e3b6244b7ec5271dc9,https://github.com/AMAI-GmbH/AI-Expert-Roadmap/commit/bb55e565894a76a463d8f3e3b6244b7ec5271dc9,rlirli,57397330,User,2020-11-30T13:27:07+00:00,rlirli,2020-11-30T13:27:07+00:00,Included new Fundamentals Roadmap in Readme,8,0,8,1,15501ba2c0f1aba1e894ba2ca580bb6e3d4216f9
