repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
eriklindernoren/ML-From-Scratch,a2806c6732eee8d27762edd6d864e0c179d8e9e8,https://github.com/eriklindernoren/ML-From-Scratch/commit/a2806c6732eee8d27762edd6d864e0c179d8e9e8,eriklindernoren,7977505.0,User,2019-10-18T21:42:16+00:00,web-flow,2019-10-18T21:42:16+00:00,"Merge pull request #60 from DandilionLau/master

Init using np.zeros instead of np.empty to avoid overflow",1,1,2,1,"40b52e4edf9485c4e479568f5a41501914fdc55c,19b7c251dac7b6e952a00467c2cecc9cce67d623"
eriklindernoren/ML-From-Scratch,19b7c251dac7b6e952a00467c2cecc9cce67d623,https://github.com/eriklindernoren/ML-From-Scratch/commit/19b7c251dac7b6e952a00467c2cecc9cce67d623,DandilionLau,19463356.0,User,2019-10-06T19:57:23+00:00,DandilionLau,2019-10-06T19:57:23+00:00,"init as zeros, avoid overflow",1,1,2,1,40b52e4edf9485c4e479568f5a41501914fdc55c
eriklindernoren/ML-From-Scratch,40b52e4edf9485c4e479568f5a41501914fdc55c,https://github.com/eriklindernoren/ML-From-Scratch/commit/40b52e4edf9485c4e479568f5a41501914fdc55c,eriklindernoren,7977505.0,User,2019-06-09T02:21:58+00:00,web-flow,2019-06-09T02:21:58+00:00,"Merge pull request #54 from drlCoder/patch-1

Added self.env.close() to ""play""",1,0,1,1,"6c5135d402f5a9e249780a2a322085c35b2528c1,b049ce581c0048f4c96b138597b1129c55354d2c"
eriklindernoren/ML-From-Scratch,b049ce581c0048f4c96b138597b1129c55354d2c,https://github.com/eriklindernoren/ML-From-Scratch/commit/b049ce581c0048f4c96b138597b1129c55354d2c,,,,2019-06-08T21:28:13+00:00,web-flow,2019-06-08T21:28:13+00:00,"Added self.env.close() to ""play"" 

To avoid the following error ""ImportError: sys.meta_path is None, Python is likely shutting down"" when running the deep_q_network example.",1,0,1,1,6c5135d402f5a9e249780a2a322085c35b2528c1
eriklindernoren/ML-From-Scratch,6c5135d402f5a9e249780a2a322085c35b2528c1,https://github.com/eriklindernoren/ML-From-Scratch/commit/6c5135d402f5a9e249780a2a322085c35b2528c1,eriklindernoren,7977505.0,User,2019-01-23T19:22:23+00:00,web-flow,2019-01-23T19:22:23+00:00,"Merge pull request #51 from daviddwlee84/patch-2

Clean up import",1,2,3,1,"a633c33c4763d6ed8ca124e43ab606250d04fa6c,af496778f47ade9a3629ec1c8fa0595117af358a"
eriklindernoren/ML-From-Scratch,af496778f47ade9a3629ec1c8fa0595117af358a,https://github.com/eriklindernoren/ML-From-Scratch/commit/af496778f47ade9a3629ec1c8fa0595117af358a,daviddwlee84,1515662.0,User,2018-11-02T07:45:13+00:00,web-flow,2018-11-02T07:45:13+00:00,"Clean up import

standardize and calculate_correlation_matrix haven't been used",1,2,3,1,a633c33c4763d6ed8ca124e43ab606250d04fa6c
eriklindernoren/ML-From-Scratch,a633c33c4763d6ed8ca124e43ab606250d04fa6c,https://github.com/eriklindernoren/ML-From-Scratch/commit/a633c33c4763d6ed8ca124e43ab606250d04fa6c,eriklindernoren,7977505.0,User,2018-09-02T08:58:27+00:00,web-flow,2018-09-02T08:58:27+00:00,"Merge pull request #47 from tvturnhout/master

make genetic_algorithm py3 compliant",1,1,2,1,"f27875199c87301c246ad208f4fdd01e9c52f5f7,e1abd2ea09b90f33c8da7581ecad33d03896bc24"
eriklindernoren/ML-From-Scratch,e1abd2ea09b90f33c8da7581ecad33d03896bc24,https://github.com/eriklindernoren/ML-From-Scratch/commit/e1abd2ea09b90f33c8da7581ecad33d03896bc24,tvturnhout,16676419.0,User,2018-08-30T10:59:08+00:00,tvturnhout,2018-08-30T10:59:08+00:00,make genetic_algorithm py3 compliant,1,1,2,1,f27875199c87301c246ad208f4fdd01e9c52f5f7
eriklindernoren/ML-From-Scratch,f27875199c87301c246ad208f4fdd01e9c52f5f7,https://github.com/eriklindernoren/ML-From-Scratch/commit/f27875199c87301c246ad208f4fdd01e9c52f5f7,eriklindernoren,7977505.0,User,2018-08-30T07:19:18+00:00,web-flow,2018-08-30T07:19:18+00:00,"Merge pull request #43 from miku/fix-deprecated-as-matrix

df.as_matrix has been deprecated since 0.23.0",14,14,28,7,"d8d86600be48117bb4d82f1f60c2d663248c0398,68182adea98434ea2f0d0f81f30a8a5019083c4b"
eriklindernoren/ML-From-Scratch,68182adea98434ea2f0d0f81f30a8a5019083c4b,https://github.com/eriklindernoren/ML-From-Scratch/commit/68182adea98434ea2f0d0f81f30a8a5019083c4b,miku,53705.0,User,2018-08-28T21:54:46+00:00,miku,2018-08-28T21:54:46+00:00,"df.as_matrix has been deprecated since 0.23.0

Refs: https://pandas.pydata.org/pandas-docs/stable/generated/pandas.DataFrame.as_matrix.html",14,14,28,7,d8d86600be48117bb4d82f1f60c2d663248c0398
