repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,5b33f77a803a1a07dcadabae6cc382c9fd2c77d7,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/5b33f77a803a1a07dcadabae6cc382c9fd2c77d7,CamDavidsonPilon,884032.0,User,2023-02-14T00:18:43+00:00,web-flow,2023-02-14T00:18:43+00:00,"Merge pull request #555 from Shayan-B/master

corrected the code `at` and changed to `pt`",103,98,201,4,"d074980203d357819e2cfc1fcebebdf978b37515,a18a658d95d2325b2ed57c38658b6bf393dbdb11"
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,a18a658d95d2325b2ed57c38658b6bf393dbdb11,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/a18a658d95d2325b2ed57c38658b6bf393dbdb11,Shayan-B,32581929.0,User,2023-02-12T05:47:26+00:00,Shayan-B,2023-02-12T05:47:26+00:00,corrected all the occurences of pytensor import,70,70,140,3,e803aad39e63ed630908dfd508533426b08083ba
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,e803aad39e63ed630908dfd508533426b08083ba,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/e803aad39e63ed630908dfd508533426b08083ba,Shayan-B,32581929.0,User,2023-02-12T05:14:41+00:00,Shayan-B,2023-02-12T05:14:41+00:00,"corrected pytensor import

changed the import of `pytensor.tensor` to pt and corrected the following code",10,5,15,1,aa6bfcbb81a0bc551e5fd1198d5a82a2314c7ad2
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,aa6bfcbb81a0bc551e5fd1198d5a82a2314c7ad2,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/aa6bfcbb81a0bc551e5fd1198d5a82a2314c7ad2,Shayan-B,32581929.0,User,2023-02-11T05:17:32+00:00,Shayan-B,2023-02-11T05:17:32+00:00,"corrected the code ""at"" changed to ""T""

correcte a typing blip in code for pytensor.tensor import",24,24,48,1,d074980203d357819e2cfc1fcebebdf978b37515
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,d074980203d357819e2cfc1fcebebdf978b37515,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/d074980203d357819e2cfc1fcebebdf978b37515,CamDavidsonPilon,884032.0,User,2023-02-09T00:34:54+00:00,web-flow,2023-02-09T00:34:54+00:00,"Merge pull request #554 from twiecki/aesara_to_pytensor

Move to PyMC 5.",25,25,50,5,"90683f8e96370206cf0f041af1877b9d6d753fd7,e550424d90ba18f222ce83dfceddd4e561160958"
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,e550424d90ba18f222ce83dfceddd4e561160958,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/e550424d90ba18f222ce83dfceddd4e561160958,twiecki,674200.0,User,2023-02-09T00:04:45+00:00,twiecki,2023-02-09T00:04:45+00:00,PyMC 4 -> PyMC.,2,2,4,1,e91b1c9e2ca8a0e6e890a400469769780d4bacd2
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,e91b1c9e2ca8a0e6e890a400469769780d4bacd2,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/e91b1c9e2ca8a0e6e890a400469769780d4bacd2,twiecki,674200.0,User,2023-02-08T23:59:55+00:00,twiecki,2023-02-08T23:59:55+00:00,Update dependency.,1,1,2,1,2f19ef0834e1d5c4c4828f7242862b5aafabb5cb
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2f19ef0834e1d5c4c4828f7242862b5aafabb5cb,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/2f19ef0834e1d5c4c4828f7242862b5aafabb5cb,twiecki,674200.0,User,2023-02-08T23:59:15+00:00,twiecki,2023-02-08T23:59:15+00:00,Replace aesara with pytensor.,22,22,44,4,90683f8e96370206cf0f041af1877b9d6d753fd7
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,90683f8e96370206cf0f041af1877b9d6d753fd7,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/90683f8e96370206cf0f041af1877b9d6d753fd7,CamDavidsonPilon,884032.0,User,2023-02-08T14:22:29+00:00,web-flow,2023-02-08T14:22:29+00:00,"Merge pull request #548 from miemiekurisu/master

Shift to the pymc current version",12299,75,12374,10,"a3659bd5816749cd9237bb28c4d0df718807a1f6,212107a620eccc666e729cc4fd1be8becffc6528"
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,212107a620eccc666e729cc4fd1be8becffc6528,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/commit/212107a620eccc666e729cc4fd1be8becffc6528,miemiekurisu,3900532.0,User,2023-02-03T02:24:02+00:00,miemiekurisu,2023-02-03T02:24:02+00:00,all review problems solved,430,219,649,7,55409c78547e8c54b0d9695b9a8c0d73eb53361f
