repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
mwaskom/seaborn,86b5481ca47cb46d3b3e079a5ed9b9fb46e315ef,https://github.com/mwaskom/seaborn/commit/86b5481ca47cb46d3b3e079a5ed9b9fb46e315ef,mwaskom,315810,User,2025-01-26T16:55:13+00:00,web-flow,2025-01-26T16:55:13+00:00,"Fix mock __array__ interface (#3821)

Addresses a backwards compatibility bug introduced in #3803",2,2,4,1,eb0b5cc1c331d8ef7358caeb5c85df2781f69bb1
mwaskom/seaborn,eb0b5cc1c331d8ef7358caeb5c85df2781f69bb1,https://github.com/mwaskom/seaborn/commit/eb0b5cc1c331d8ef7358caeb5c85df2781f69bb1,mariosasko,47462742,User,2025-01-26T15:24:34+00:00,web-flow,2025-01-26T15:24:34+00:00,"Support array-like mask in heatmaps (#3803)

* Support array-like mask in heatmaps

* Nit",26,8,34,2,e0c2431789384559050cc81b8cd97dfbf7738bdc
mwaskom/seaborn,e0c2431789384559050cc81b8cd97dfbf7738bdc,https://github.com/mwaskom/seaborn/commit/e0c2431789384559050cc81b8cd97dfbf7738bdc,brownsarahm,10656079,User,2025-01-26T15:18:53+00:00,web-flow,2025-01-26T15:18:53+00:00,Fix typo (#3757),1,1,2,1,5023f2ee885a45200f5b63156a158ddf7272c29e
mwaskom/seaborn,5023f2ee885a45200f5b63156a158ddf7272c29e,https://github.com/mwaskom/seaborn/commit/5023f2ee885a45200f5b63156a158ddf7272c29e,mwaskom,315810,User,2025-01-26T15:17:21+00:00,web-flow,2025-01-26T15:17:21+00:00,"Address some upcoming deprecations (#3820)

* Address matplotlib bxp vert= deprecation

* Address np.in1d deprecation

* Address converter attribute deprecation

* Address parameterized fixture deprecation

* Address false-positive internal deprecation warning

* Fix boxplot backcompat",23,10,33,4,385e54676ca16d0132434bc9df6bc41ea8b2a0d4
mwaskom/seaborn,385e54676ca16d0132434bc9df6bc41ea8b2a0d4,https://github.com/mwaskom/seaborn/commit/385e54676ca16d0132434bc9df6bc41ea8b2a0d4,mwaskom,315810,User,2024-12-16T12:54:02+00:00,web-flow,2024-12-16T12:54:02+00:00,Fix tick visibility introspection on 3.10 (#3802),13,12,25,1,b4e5f8d261d6d5524a00b7dd35e00a40e4855872
mwaskom/seaborn,b4e5f8d261d6d5524a00b7dd35e00a40e4855872,https://github.com/mwaskom/seaborn/commit/b4e5f8d261d6d5524a00b7dd35e00a40e4855872,mwaskom,315810,User,2024-07-22T11:32:48+00:00,web-flow,2024-07-22T11:32:48+00:00,Pin mypy (#3732),1,1,2,1,2f5ea60930b96b461107a564ee706aca9d00a6d3
mwaskom/seaborn,2f5ea60930b96b461107a564ee706aca9d00a6d3,https://github.com/mwaskom/seaborn/commit/2f5ea60930b96b461107a564ee706aca9d00a6d3,mwaskom,315810,User,2024-07-11T11:23:32+00:00,web-flow,2024-07-11T11:23:32+00:00,Try pinning pillow to fix ci (#3727),1,0,1,1,09195d4c314d9477866ba4bd5cb650c3a7c01e41
mwaskom/seaborn,09195d4c314d9477866ba4bd5cb650c3a7c01e41,https://github.com/mwaskom/seaborn/commit/09195d4c314d9477866ba4bd5cb650c3a7c01e41,staeiou,4693439,User,2024-06-16T15:43:29+00:00,web-flow,2024-06-16T15:43:29+00:00,Fix typo in docstring: trusthworthy->trustworthy (#3712),1,1,2,1,f0b48e891a1bb573b7a46cfc9936dcd35d7d4f24
mwaskom/seaborn,f0b48e891a1bb573b7a46cfc9936dcd35d7d4f24,https://github.com/mwaskom/seaborn/commit/f0b48e891a1bb573b7a46cfc9936dcd35d7d4f24,MaozGelbart,13831112,User,2024-04-25T14:36:49+00:00,web-flow,2024-04-25T14:36:49+00:00,Fix docstrings (#3678),22,5,27,2,d767578eceafe5feb84817fcdc56296bf2731a6d
mwaskom/seaborn,d767578eceafe5feb84817fcdc56296bf2731a6d,https://github.com/mwaskom/seaborn/commit/d767578eceafe5feb84817fcdc56296bf2731a6d,michaelquinn32,3473921,User,2024-04-25T11:02:23+00:00,web-flow,2024-04-25T11:02:23+00:00,Relax typing strictness for Plot.theme (#3684),2,2,4,1,58f170fe799ef496adae19925d7d4f0f14f8da95
